OL1004630A	Geoffrey Household
OL24257A	Melvin Berger
OL24388A	Roddy Doyle
OL244097A	Howard Pyle
OL2444787A	Philip Roth
OL24452A	Danielle Steel
OL244532A	OL11502951A	Kenneth Janda	Kenneth Janda, Jeffrey M. Berry, Jerry Goldman
OL24461A	Rudyard Kipling
OL24462A	Aristophanes
OL24465A	Erik Larson
OL24467A	OL3234877A	OL38982A	OL7496913A	Janet Burroway	Susan Weinberg	Elizabeth Stuckey-French	Ned Stuckey-French
OL244801A	OL3316720A	Henry James Sumner Maine	Dante J. Scala
OL24502A	Theodore Roosevelt
OL24513A	Roland Smith
OL24522A	Jonathan Swift
OL24527A	OL10600724A	Stephen Crane	Stephen Crane
OL24527A	Stephen Crane
OL24528A	George Eliot
OL24528A	OL2661860A	OL2724567A	OL1478696A	OL9193880A	George Eliot	John O'Connor	Mary Anne Evans	Hugh Thomson	Julius Frese
OL24528A	OL6796331A	OL9842697A	OL9239757A	OL5793613A	George Eliot	Robert Lewis Weed	Najam Saqib	Gordon Frederick Browne	David Case
OL24528A	OL6984258A	OL29264A	OL10482461A	OL2645984A	OL12440091A	George Eliot	Jessica Hische	Francine Prose	ReadinGreat	Claire Jarvis	Margot Everett
OL24529A	Emily Brontë
OL24529A	OL342487A	Emily Brontë	Anne Brontë
OL24638A	Charles Dickens
OL24638A	OL10482366A	OL2523172A	OL10920069A	OL1160499A	Charles Dickens	Samuel Luke Fildes	Charles Bernard Derosne	TC	John Cuming Walters
OL24638A	OL10851899A	OL2724922A	Charles Dickens	Groth	Nancy Baker
OL24638A	OL11082328A	Charles Dickens	Eileen Warren Norris
OL24638A	OL1477921A	Charles Dickens	Diana C. Archibald
OL24638A	OL3568051A	OL8356232A	Charles Dickens	Mary Sebag-Montefiore	Adam Leverton
OL24716A	OL447655A	OL2670092A	Roger LeRoy Miller	Gaylord A. Jentz	Roger Leroy Miller
OL24757A	William Steig
OL24761A	Samuel Butler
OL24815A	Dav Pilkey
OL24877A	John R. Gribbin
OL24950A	Astrid Lindgren
OL249588A	Eugenios Trivizas
OL25234A	Henry Patterson
OL252577A	Paul Bowles
OL25277A	OL392432A	Tom Clancy	Steve R. Pieczenik
OL25277A	Tom Clancy
OL25342A	Mary Shelley
OL25395A	OL2753569A	OL2976368A	OL381175A	Sylvan Barnet	William Cain	B	William E. Cain
OL25513A	OL226671A	OL3011780A	OL5413970A	OL6519846A	OL3368293A	OL2622498A	David A. Whetten	Kim S. Cameron	Whetten	David A. Whetten	DAVID A. WHETTEN	David Whetten	Kim Cameron
OL25573A	OL214845A	OL10618005A	Charles-Louis de Secondat baron de La Brède et de Montesquieu	John Davidson	Carlos Cantueso
OL25582A	Tim O'Brien
OL2570949A	OL5506792A	OL4627699A	OL6044621A	Robert Michael Ballantyne	Ralph Crane	George Dalziel	Edward Dalziel
OL25712A	OL19807A	Terry Pratchett	Stephen Baxter
OL25712A	OL2629595A	Terry Pratchett	Paul Kidby
OL25712A	Terry Pratchett
OL25714A	Nelson DeMille
OL25788A	John Steinbeck
OL25788A	OL12231776A	OL10660660A	OL15305154A	OL15317023A	John Steinbeck	J. Steinbeck	John Steinbeck	john steinbek	John Steinback
OL257959A	Gabrielle Roy
OL25918A	Erskine Childers
OL25930A	Charles Perrault
OL25931A	Hans Christian Andersen
OL25931A	OL2628053A	Hans Christian Andersen	Various
OL25963A	Robert Louis Stevenson
OL25966A	Henry Adams
OL26062A	Shauna Singh Baldwin
OL2614060A	United States. National Institute of Mental Health
OL2622296A	Charles Kingsley
OL2622306A	OL2622349A	OL2622419A	OL2518732A	OL3113071A	OL3145320A	OL3145323A	OL3435484A	OL3532175A	OL3532649A	OL2632524A	OL2622305A	OL2632525A	OL2632526A	OL2632527A	OL2632528A	OL5124480A	OL1016828A	OL2621505A	OL2623006A	OL2622420A	OL2622304A	OL3145272A	OL3145273A	OL3145274A	OL3371063A	OL2674344A	Beryl T. Atkins	HarperCollins	Alain Duval	Robert Collins - undifferentiated	Collectif	Robert Staff	Frances Ilingworth	Collins-Robert	Collins Robert Staff	Staff of Dictionnaires Robert	Rosemary Milne	Pierre-Henri Cousin	Helene M. A. Lewis	Lorna A. Sinclair	Renee O. Birks	Marie-Noelle Lamy	B. T. S. Atkins	Paul Robert	Collins	Collins Publishers	Rosemary C. Milne	Michela Clari	Martyn Back	Jean-François Allain	Collectif Lorna Knight	T	-
OL2622837A	Dr. Seuss
OL2622837A	OL384898A	Dr. Seuss	Simon Mugford
OL26232A	OL7319459A	Elizabeth Strout	Rosa Perez Perez
OL2623461A	Arthur C. Clarke
OL2623606A	OL17396A	John Gray	John Gray
OL2623989A	David Walliams
OL26259A	Michael A. Seeds
OL2628433A	David Mitchell
OL2629761A	John F. Kennedy
OL2629960A	Trudi Canavan
OL2630958A	Gary Drevitch
OL2631008A	Julio Cortázar
OL2632008A	Raymond Chandler
OL2632021A	OL7458886A	Derek Landy	DEREK LANDY
OL26320A	J.R.R. Tolkien
OL2632362A	John York
OL2633120A	AAA
OL26341A	Edgar Cayce
OL2634342A	Stephen E. Lucas
OL26363A	Frank McCourt
OL2637409A	Dorothy A. Saia
OL2637495A	Donald Briscoe
OL2637527A	Ivan Oransky
OL2637527A	OL2637965A	Ivan Oransky	Sean Blitzstein
OL2637532A	Carlyle H. Chan
OL2637926A	Yashesh Patel
OL2637965A	Sean Blitzstein
OL26392A	Katherine Applegate
OL2644822A	Andre Dubus III
OL2644841A	Mervyn Peake
OL2645050A	Irving Stone
OL2645460A	Arthur Golden
OL2646381A	OL3339240A	OL7211088A	Peter W. Hawkes	Benjamin Kazan	Tom Mulvey
OL2646473A	OL2848659A	OL7466358A	OL5231606A	OL2848471A	OL977170A	OL2643381A	OL2848660A	OL7555968A	Bruce Alberts	Alexander Johnson	Julian Lewis	David O Morgan	Martin Raff	Julian Lewis	Keith Roberts	Peter Walter	Alexander D. Johnson
OL2648839A	OL203473A	Paul J. Deitel	Harvey M. Deitel
OL26545A	Philip Pullman
OL2656742A	Rand McNally
OL26576A	Tamora Pierce
OL2659024A	OL2961202A	OL2961200A	Rumi (Jalāl ad-Dīn Muḥammad Balkhī)	Camille Adams Helminski	Kabir Helminski
OL2659564A	Sándor Márai
OL2660342A	Maurice Leblanc
OL2660362A	Tana French
OL26610A	OL26611A	OL7957602A	OL7841231A	OL2624681A	Frederick K. Lutgens	Edward J. Tarbuck	Redina Herman	Dennis G. Tasa	Dennis Tasa
OL2661154A	Arturo Pérez-Reverte
OL266267A	OL1536407A	Mark Q. Sutton	Robert M. Yohe
OL2662894A	OL658590A	John Morgan	Mario Rinvolucri
OL26680A	Louisa May Alcott
OL26680A	OL7933943A	Louisa May Alcott	Success Oceo
OL26681A	Nathaniel Hawthorne
OL2670769A	OL1973949A	David Jordan - undifferentiated	Brian Davis
OL2671348A	OL2671349A	James F. Kurose	Keith Ross
OL2672219A	Lambert Deckers
OL26745A	Tracy Chevalier
OL2675573A	OL2980572A	Stephen Hawking	Leonard Mlodinow
OL26769A	Salman Rushdie
OL26783A	OL12526479A	Tolstoy, Leo, graf, 1828-1910	Xènia Dyakonova
OL26783A	OL2734499A	OL2964952A	OL2913279A	OL12583619A	Лев Толстой	Anthony Briggs	Anthony Horvath	Constance Black Garnett	Zinc Read
OL26783A	OL5436174A	OL2974055A	OL8240157A	OL2734499A	Лев Толстой	Richard Pevear (translator)	Larissa Volokhonsky (translator)	David Goldfarb	Anthony Briggs
OL26783A	OL9369917A	Лев Толстой	CJ Hogarth
OL26783A	Лев Толстой
OL2684549A	Howard Zinn
OL2685945A	OL765718A	OL2685735A	OL711204A	OL2685734A	OL2031470A	OL2685736A	OL2685737A	Jeffrey S. Hester	David Burstein	George Blumenthal	Ronald Greeley	Jeff Hester	Bradford Smith	Howard Voss	Gary Wegner
OL2687190A	Rafael Sabatini
OL26887A	Francesca Simon
OL2689875A	OL137095A	OL657901A	James George Frazer	Theodor Herzl Gaster	George W. Stocking
OL2689878A	Marco Polo
OL26952A	Ngaio Marsh
OL269711A	Richard Stone
OL2703408A	Elisabetta Dami
OL2705042A	E. L. Konigsburg
OL2705452A	Peter David
OL27064A	Dick Francis
OL27078A	John Updike
OL27107A	OL577481A	OL2662747A	OL578236A	OL7995575A	OL9303114A	OL9788479A	OL10079370A	OL9615191A	OL6020283A	OL11106329A	OL11106330A	OL2956052A	OL7307550A	OL9109391A	OL674610A	Anthony Hope	Gary Hoppenstand	Diane Mowat	Alan Marks	Francesc Ràfols	Andrew Pugsley	Summer M. Hogan	Summer Hogan	Smidgen Press	Charles Dana Gibson	Daniel Lanza Barba	Javier Fornell Fernandez	Stephen Colbourn	Katy Jackson	James Wilby	Robinson, M.
OL27119A	Hilary Mantel
OL27138A	James Herbert
OL27144A	Paula Danziger
OL27173A	Avi
OL27229A	Brian Jacques
OL2727722A	Gregg Braden
OL272947A	Douglas Adams
OL27349A	F. Scott Fitzgerald
OL27358A	Kate DiCamillo
OL27363A	Gabriel García Márquez
OL27404A	OL1655495A	Stanley J. Baran	Dennis K. Davis
OL27439A	OL533541A	Robert V. Kail	John C. Cavanaugh
OL27450A	Betsy Cromer Byars
OL2745568A	Bible
OL275082A	Dennis Q. McInerny
OL2751472A	OL1756196A	OL6710837A	OL2466431A	OL8161490A	Charles M. Schulz	Lee Mendelson	Maggie Testa	Vicki Scott	Scott Jeralds
OL27524A	Tennessee Williams
OL27560A	OL394670A	OL883419A	OL2627109A	OL2653925A	OL1514497A	OL232920A	OL2395978A	OL2141430A	OL24660A	James MacGregor Burns	Thomas E. Cronin	David B. Magleby	J. W. Peltason	Tom Cronin	David O'Brien	Paul Charles Light	James Burns	James MacGregor	David M. O'Brien
OL27695A	Agatha Christie
OL2771036A	Curzon
OL2781045A	OL1973949A	Sue Chapple	Brian Davis
OL2786936A	Stendhal
OL2789840A	Paula Hawkins
OL27966A	Thomas L. Floyd
OL28006A	Peter F. Hamilton
OL2801083A	Joe Abercrombie
OL28035A	Eugene O'Neill
OL2803732A	Casenotes
OL280391A	OL7226037A	OL390052A	Paul Anthony Samuelson	Nordhaus, William D.	William D. Nordhaus
OL28103A	Mildred D. Taylor
OL28104A	Cormac McCarthy
OL28127A	Edgar Allan Poe
OL28135A	Michael Francis Gilbert
OL2814972A	Anthony Swofford
OL28165A	David Baldacci
OL28169A	Leopoldo Alas
OL28188A	Madeleine L'Engle
OL282496A	OL3157186A	Alberto Giacometti	Agnes De La Beaumell
OL28257A	Michael Crichton
OL2826799A	Dennis C. Smolarski
OL2827465A	Herman Cyril McNeile
OL28294A	Publius Vergilius Maro
OL28296A	William L. Shirer
OL2830895A	OL9118672A	Patrick Rothfuss	Marc Simonetti
OL2832500A	Jeff Kinney
OL28409A	William Morris
OL2851402A	OL697822A	Theron Q. Dumont	William Walker Atkinson
OL28559A	Kathleen E. Woodiwiss
OL28577A	OL3371615A	Patricia Highsmith	Michael Nation
OL28577A	Patricia Highsmith
OL28641A	Robert A. Heinlein
OL2870890A	John  J. McKetta Jr
OL28743A	Cicero
OL28743A	OL3264457A	OL3264458A	OL1890044A	Cicero	L.-A. (Léopold-Albert) Constans	Jean Bayet	Jean Beaujeu
OL28771A	Jackson J. Spielvogel
OL2877785A	Jane Straus
OL2882667A	OL3348176A	Carl French	C. S. French
OL28845A	OL1400004A	OL2852972A	Theodore Schick	Lewis Vaughn	Theodore, Jr. Schick
OL2889852A	Елена Петровна Блаватская
OL2890A	Kahlil Gibran
OL289952A	OL3285943A	OL3285944A	OL3342671A	Marcus Valerius Martialis	Paul Barie	Winfried. Schindler	Uwe. Walter
OL29048A	Jean-Jacques Rousseau
OL29053A	Anthony Horowitz
OL29079A	Clive Cussler
OL29097A	Honoré de Balzac
OL29129A	Douglas C. Giancoli
OL29219A	Jonathan Stroud
OL29227A	Ian Fleming
OL29232A	Michael Shermer
OL292426A	OL2564744A	Fanny Burney	Frances Burney
OL292449A	Ken Grimwood
OL29303A	Dante Alighieri
OL29303A	OL5274288A	OL289681A	OL2700032A	OL9656601A	Dante Alighieri	Dante Gabriel Rossetti	Michael Palmer	Dante Rossetti	Roger Grass
OL29349A	David Hume
OL2938178A	Harriet R. Lihs
OL29388A	Guy de Maupassant
OL29497A	Herman Melville
OL295133A	Eric Philbrook Kelly
OL2954677A	Marc Schlechter
OL29578A	Sir Edward Coke
OL29586A	Arnold Bennett
OL2961050A	R. Richter
OL29622A	Robin McKinley
OL29658A	Gordon Korman
OL296646A	Michael Ende
OL29698A	Anthony Trollope
OL29774A	Louis Sachar
OL2980448A	Scott Westerfeld
OL2980554A	Brandon Mull
OL2980597A	Raina Telgemeier
OL29881A	A. A. Milne
OL2993470A	OL7538938A	OL6773806A	OL10119666A	OL7347583A	Heather Morris	Heather Morris	Morris, Heather teacher.	Morris Heather	Sarah Fields
OL30118A	OL3309189A	OL7920548A	OL3892389A	OL12553393A	Zadie Smith	Peter Francis James	Adjoa Andoh	Philippe Aronson	Ana María de la Fuente Suárez
OL301192A	John Foxe
OL301474A	Yasmina Khadra
OL30224A	Thornton Wilder
OL3030728A	Joyce Colmar
OL3033417A	Evan Mandery
OL30350A	Zane Grey
OL30353A	OL1284478A	Howard Anton	Chris Rorres
OL3043940A	Christoph Allen
OL30442A	OL231595A	Alexis de Tocqueville	Gustave de Beaumont
OL30443A	OL2732823A	Shakti Gawain	Marci Shimoff
OL3050323A	Tom Bacchus
OL30514A	Henry Miller
OL30522A	Kristin Hannah
OL305369A	Juan Carlos Mondragón
OL30553A	OL15264001A	孙武	Sun Tzu 
OL30573A	Neale Donald Walsch
OL3060044A	Silvana Q. Montanaro
OL30660A	Oswald Chambers
OL30717A	Mark Bowden
OL3076383A	OL2837944A	Elisabeth Vonarberg	Jane Brierley
OL30765A	Rick Riordan
OL30771A	Meg Cabot
OL30774A	OL2705452A	OL9266123A	John de Lancie	Peter David	Peter David
OL30835A	Elizabeth Gilbert
OL30885A	James Herriot
OL30964A	Anne Michaels
OL3097835A	Terence Meaden
OL31012A	OL9260057A	OL2865628A	Robert Hugh Benson	edibooks	Simon Vance
OL3105889A	Elena Ferrante
OL31079A	Jean de La Fontaine
OL3110675A	OL393653A	OL3281905A	OL5923328A	Almond	Gabriel A. Almond	Gabriela. Almond	Gabriel A. Almond
OL31120A	Toni Morrison
OL31176A	Joseph Murphy
OL31186A	OL2638580A	OL833168A	John Hope Franklin	Alfred A. Moss Jr.	Evelyn Brooks Higginbotham
OL3121637A	Brené Brown
OL31238A	Katherine Kurtz
OL31351A	OL2649381A	OL2274431A	OL2656604A	OL3350700A	OL3370953A	OL5717154A	Alan O. Ebenstein	Alan Ebenstein	William Ebenstein	EBENSTEIN FOGE	W. Ebenstein	Ebenstein & Fogelman	William Ebenstein
OL31371A	Joshua Slocum
OL31384A	Diana Wynne Jones
OL31439A	Thomas Paine
OL3152608A	Andrew Lang
OL31542A	Brian L. Weiss
OL31574A	C. S. Lewis
OL31574A	C.S. Lewis
OL3177743A	OL2136692A	OL3177744A	K.A. Keller	J. Lange	H. Münzel
OL31800A	Margaret Mahy
OL31827A	James Joyce
OL31827A	OL11598064A	OL12387151A	OL11529163A	James Joyce	James Joyce	james joyce	J Joyce
OL31872A	William Styron
OL31901A	Antoine de Saint-Exupéry
OL3203135A	Federico García Lorca
OL3203500A	Don Juan Manuel
OL32222A	Mary McCarthy
OL32271A	Theodore Dreiser
OL32283A	Kathleen Winsor
OL32293A	Voltaire
OL32369A	OL2749369A	OL2749370A	James Stewart	Lothar Redlin	Saleem Watson
OL3244931A	Marshall C. Yovits
OL32541A	Beatrix Potter
OL32541A	OL229963A	Beatrix Potter	Wendy Rasmussen
OL325487A	Alan Paton
OL32714A	Rachel Cusk
OL32722A	Dave Eggers
OL32772A	Émile Zola
OL32915A	Reymundo Sanchez
OL32939A	Jane Belk Moncure
OL33009A	OL1236161A	OL3238476A	Henry Wadsworth Longfellow	Jeff Ulmer	Alex A. Blum
OL33088A	Dean Koontz
OL33088A	OL2710922A	Dean Koontz	Phil Parks
OL33146A	Franz Kafka
OL33242A	J. M. Coetzee
OL33406A	OL752105A	Torquato Tasso	Marzio Pieri
OL33439A	Henryk Sienkiewicz
OL33452A	Petronius
OL33585A	William Somerset Maugham
OL33621A	Richard Wright
OL336504A	Alexander McCall Smith
OL3374577A	OL3499512A	Peter Blenkinsop	Wendy Oswin
OL3375629A	Saxon Menne
OL3379576A	OL1429574A	Mary Ann Shaffer	Annie Barrows
OL3379613A	Ta-Nehisi Coates
OL3384478A	HOUGHTON MIFFLIN
OL338458A	Marguerite Duraille
OL33881A	Larry Niven
OL33909A	P. D. James
OL33956A	OL7854705A	OL3433304A	OL2604010A	John Maynard Keynes	Jens Hölscher	Matthias Klaes	Anonymous
OL34047A	Daphne du Maurier
OL340903A	James Hilton
OL34174A	Anthony Giddens
OL34184A	Roald Dahl
OL34221A	Isaac Asimov
OL34221A	OL235327A	Isaac Asimov	Robert Silverberg
OL342487A	Anne Brontë
OL342629A	Johann David Wyss
OL34328A	Lee Child
OL34328A	OL2380099A	Lee Child	Andrew Child
OL34330A	Eric Carle
OL34364A	James Redfield
OL3451319A	Christopher Marlowe
OL34717A	OL2624937A	OL2624938A	OL2651047A	Kenneth C. Laudon	Jane P. Laudon	Jane Price Laudon	Jane Laudon
OL34717A	OL2671097A	OL2671096A	OL2653440A	Kenneth C. Laudon	Carol G. Traver	Carol Guercio Traver	Carol Traver
OL347193A	Jamie Suzanne
OL3477047A	OL2623137A	OL4221378A	Michael Morpurgo	Christian Birmingham	Michael Mopurgo
OL3477047A	OL7938720A	Michael Morpurgo	Mercè Santaularia Campillo
OL348127A	James Boswell
OL34888A	David Brin
OL3499500A	OL3499501A	Mary Childs	Jacqui Tyrer
OL3499500A	OL3499501A	OL406444A	Mary Childs	Jacqui Tyrer	Ron Allen
OL3499503A	Jane Charman
OL3499504A	Margaret Thackray
OL3499505A	Debbie Godbold
OL3499506A	M. Crispin
OL3499507A	Mavis Crispin
OL3499508A	Sue Browning
OL3499509A	Deborah Godbold
OL3499510A	OL1973949A	Dave Jordan	Brian Davis
OL3499511A	OL2621710A	D. Jordan	B. Davis
OL3499513A	Marilyn Badman
OL3499514A	OL2732306A	Chris Burton	Mark Deacon
OL350149A	Joseph Campbell
OL35046A	Raymond A. Serway
OL35183A	Kate Chopin
OL35195A	OL1396274A	Scott Mueller	Mark Edward Soper
OL35370A	Greg Harvey
OL35572A	OL4318331A	OL7582287A	OL2639424A	OL7701767A	Ronald B. Adler	Adler; Elmhorst	Ronald B. Adler	Jeanne Marquardt Elmhorst	Kristen Lucas Assistant Professor Ph.D.
OL3564077A	OL9370769A	Jim McCarty	Jochen Blumenthal
OL35793A	OL30358A	Richard Phillips Feynman	A. Zee
OL35839A	Charles Darwin
OL359271A	OL769057A	OL2737987A	David Halliday	Robert Resnick	Jearl  Walker
OL35996A	R. A. Salvatore
OL3616326A	Mary Elting
OL3640785A	Eos International
OL364898A	Sheila Burnford
OL365729A	Lucan
OL36575A	OL7481269A	OL2631575A	Kevin J. Anderson	Ben Mezrich	Chris Carter
OL366480A	OL419575A	Susan K. Baumann	Steven L. Mandell
OL370104A	OL2706227A	OL2706228A	B. S. Massey	Bernard Stanford Massey	B. Massey
OL37117A	Napoleon Hill
OL37311A	Mary Rodgers
OL373260A	OL7924473A	Claude Lévi-Strauss	Wang zhi ming
OL373750A	Jagmohan
OL37389A	James Q. Wilson
OL37389A	OL498181A	James Q. Wilson	John J. DiIulio, Jr
OL37769A	Q. L. Pearce
OL37887A	OL244358A	Margret Rey	H. A. Rey
OL381867A	Carol Ryrie Brink
OL382182A	OL10271776A	OL10283810A	Alvin Schwartz	Alvin Schwartz	Alvin  Schwartz
OL382182A	OL10283810A	OL10271776A	Alvin Schwartz	Alvin  Schwartz	Alvin Schwartz
OL382327A	Keith Thomas
OL382524A	村上春樹
OL383159A	OL30179A	Stephen R. Covey	Sean Covey
OL383426A	John W. Creswell
OL383719A	Michael Lewis
OL383980A	Padraic Colum
OL385196A	Abel, Peter
OL386597A	OL7838799A	OL3585573A	OL3261480A	Anita Woolfolk Hoy	Philip H. Winne	Nancy E. Perry	Beth Popiel
OL386756A	Robert V. Guthrie
OL386914A	OL449234A	Gary D. Hall	Barry S. Reiss
OL387601A	OL452769A	OL2638781A	OL1241748A	Roger A. Kerin	Eric N. Berkowitz	Steven W. Hartley	William Rudelius
OL3881042A	Thomas Elsen
OL388469A	Fred Luthans
OL388512A	Candace Bushnell
OL388700A	Ron Chernow
OL389147A	Robert C. Higgins
OL389357A	Barthe DeClements
OL390077A	Harold Kerzner
OL390261A	Alan Pipes
OL390356A	Stephen Citron
OL39038A	Deepak Chopra
OL39125A	Sue Townsend
OL39307A	Dan Brown
OL39329A	John Grisham
OL39329A	OL7308132A	John Grisham	Mark Deakins
OL39335A	Jerry Spinelli
OL393487A	Larry J. Siegel
OL393705A	OL1542161A	OL6078930A	OL919011A	Perkins, John	John Perkins	John Perkins	Perkins, John
OL394329A	OL5490736A	OL2638638A	George E. Belch	George E. Belch	Michael A. Belch
OL39485A	Lucy Maud Montgomery
OL39486A	Anne Rice
OL39524A	James Fenimore Cooper
OL395335A	John Feinstein
OL395728A	Ronald M. Atlas
OL395837A	Robin Hobb
OL39597A	Betty Smith
OL396288A	OL2816666A	OL3146515A	OL2816606A	George F. Luger	LUGER	Stubblefield	William A. Stubblefield
OL39795A	John W. Santrock
OL398099A	OL2635688A	Steven C. Chapra	Raymond P. Canale
OL39821A	Harlan Coben
OL39826A	Alexander Pope
OL39872A	Sophie Kinsella
OL39938A	Walter S. Tevis
OL402238A	OL2888187A	Anaïs Nin	N Clarke
OL402525A	Bernard R. Glick
OL402789A	J. G. Ballard
OL402869A	Jean M. Auel
OL40315A	Confucius
OL404599A	Gerald Karp
OL404928A	OL1296642A	Hal Lindsey	Carole C. Carlson
OL406546A	John Medina
OL40658A	Robert G. Lahita
OL40671A	James Ellroy
OL40776A	Julia Quinn
OL4079A	OL3733201A	OL162130A	Stanley Lane-Poole	Arthur Gilman	Arthur Gilman
OL410117A	Nevil Shute
OL411267A	OL2726848A	Mark Lutz	David Ascher
OL41878A	Boris Leonidovich Pasternak
OL41961A	William Blake
OL421269A	Edward R. Tufte
OL421921A	Sir George Grove
OL425147A	Ken Black
OL42805A	Françoise Sagan
OL4280652A	Pedro Calderón de la Barca
OL4288487A	OL3243539A	OL4328696A	OL2665877A	OL235478A	OL6851361A	OL3254019A	OL7618960A	OL4155891A	OL3113235A	Nai'an Shi	Shui Huchuan	Pearl S. Buck	Miguel Covarrubias	Luo Guanzhong	Sidney Shapiro	Wen Yu	Li ming you	Zhengqun Bao	Jacques Dars
OL4291363A	Teruhisa Matsusaka
OL429462A	Jorge Isaacs
OL430814A	David Watkin
OL431509A	Friend of Medjugorje
OL4328696A	OL10829917A	OL2310173A	Pearl S. Buck	Leslie H Woodson	Richard Hoffmann
OL4328696A	OL3073641A	OL1236078A	OL2747415A	OL4461249A	OL2956052A	Pearl S. Buck	Nick Bertozzi	Ruth Goode	Donald F. Roden	Ernst Simon	Stephen Colbourn
OL4328696A	Pearl S. Buck
OL433024A	M. Scott Peck
OL433058A	Alvin Toffler
OL4331550A	Peter Handke
OL4351406A	Wolfram von Eschenbach
OL435620A	Hunter Davies
OL4356457A	Terry Brooks
OL4360236A	Godfrey Winn
OL4363797A	Rebecca West
OL4366712A	Brian Friel
OL4378105A	OL5854674A	Henry Gray F.R.S.	Henry Vandyke Carter
OL4397788A	Jean Rhys
OL4400725A	Athol Fugard
OL440341A	Brian Taylor
OL440500A	OL772166A	Stuart J. Russell	Peter Norvig
OL441262A	Lodovico Ariosto
OL442121A	Aaron T. Beck
OL442995A	Eleanor Burford
OL443953A	Donna Leon
OL444324A	Norman Vincent Peale
OL444414A	Samuel Eliot Morison
OL444694A	OL2631878A	Lawrence H. Schiffman	Andrew Gross
OL444993A	OL1239241A	Mark L. Knapp	Judith A. Hall
OL4452558A	Gary Paulsen
OL445609A	Robert Janson
OL446165A	Constantine John Alexopoulos
OL4463085A	OL3983448A	OL10261911A	Hans Schulz	Otto Basler	Institut für Institut für deutsche Sprache
OL44633A	Jack London
OL446582A	Thomas Kyd
OL44760A	Quintus Curtius Rufus
OL448218A	Mac Wellman
OL451969A	Emma Darcy
OL4519865A	Chartered Association of Certified Accountants.
OL452099A	OL1388607A	OL6404276A	Ian Sommerville	Sommerville, Ian.	Ian Sommerville
OL45265A	Ptolemy
OL4529419A	United States. Congress. House
OL453119A	Mark Haddon
OL453471A	OL22326A	OL2844815A	Pamela Sharpe	Pamela J. Sharpe	Pamela Sharpe Ph.D.
OL45364A	Henning Mankell
OL4548049A	Canada. Northern Administration Branch. Welfare Division
OL456240A	Rohinton Mistry
OL456698A	OL767953A	Mike W. Martin	Roland Schinzinger
OL4570761A	Queen's College (Glasgow)
OL46053A	Great Britain.
OL4632743A	E. Keble Chatterton
OL469130A	Whitney Chadwick
OL47282A	OL736969A	OL2684699A	OL242674A	OL53653A	Max Beckmann	Carla Schulz-Hoffmann	Judith C. Weiss	Cornelia Homburg	Reinhard Spieler
OL4728806A	Charlotte Lamb
OL4728950A	Martin Amis
OL473047A	J. Barbey d'Aurevilly
OL473430A	William Langland
OL48015A	Joseph Goebbels
OL48119A	OL14242711A	OL9277378A	Stephen Leacock	Stephen Leacock	. Stephen
OL48139A	OL48139A	OL15600991A	OL3641950A	OL13430380A	Vladimir Nabokov	Vladimir Nabokov	Bruno Oddera	Karen Mathiasen	Søren Hansen
OL48139A	Vladimir Nabokov
OL48230A	OL1368A	Karl Marx	Friedrich Engels
OL48458A	OL2259074A	OL12561091A	André Gide	Dorothy Bussy	Blanca Torrents
OL487915A	Josef Müller-Brockmann
OL48862A	A. E. Housman
OL4902154A	H. Q. Mitchell
OL4915528A	Rhode Island Sea Grant College Program.
OL4937793A	OL2640795A	OL3597583A	Joanne M. Willey	Linda Sherwood	Christopher J. Woolverton
OL498120A	Harper Lee
OL502830A	OL2673644A	OL222517A	Michael Baigent	Richard Leigh	Henry Lincoln
OL5046634A	John Green
OL5046634A	OL1394624A	John Green	David Levithan
OL50556A	OL9122703A	OL2660524A	Mem Fox	Vivas Julie	Julie Vivas
OL507165A	Shirley Jackson
OL5097411A	Mac Barnett
OL51027A	Clement Clarke Moore
OL51027A	OL904271A	OL2865032A	OL2734240A	OL2853974A	OL9796802A	OL969224A	OL8166559A	OL10316794A	OL8391708A	Clement Clarke Moore	Anonymous	Jon Goodell	Jessie Wilcox Smith	Mark Marshall	Raquel Martin Peinado	Jessie Smith	Applewood Applewood Books	Erwin Hess	Birchall Publishing
OL512381A	Joy Kogawa
OL512656A	OL867253A	OL2894318A	Leo Africanus	Robert Brown	Leo
OL515330A	OL382273A	Black Elk	John Gneisenau Neihardt
OL51602A	Jones, Lloyd
OL51729A	Godbout, Jacques
OL51887A	Isaac Watts
OL52840A	Mordecai Richler
OL528658A	OL1770753A	Richard Paul Janaro	Thelma C. Altshuler
OL528864A	Howard Rothmann Bowen
OL52922A	Margaret Atwood
OL52940A	Михаил Афанасьевич Булгаков
OL529426A	OL2652836A	OL2650863A	OL2650864A	OL2651083A	Michael T. Madigan	Michael Madigan	John Martinko	Jack Parker	John M. Martinko
OL529531A	Barack Obama
OL529640A	James P. Womack
OL531166A	OL7988678A	Thomas S. Kuhn	Dennis Holland
OL53216A	Georg Wilhelm Friedrich Hegel
OL5322171A	Yash Patel
OL532636A	Raymond G. Miltenberger
OL53305A	Neil Gaiman
OL53336A	Desiderius Erasmus
OL5339647A	Sea Grant College Program Oregon State University
OL5339757A	Texas Sea Grant College Program.
OL534665A	Merrie Bergmann
OL5351025A	Chartered Association of Certified Accountants.
OL5361871A	Janice Denoncourt
OL536258A	Lawrence G. McMillan
