selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original	log_academic	log_reader	expected_log_academic	academic_reader_residual	residual_z	log_jstor	expected_log_jstor	jstor_reader_residual	jstor_residual_z
White Fang	Jack London	1906	White Fang	Jack London	1905	/works/OL74504W	55	44	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	387	2	Q152267	year_discrepancy; openalex:use_with_warning_short_title		1	1	0	0	/works/OL74504W	40.0	22.0	5.0	10.0	2.0	1.0	0.6923076923076923	38.07692307692307	38.07692307692307	/works/OL74504W	117038	3149	UNIQUE	117038	short_or_general_title	387	2	393	6	1.0155038759689925	/works/OL74504W|/works/OL34511165W	387	393	0	0	2	393	6	393	2	2	api	accepted	2	3.6655320901169453	11.670262491570014	5.130866472805647	-1.465334382688702	-1.3744100972126359	0.6931471805599453	3.309573166998096	-2.6164259864381507	-2.1549517036889005
Java Head	Joseph Hergesheimer	1919	Java Head	Joseph Hergesheimer	1918	/works/OL4902750W	1	0	use_with_warning_short_title	short_title_len_le_2|ta_without_lit_terms|canonical_preserved	27	2	Q107000085	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL4902750W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL4902750W	15	4	UNIQUE	15	short_or_general_title	27	1	27	0	1.0	/works/OL4902750W	27	27	0	0	1	27	0	27	2	2	api	accepted	2	0.6931471805599453	2.772588722239781	0.6347434220944441	0.058403758465501165	0.05477979381256734	0.0	0.15113943865246793	-0.15113943865246793	-0.12448209599924726
The House of Mirth	Edith Wharton	1905	The house of mirth	Edith Wharton	1906	/works/OL42236259W	218	171	use_title_author	canonical_preserved	1	1		year_discrepancy; wikidata_unresolved		60	60	0	0	/works/OL42236259W	40.0	29.0	1.0	5.0	4.0	1.0	0.7692307692307693	167.6923076923077	167.6923076923077	/works/OL42236259W	68754	3561	UNIQUE	68754		1	3	697	696	697.0	/works/OL42236259W|/works/OL32146991W|/works/OL98587W	1	697	0	0	3	697	696	697	1	1	api	accepted	1	5.128076390956352	11.138304740157045	4.862060538789886	0.2660158521664657	0.2495095164322546	4.110873864173311	3.1207425414126746	0.9901313227606368	0.81549609731688
Three Lives	Gertrude Stein	1909	Three Lives	Gertrude Stein	1909	/works/OL35383W	50	33	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	149	1	Q7797597	openalex:use_with_warning_short_title		8	6	1	1	/works/OL35383W	40.0	30.0	2.0	4.0	3.0	1.0	0.8205128205128205	41.02564102564102	41.02564102564102	/works/OL35383W	2853	255	YEAR_AUTH	2853	short_or_general_title	149	1	149	0	1.0	/works/OL35383W	149	149	0	0	1	149	0	149	1	1	api	accepted	1	3.738279932614183	7.956476798036782	3.2542369295140006	0.48404300310018256	0.45400803994329664	1.9459101490553132	1.9912796109076738	-0.04536946185236057	-0.03736738574718454
The Picture of Dorian Gray	Oscar Wilde	1890	The Picture of Dorian Gray	Oscar Wilde	1890	/works/OL8193416W	504	377	use_title_author	canonical_preserved	3012	2	Q82464			34	34	0	0	/works/OL8193416W	40.0	30.0	3.0	3.0	0.0	4.0	0.9166666666666666	462.0	462.0	/works/OL8193416W	694769	20302	RATINGS_MAX	694769		3012	1	3012	0	1.0	/works/OL8193416W	3012	3012	1	2	2	3014	2	3014	2	2	api	accepted	2	6.137727054086234	13.451336134523975	6.030868705827759	0.10685834825847529	0.10022776681758475	3.5553480614894135	3.941806176704931	-0.3864581152155173	-0.31829624766944126
Lady Chatterley's Lover	D. H. Lawrence	1928	Lady Chatterley's lover	Lawrence, D. H.	1946	/works/OL43405505W	287	218	use_title_author	canonical_preserved	2	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		32	32	0	0	/works/OL43405505W	40.0	36.0	0.0	1.0	2.0	1.0	0.9230769230769232	264.92307692307696	264.92307692307696	/works/OL43405505W	77768	3876	UNIQUE	77768		2	2	516	514	258.0	/works/OL43405505W|/works/OL81180W	2	516	0	0	2	516	514	516	1	0	title_fallback_reviewed	accepted	1	5.583207082460088	11.26149817317762	4.9243119595836315	0.6588951228764568	0.6180105514373562	3.4965075614664802	3.1644728808306097	0.3320346806358705	0.2734717910725751
Robert Elsmere	Mrs. Humphry Ward	1888	Robert Elsmere	Humphry Ward	1888	/works/OL41540816W	28	20	use_with_warning_risky_author	observed_risky_author_last:ward|short_title_len_le_2|canonical_preserved	2	20	Q7344052	author_variant_or_source_error; openalex:use_with_warning_risky_author		4	4	0	0	/works/OL41540816W	28.0	16.0	2.0	5.0	3.0	2.0	0.6923076923076923	19.384615384615383	19.384615384615383	/works/OL41540816W	36	7	UNIQUE	36	short_or_general_title	2	2	5	3	2.5	/works/OL41540816W|/works/OL31949047W	2	5	0	0	2	5	3	5	20	20	title_fallback_reviewed	accepted	20	3.0147804685246853	3.6109179126442243	1.0583632686720743	1.956417199852611	1.8350211293780434	1.6094379124341003	0.4487236453871446	1.1607142670469557	0.9559923346709887
As I Lay Dying	William Faulkner	1930	As I Lay Dying	William Faulkner	1915	/works/OL82929W	285	206	use_title_author	canonical_preserved	62	1	Q1544119	year_discrepancy		72	71	1	0	/works/OL82929W	40.0	28.0	2.0	6.0	3.0	1.0	0.7692307692307693	219.23076923076923	219.23076923076923	/works/OL82929W	112656	5659	YEAR_AUTH	112656		62	1	62	0	1.0	/works/OL82929W	62	62	1	6	2	68	6	68	1	0	api	accepted	1	5.394675947636578	11.63210308329955	5.1115839727304335	0.2830919749061449	0.2655260624110595	4.276666119016055	3.2960276083206597	0.9806385106953956	0.807677587777981
The Good Soldier	Ford Maddox Ford	1915	The Good Soldier	Ford Madox Ford	1930	/works/OL509889W	125	108	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	355	2		author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		74	72	0	2	/works/OL509889W	40.0	21.0	3.0	13.0	2.0	1.0	0.6153846153846154	76.92307692307693	76.92307692307693	/works/OL509889W	18106	1195	MANUAL_FIX	18106		355	1	355	0	1.0	/works/OL509889W	355	355	0	0	1	355	0	355	1	1	corrected_metadata_retry	accepted_after_identity_correction	2	4.355722146787147	9.804053882820643	4.18784431209708	0.16787783469006712	0.15746098216357707	4.290459441148391	2.6471195452076137	1.6433398959407772	1.3534944717922113
The Heavenly Twins	Sarah Grand	1893	The Heavenly Twins	Sarah Grand	1893	/works/OL4315764W	32	26	use_title_author	canonical_preserved	17	1		wikidata_unresolved		6	6	0	0	/works/OL4315764W	32.0	18.0	0.0	9.0	2.0	3.0	0.6206896551724138	19.86206896551724	19.86206896551724	/works/OL4315764W	133	12	UNIQUE	133		17	2	18	1	1.0588235294117647	/works/OL4315764W|/works/OL16766420W	17	18	0	0	2	18	1	18	1	0	api	accepted	1	3.0379326280443673	4.897839799950911	1.7086634833111987	1.3292691447331686	1.2467877339247517	1.9459101490553132	0.905546136297779	1.0403640127575342	0.8568689553494723
The Call of the Wild	Jack London	1903	The Call of the Wild	Jack London	1903	/works/OL14942956W	143	122	use_title_author	canonical_preserved	1699	1	Q476871			5	4	1	0	/works/OL14942956W	40.0	26.0	1.0	9.0	1.0	3.0	0.7297297297297297	104.35135135135135	104.35135135135135	/works/OL14942956W	254249	7002	RATINGS_MAX	254249		1699	2	1700	1	1.0005885815185402	/works/OL14942956W|/works/OL43150565W	1699	1700	1	13	3	1713	14	1713	1	1	api	accepted	1	4.657300967423282	12.446073313910807	5.52289488514653	-0.8655939177232481	-0.8118836455756689	1.6094379124341003	3.584965042630008	-1.9755271301959076	-1.6270919097141257
Grand Babylon Hotel	Arnold Bennett	1902	The Grand Babylon Hotel	Bennett, Arnold	1902	/works/OL109153W	1	0	use_title_author	ta_without_lit_terms|canonical_preserved	75	3	Q7737468	title_variant; author_variant_or_source_error		0	0	0	0	/works/OL109153W	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	/works/OL109153W	439	57	UNIQUE	439		75	1	75	0	1.0	/works/OL109153W	75	75	0	0	1	75	0	75	3	3	api	accepted	3	0.0	6.0867747269123065	2.309449471816727	-2.309449471816727	-2.166147679714696	0.0	1.327585904384903	-1.327585904384903	-1.0934318498885787
Three Soldiers	John Dos Passos	1921	Three soldiers	John Dos Passos	1921	/works/OL1217993W	31	26	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	19	3	Q7797826	openalex:use_with_warning_short_title		2	2	0	0	/works/OL1217993W	31.0	19.0	2.0	6.0	2.0	2.0	0.7241379310344828	22.448275862068964	22.448275862068964	/works/OL1217993W	842	90	UNIQUE	842	short_or_general_title	19	2	20	1	1.0526315789473684	/works/OL1217993W|/works/OL18415511W	19	20	0	0	2	20	1	20	3	0	api	accepted	3	3.1547969681836783	6.736966958001855	2.6380009958871713	0.516795972296507	0.4847286809853256	1.0986122886681096	1.5583865749669292	-0.45977428629881967	-0.37868121884876804
Marrow of Tradition	Mary Chesnutt	1901	The marrow of tradition	Charles Waddell Chesnutt	1901	/works/OL112798W	54	49	use_title_author	canonical_preserved	144	5		title_variant; author_variant_or_source_error; wikidata_unresolved	The source list records Mary Chesnutt; the matched work metadata identifies Charles Waddell Chesnutt.	17	17	0	0	/works/OL112798W	40.0	21.0	4.0	5.0	6.0	4.0	0.6944444444444444	37.5	37.5	/works/OL112798W	2002	127	UNIQUE	2002		144	1	144	0	1.0	/works/OL112798W	144	144	0	0	1	144	0	144	5	5	api	accepted	5	3.6506582412937387	7.602401335665818	3.0753174850245055	0.5753407562692332	0.5396407496447706	2.8903717578961645	1.8655923906606446	1.0247793672355199	0.8440330644841734
At Fault	Kate Chopin	1890	At Fault	Kate Chopin	1890	/works/OL65437W	13	10	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	127	2	Q131573518	openalex:use_with_warning_short_title		1	1	0	0	/works/OL65437W	13.0	7.0	3.0	2.0	1.0	0.0	0.7692307692307693	10.0	10.0	/works/OL65437W	242	36	UNIQUE	242	short_or_general_title	127	1	127	0	1.0	/works/OL65437W	127	127	0	0	1	127	0	127	2	0	api	accepted	2	2.3978952727983707	5.493061443340548	2.0094375755633807	0.38845769723499	0.36435382103032377	0.6931471805599453	1.1168337338272911	-0.42368655326734583	-0.34895848937675544
The Shadow-Line	Joseph Conrad	1921	The shadow-line	Conrad, Joseph	1917	/works/OL38827W	71	60	use_title_author	canonical_preserved	147	3		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		15	15	0	0	/works/OL38827W	40.0	25.0	1.0	13.0	0.0	1.0	0.6666666666666666	47.33333333333333	47.33333333333333	/works/OL38827W	2752	172	UNIQUE	2752	short_or_general_title	147	1	147	0	1.0	/works/OL38827W	147	147	1	1	2	148	1	148	3	3	api	accepted	3	3.8781214537524646	7.920446505142607	3.236030302185881	0.6420911515665835	0.6022492698388285	2.772588722239781	1.9784898306494458	0.7940988915903353	0.6540390472346784
The Moon and Sixpence	W Somerset Maugham	1919	The moon and sixpence	W. Somerset Maugham	1919	/works/OL505740W	41	30	use_title_author	canonical_preserved	397	2		wikidata_unresolved		1	1	0	0	/works/OL505740W	40.0	32.0	0.0	4.0	3.0	1.0	0.8205128205128205	33.64102564102564	33.64102564102564	/works/OL505740W	13440	851	UNIQUE	13440		397	1	397	0	1.0	/works/OL505740W	397	397	0	0	1	397	0	397	2	2	api	accepted	2	3.5450386918305523	9.506065016071148	4.037266234345353	-0.4922275425148004	-0.46168472708404684	0.6931471805599453	2.5413415506651207	-1.8481943701051753	-1.522217569788126
Kim	Rudyard Kipling	1900	Kim	Kipling, Rudyard	1901	/works/OL20172W	218	171	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	65	1	Q19086249	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		93	21	5	67	/works/OL20172W	40.0	27.0	2.0	6.0	2.0	3.0	0.7837837837837838	170.86486486486487	170.86486486486487	/works/OL20172W	27404	1393	YEAR_AUTH	27404	short_or_general_title|known_jstor_ambiguous_title	65	2	999	934	15.36923076923077	/works/OL20172W|/works/OL19908W	65	999	0	0	2	999	934	999	1	0	api	accepted	1	5.146708498623183	10.218480757480217	4.39726019677627	0.7494483018469129	0.7029448879151059	3.091042453358316	2.7942298858192807	0.2968125675390354	0.24446200710812346
The Custom of the Country	Edith Wharton	1913	The Custom of the Country	Edith Wharton	1900	/works/OL98585W	65	51	use_title_author	canonical_preserved	61	1	Q7728505	year_discrepancy		22	21	1	0	/works/OL98585W	40.0	30.0	2.0	2.0	1.0	5.0	0.9142857142857144	59.42857142857142	59.42857142857142	/works/OL98585W	7821	730	UNIQUE	7821		61	1	61	0	1.0	/works/OL98585W	61	61	0	0	1	61	0	61	1	0	api	accepted	1	4.101462029990965	8.96469555531546	3.763704427680242	0.33775760231072294	0.3167996769272605	3.091042453358316	2.34917002261462	0.7418724307436961	0.6110240713238484
The Beautiful and the Damned	F Scott Fitzgerald	1922	The Beautiful and Damned	F. Scott Fitzgerald	1920	/works/OL468362W	52	46	use_title_author	canonical_preserved	495	1	Q2531205	title_variant; year_discrepancy		4	4	0	0	/works/OL468362W	40.0	25.0	2.0	7.0	3.0	3.0	0.7297297297297297	37.94594594594594	37.94594594594594	/works/OL468362W	34554	2119	YEAR_AUTH	34554		495	2	496	1	1.002020202020202	/works/OL468362W|/works/OL38803607W	495	496	0	0	2	496	1	496	1	1	api	accepted	1	3.6621746833552975	10.450307536525495	4.514405616136377	-0.8522309327810791	-0.7993498364667079	1.6094379124341003	2.8765221272581853	-1.267084214824085	-1.0436011955261248
The Financier	Theodore Dreiser	1912	The Financier	Theodore Dreiser	1912	/works/OL100237W	35	29	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	352	1	Q577607	openalex:use_with_warning_short_title		6	6	0	0	/works/OL100237W	35.0	25.0	1.0	5.0	3.0	1.0	0.7647058823529411	26.76470588235294	26.76470588235294	/works/OL100237W	3486	134	UNIQUE	3486	short_or_general_title	352	1	352	0	1.0	/works/OL100237W	352	352	0	0	1	352	0	352	1	0	api	accepted	1	3.3237656415293393	8.156797046675651	3.3554616440606226	-0.03169600253128335	-0.029729259365592724	1.9459101490553132	2.062387885516759	-0.11647773646144555	-0.09593388000671868
Parades End	Ford Maddox Ford	1924	Parade's End	Ford Madox Ford	1950	/works/OL509919W	102	84	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	24	2		title_variant; author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved	Title punctuation and author spelling vary; the two year fields are retained separately.	30	30	0	0	/works/OL509919W	40.0	18.0	5.0	15.0	1.0	1.0	0.5897435897435898	60.15384615384615	60.15384615384615	/works/OL509919W	4661	413	UNIQUE	4661	short_or_general_title	24	0	0	-24	0.0		24	0	0	0	1	24	0	24	2	0	api	accepted	2	4.113392757192795	8.447199819595703	3.502206359046344	0.6111863981464509	0.5732621624220495	3.4339872044851463	2.1654730217640985	1.2685141827210478	1.0447789516605444
King Coal	Upton Sinclair	1917	King Coal	Upton Sinclair	1905	/works/OL115067W	6	5	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	86	2	Q16386559	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL115067W	6.0	2.0	1.0	3.0	0.0	0.0	0.5	3.0	3.0	/works/OL115067W	407	32	UNIQUE	407	short_or_general_title	86	1	86	0	1.0	/works/OL115067W	86	86	0	0	1	86	0	86	2	2	api	accepted	2	1.3862943611198906	6.0112671744041615	2.271294415097872	-0.8850000539779816	-0.8300856272745153	0.0	1.3007827638372462	-1.3007827638372462	-1.0713561352737668
Dracula	Bram Stoker	1897	Dracula	Bram Stoker	1922	/works/OL85892W	774	561	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	736	1		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		119	110	6	3	/works/OL85892W	40.0	22.0	2.0	13.0	3.0	0.0	0.6	464.4	464.4	/works/OL85892W	711064	18011	MANUAL_FIX	711064	short_or_general_title	736	1	736	0	1.0	/works/OL85892W	736	736	0	0	1	736	0	736	5	5	corrected_metadata_retry	accepted_after_identity_correction	1	6.142897250868192	13.474519125141233	6.042583405782028	0.10031384508616359	0.09408935134905465	4.709530201312334	3.950035511853389	0.7594946894589447	0.6255381896815279
The Crock of Gold	Stephens James	1913	The Crock of Gold	Stephens, James	1912	/works/OL1154817W	3	0	use_title_author	ta_without_lit_terms|canonical_preserved	155	1	Q7728134	year_discrepancy	Author-name order is normalized; the source-list year and Open Library record year differ.	1	1	0	0	/works/OL1154817W	3.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	/works/OL1154817W	490	69	YEAR_AUTH	490		155	0	0	-155	0.0		155	0	0	0	3	183	28	183	1	1	api	accepted	1	1.3862943611198906	6.19644412779452	2.3648670038646933	-0.9785726427448027	-0.9178520185793223	0.6931471805599453	1.3665155778808908	-0.6733683973209456	-0.5546024930720269
The Pit	Frank Norris	1903	The Pit	Frank Norris	1903	/works/OL1794919W	21	17	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|canonical_preserved	291	1	Q7757284	openalex:use_with_warning_short_title		49	4	20	25	/works/OL1794919W	21.0	12.0	2.0	3.0	3.0	1.0	0.7	14.7	14.7	/works/OL1794919W	286	42	YEAR_AUTH	286	short_or_general_title|known_jstor_ambiguous_title	291	1	291	0	1.0	/works/OL1794919W	291	291	0	0	1	291	0	291	1	1	api	accepted	1	2.7536607123542622	5.659482215759621	2.093532395219472	0.6601283171347903	0.6191672257504015	1.6094379124341003	1.1759086105122	0.4335293019219002	0.3570652151515557
Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	1886	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	1886	/works/OL44014215W	196	153	use_title_author	canonical_preserved	1	2	Q217352			10	10	0	0	/works/OL44014215W	40.0	28.0	2.0	5.0	3.0	2.0	0.7894736842105263	154.73684210526315	154.73684210526315	/works/OL44014215W	268131	8340	RATINGS_MAX	268131		1	4	20	19	20.0	/works/OL24120W|/works/OL44014215W|/works/OL33078608W|/works/OL22708002W	1	20	2	2	6	22	21	22	2	2	api	accepted	2	5.0481676732337695	12.499234675549738	5.549758088908381	-0.5015904156746114	-0.4704666321302886	2.3978952727983707	3.6038358893252354	-1.2059406165268647	-0.993241849607979
The Jungle Book	Rudyard Kipling	1894	The Jungle Book	Kipling, Rudyard	1893	/works/OL19870W	83	61	use_title_author	canonical_preserved	538	21	Q189509	author_variant_or_source_error; year_discrepancy		1	0	0	1	/works/OL19870W	40.0	18.0	4.0	16.0	1.0	1.0	0.5641025641025641	46.82051282051282	46.82051282051282	/works/OL19870W	83283	2443	RATINGS_MAX	83283		538	3	541	3	1.0055762081784387	/works/OL44238347W|/works/OL34198769W|/works/OL19870W	538	541	1	71	4	612	74	612	21	20	title_fallback_reviewed	accepted	21	3.8674546859482692	11.330011732875084	4.958932850732042	-1.0914781647837728	-1.0237517308597996	0.0	3.1887933429432347	-3.1887933429432347	-2.6263672974912136
The Yearling	Marjorie Kinman Rawlings	1938	The Yearling	Marjorie Kinnan Rawlings	1938	/works/OL111382W	14	12	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	65	1	Q429806	author_variant_or_source_error; openalex:use_with_warning_short_title	The source list appears to spell Kinnan as Kinman.	2	2	0	0	/works/OL111382W	14.0	3.0	4.0	4.0	2.0	1.0	0.5384615384615384	7.538461538461538	7.538461538461538	/works/OL111382W	23079	883	UNIQUE	23079	short_or_general_title	65	1	65	0	1.0	/works/OL111382W	65	65	0	0	1	65	0	65	1	0	api	accepted	1	2.144580843850797	10.046721720622037	4.310467875006965	-2.1658870311561675	-2.0314933166181874	1.0986122886681096	2.7332600695251648	-1.6346477808570552	-1.3463354356469435
A Room with a View	E. M. Forster	1908	A Room with a View	E. M. Forster	1905	/works/OL88813W	85	60	use_title_author	canonical_preserved	692	1	Q120288	year_discrepancy		10	8	2	0	/works/OL88813W	40.0	31.0	0.0	5.0	3.0	1.0	0.7948717948717948	67.56410256410255	67.56410256410255	/works/OL88813W	123549	4091	YEAR_AUTH	123549		692	2	694	2	1.0028901734104043	/works/OL88813W|/works/OL42221492W	692	694	1	8	3	702	10	702	1	0	api	accepted	1	4.2277691115322416	11.724401211416756	5.158223549784347	-0.9304544382521058	-0.8727195581008087	2.1972245773362196	3.328790949443976	-1.1315663721077565	-0.9319854236466553
For Whom the Bell Tolls	Ernest Hemingway	1949	For Whom the Bell Tolls	Ernest Hemingway	1940	/works/OL63009W	249	157	use_title_author	canonical_preserved	182	1	Q200920	year_discrepancy		17	17	0	0	/works/OL63009W	40.0	29.0	3.0	6.0	1.0	1.0	0.8205128205128205	204.3076923076923	204.3076923076923	/works/OL63009W	209824	4798	UNIQUE	209824		182	1	182	0	1.0	/works/OL63009W	182	182	0	0	1	182	0	182	1	0	api	accepted	1	5.324509791942988	12.254029128951029	5.425852185095087	-0.10134239315209914	-0.09505407780602655	2.8903717578961645	3.516794546966256	-0.6264227890700913	-0.5159369550421853
Mrs. Dalloway	Virginia Woolf	1925	Mrs. Dalloway	Virginia Woolf	1925	/works/OL39349W	740	576	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	476	4	Q752584	openalex:use_with_warning_short_title		84	83	0	1	/works/OL39349W	40.0	32.0	2.0	2.0	4.0	0.0	0.85	629.0	629.0	/works/OL39349W	163735	6587	UNIQUE	163735	short_or_general_title	476	1	476	0	1.0	/works/OL39349W	476	476	0	0	1	476	0	476	4	4	api	accepted	4	6.4457198193855785	12.006010653659285	5.300524867790511	1.1451949515950677	1.0741353805273899	4.430816798843313	3.428754690940688	1.0020621079026255	0.8253225804283231
Tender Is The Night	F Scott Fitzgerald	1934	Tender is the Night	F. Scott Fitzgerald	1933	/works/OL468485W	185	138	use_title_author	canonical_preserved	312	1	Q247372	year_discrepancy		31	31	0	0	/works/OL468485W	40.0	29.0	2.0	7.0	1.0	1.0	0.7948717948717948	147.05128205128204	147.05128205128204	/works/OL468485W	89091	3732	UNIQUE	89091		312	2	314	2	1.0064102564102564	/works/OL42216785W|/works/OL468485W	312	314	0	0	2	314	2	314	1	0	api	accepted	1	4.997558714093234	11.397424822671375	4.992997658547039	0.004561055546195014	0.004278041156132378	3.4657359027997265	3.2127231679811588	0.2530127348185678	0.20838740586524526
To the Lighthouse	Virginia Woolf	1927	To the Lighthouse	Virginia Woolf	1927	/works/OL39396W	634	507	use_title_author	canonical_preserved	521	2	Q478016			64	62	2	0	/works/OL39396W	40.0	27.0	1.0	4.0	4.0	4.0	0.7777777777777778	493.1111111111112	493.1111111111112	/works/OL39396W	97741	4946	UNIQUE	97741		521	1	521	0	1.0	/works/OL39396W	521	521	0	0	1	521	0	521	2	0	api	accepted	2	6.202760413174477	11.490086633066195	5.03982100950792	1.1629394036665577	1.0907787858720541	4.143134726391533	3.245615606484509	0.8975191199070234	0.7392184478224009
The Awakening	Kate Chopin	1899	The Awakening	Kate Chopin	1899	/works/OL65430W	411	295	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	346	2	Q1567505	openalex:use_with_warning_short_title		76	56	9	11	/works/OL65430W	40.0	33.0	1.0	3.0	2.0	1.0	0.8717948717948718	358.3076923076923	358.3076923076923	/works/OL65430W	140316	5812	YEAR_AUTH	140316	short_or_general_title|known_jstor_ambiguous_title	346	2	348	2	1.0057803468208093	/works/OL65430W|/works/OL39014581W	346	348	0	0	2	348	2	348	0	0	title_fallback_rejected	rejected_false_positive	2	5.884179103040571	11.851659427673926	5.222528964248799	0.6616501387917726	0.6205946180754731	4.04305126783455	3.3739641770600755	0.6690870907744748	0.5510763054847794
The Jungle	Upton Sinclair	1906	The jungle	Upton Sinclair	1906	/works/OL44622934W	104	72	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	11		openalex:use_with_warning_short_title; wikidata_unresolved		53	8	12	33	/works/OL44622934W	40.0	21.0	9.0	8.0	0.0	2.0	0.7894736842105263	82.10526315789474	82.10526315789474	/works/OL44622934W	111017	4820	YEAR_AUTH	111017	short_or_general_title|known_jstor_ambiguous_title	1	1	1	0	1.0	/works/OL44622934W	1	1	0	0	1	1	0	1	11	10	title_fallback_reviewed	accepted	11	4.420108035089202	11.61744762930977	5.104178360183791	-0.6840703250945896	-0.6416236274265261	2.1972245773362196	3.2908253182181517	-1.0936007408819322	-0.9007160118170122
Peter Pan	J. M. Barrie	1911	Peter Pan	J. M. Barrie	1911	/works/OL462007W	241	139	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	441	1	Q3435337	openalex:use_with_warning_short_title		12	4	4	4	/works/OL462007W	40.0	24.0	0.0	13.0	1.0	2.0	0.631578947368421	152.21052631578945	152.21052631578945	/works/OL462007W	201220	7710	RATINGS_MAX	201220	short_or_general_title	441	2	448	7	1.0158730158730158	/works/OL8137276W|/works/OL462007W	441	448	3	25	5	473	32	473	1	0	api	accepted	1	5.031812964579182	12.212159085518614	5.404694647485689	-0.3728816829065069	-0.3497443014419584	1.6094379124341003	3.501931813086298	-1.892493900652198	-1.558703734242899
Pembroke	Mary Wilkins Freeman	1894	Pembroke	Mary Eleanor Wilkins Freeman	1894	/works/OL507321W	9	4	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	31	4	Q7161943	author_variant_or_source_error; openalex:use_with_warning_short_title		29	1	2	26	/works/OL507321W	9.0	3.0	0.0	3.0	3.0	0.0	0.3333333333333333	3.0	3.0	/works/OL507321W	37	5	UNIQUE	37	short_or_general_title	31	1	31	0	1.0	/works/OL507321W	31	31	1	1	2	32	1	32	4	4	api	accepted	4	1.3862943611198906	3.6375861597263857	1.071839119050121	0.3144552420697695	0.29494323270373307	0.6931471805599453	0.4581901523915357	0.23495702816840958	0.1935162893082529
Orlando	Virginia Woolf	1928	Orlando	Virginia Woolf	1928	/works/OL39360W	431	306	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	452	3	Q1629456	openalex:use_with_warning_short_title		224	59	10	155	/works/OL39360W	40.0	25.0	2.0	5.0	3.0	5.0	0.7714285714285715	332.4857142857143	332.4857142857143	/works/OL39360W	40451	2300	UNIQUE	40451	short_or_general_title|known_jstor_ambiguous_title	452	1	452	0	1.0	/works/OL39360W	452	452	0	0	1	452	0	452	3	3	api	accepted	3	5.809600028713208	10.607871365022062	4.594024894121553	1.2155751345916554	1.1401484593829434	4.0943445622221	2.9324530282096464	1.161891534012454	0.9569619602083236
