target_name	qid	wikidata_label	label_en	label_mul	description_en	description_mul	matched_name	matched_source	aliases_en	aliases_mul	P106_occupation_qids	P569_birth	P570_death	P742_pseudonym	P1477_birth_name	enwiki_title	jawiki_title	source_snapshot
Paul     White	Q2063097	Paul White	Paul White		American composer and music educator (1895-1973)		Paul White	label_en			Q36834|Q16145150|Q158852|Q639669	+1895-08-22T00:00:00Z	+1973-05-31T00:00:00Z					2026-08-05
Merel Roze	Q2097904	Merel Roze	Merel Roze		Dutch writer and columnist		Merel Roze	label_en			Q36180|Q1086863	+1975-01-01T00:00:00Z						2026-08-05
Dervla Murphy	Q2114480	Dervla Murphy	Dervla Murphy	Dervla Murphy	Irish touring cyclist and writer (1931–2022)		Dervla Murphy	label_en			Q2125610|Q36180|Q2309784	+1931-11-28T00:00:00Z|+1931-01-01T00:00:00Z	+2022-05-22T00:00:00Z			Dervla Murphy		2026-08-05
Sy Bartlett	Q2373467	Sy Bartlett	Sy Bartlett		Ukrainian-American screenwriter and producer		Sy Bartlett	label_en	Sidney Bartlett | Sacha Baraniev | Sasha Baraniev		Q28389|Q3282637|Q6625963|Q36180|Q47541952	+1900-07-10T00:00:00Z	+1978-05-29T00:00:00Z			Sy Bartlett		2026-08-05
Martin   Page	Q2916697	Martin Page	Martin Page	Martin Page	French writer		Martin Page	label_en		Pit Agarmen	Q36180|Q4853732|Q11774202	+1975-02-07T00:00:00Z|+1975-01-01T00:00:00Z		Pit Agarmen		Martin Page (French author)		2026-08-05
Jean-Claude Mourlevat	Q3165136	Jean-Claude Mourlevat	Jean-Claude Mourlevat	Jean-Claude Mourlevat	French author		Jean-Claude Mourlevat	label_en			Q333634|Q33999|Q4853732|Q36180|Q101444594|Q245068|Q3455803	+1952-03-22T00:00:00Z				Jean-Claude Mourlevat		2026-08-05
John Rutherford	Q3182403	John Rutherford	John Rutherford		Canadian politician (1831-1900)		John Rutherford	label_en			Q82955	+1831-07-19T00:00:00Z	+1900-12-21T00:00:00Z					2026-08-05
Jon Cleary	Q3183183	Jon Cleary	Jon Cleary		English/American musician		Jon Cleary	label_en			Q753110|Q486748|Q36834|Q639669	+1962-08-11T00:00:00Z				Jon Cleary (musician)	ジョン・クリアリー	2026-08-05
Chet Raymo	Q3667278	Chet Raymo	Chet Raymo	Chet Raymo	American writer		Chet Raymo	label_en			Q36180|Q11063|Q1622272|Q169470	+1936-09-17T00:00:00Z	+2026-01-25T00:00:00Z			Chet Raymo		2026-08-05
J. Hoberman	Q4498571	J. Hoberman	J. Hoberman		American film critic		J. Hoberman	label_en	James Hoberman | Jim Hoberman | James Lewis Hoberman		Q4220892|Q1930187|Q17391605|Q1622272	+1948-03-14T00:00:00Z		J. Hoberman		J. Hoberman		2026-08-05
Cyrus Hamlin	Q4502774	Cyrus Hamlin	Cyrus Hamlin		American missionary and president of Middlebury College (1811-1900)		Cyrus Hamlin	label_en			Q219477|Q864380|Q1231865	+1811-01-05T00:00:00Z	+1900-08-08T00:00:00Z			Cyrus Hamlin (missionary)		2026-08-05
Andrew Cowan	Q4756692	Andrew Cowan	Andrew Cowan		Union Army officer (1841-1919)		Andrew Cowan	label_en			Q47064	+1841-09-29T00:00:00Z	+1919-08-23T00:00:00Z			Andrew Cowan (soldier)		2026-08-05
Anna Dean	Q4766949	Anna Dean	Anna Dean		British writer		Anna Dean	label_en	Marian Veevers		Q6625963|Q36180	+1956-01-01T00:00:00Z				Anna Dean		2026-08-05
C.E. Morgan	Q5006091	C.E. Morgan	C.E. Morgan		writer		C.E. Morgan	label_en			Q36180|Q6625963	+1976-01-01T00:00:00Z|+1976-06-23T00:00:00Z				C. E. Morgan		2026-08-05
Cheryl Mendelson	Q5092754	Cheryl Mendelson		Cheryl Mendelson	American writer		Cheryl Mendelson	label_mul			Q6625963	+1946-08-06T00:00:00Z				Cheryl Mendelson		2026-08-05
Crescent Dragonwagon	Q5184358	Crescent Dragonwagon	Crescent Dragonwagon	Crescent Dragonwagon	American children's and food writer		Crescent Dragonwagon	label_en	Ellen Zolotow | Ellen Parsons		Q36180|Q6625963|Q4853732	+1952-11-25T00:00:00Z				Crescent Dragonwagon		2026-08-05
David Mitchell	Q5237616	David Mitchell	David Mitchell		Irish actor (21st century)		David Mitchell	label_en			Q33999|Q10798782					David Mitchell (Irish actor)		2026-08-05
David Thomas	Q5240341	David Thomas	David Thomas		Texas politician (19th century)		David Thomas	label_en			Q40348|Q82955	+1795-12-10T00:00:00Z	+1836-01-01T00:00:00Z			David Thomas (Texas politician)		2026-08-05
Douglas Clark	Q5301335	Douglas Clark	Douglas Clark		American artist		Douglas Clark	label_en			Q1281618					Douglas Clark (sculptor)		2026-08-05
Ellen Raskin	Q5364985	Ellen Raskin	Ellen Raskin	Ellen Raskin	American writer and illustrator		Ellen Raskin	label_en	Ellen Ermingard Raskin		Q36180|Q6625963|Q644687|Q4853732	+1928-03-13T00:00:00Z	+1984-08-08T00:00:00Z			Ellen Raskin		2026-08-05
Gillian Conoley	Q5562218	Gillian Conoley	Gillian Conoley		American poet		Gillian Conoley	label_en			Q49757|Q36180	+1955-01-01T00:00:00Z				Gillian Conoley		2026-08-05
Isabelle Holland	Q6078237	Isabelle Holland	Isabelle Holland		American fiction writer		Isabelle Holland	label_en	Isabelle Christian Holland		Q36180|Q6625963|Q4853732	+1920-06-16T00:00:00Z	+2002-02-09T00:00:00Z		Isabelle Christian Holland	Isabelle Holland		2026-08-05
Jack  Flanagan	Q6112514	Jack Flanagan	Jack Flanagan		Australian politician		Jack Flanagan	label_en	John Flanagan		Q82955	+1888-07-11T00:00:00Z	+1949-03-03T00:00:00Z			Jack Flanagan (Australian politician)		2026-08-05
Jake Adam York	Q6124532	Jake Adam York	Jake Adam York		American poet (1972-2012)		Jake Adam York	label_en			Q49757	+1972-08-10T00:00:00Z	+2012-12-16T00:00:00Z			Jake Adam York		2026-08-05
James Fleming	Q6133974	James Fleming	James Fleming	James Fleming	British major-general, and colonel of the 36th (Herefordshire) Regiment of Foot (1682 – 1751)		James Fleming	label_en	James Fleming or Flemming		Q189290	+1682-00-00T00:00:00Z	+1751-03-31T00:00:00Z			James Fleming (British Army officer)		2026-08-05
James White	Q6145432	James White	James White		Australian sculptor, born 1861		James White	label_en	James S. White		Q1281618	+1861-12-02T00:00:00Z	+1918-07-14T00:00:00Z			James White (sculptor)		2026-08-05
James White	Q6145436	James White	James White		English writer		James White	label_en			Q333634|Q36180	+1759-01-01T00:00:00Z	+1799-01-01T00:00:00Z			James White (writer and translator)		2026-08-05
John  Blackburn	Q6222071	John Blackburn	John Blackburn	John Blackburn	British writer (1923–1993)		John Blackburn	label_en	John Fenwick Blackburn | John Fenwick Anderson Blackburn	John Fenwick Blackburn | John Fenwick Anderson Blackburn	Q10297252|Q18844224|Q998550	+1923-06-26T00:00:00Z	+1993-01-01T00:00:00Z			John Blackburn (author)		2026-08-05
John Gray	Q6236083	John Gray	John Gray		Ontario political figure (1837-1917)		John Gray	label_en			Q82955	+1837-01-05T00:00:00Z	+1917-02-14T00:00:00Z			John Gray (Ontario politician)		2026-08-05
John Gray	Q6236094	John Gray	John Gray	John Gray	Royal Navy officer (1913-1998)		John Gray	label_en	John Michael Dudgeon Gray		Q47064	+1913-06-13T00:00:00Z	+1998-02-01T00:00:00Z			John Gray (Royal Navy officer)		2026-08-05
Linda Crew	Q6551501	Linda Crew	Linda Crew		American writer		Linda Crew	label_en			Q36180|Q4853732	+1951-01-01T00:00:00Z				Linda Crew		2026-08-05
Marilyn Singer	Q6763629	Marilyn Singer	Marilyn Singer	Marilyn Singer	American writer		Marilyn Singer	label_en			Q36180|Q4853732|Q101444631|Q62083492	+1948-01-01T00:00:00Z|+1948-10-03T00:00:00Z				Marilyn Singer		2026-08-05
Mary  Stewart	Q6778935	Mary Anne Barker	Mary Anne Barker		English author (1831–1911) who wrote mainly about life in New Zealand		Mary Stewart	alias_en	Mary Anne Broome | Mary Anne Stewart | Mary Anne Broome, Lady Broome | Mary Anne Barker, Lady Barker | Lady Barker | Mary Broome | Mary Barker | Mary Stewart | Lady Mary Anne Barker | Lady Broome		Q18939491|Q6625963|Q1930187|Q36180|Q1607826|Q2083925	+1831-05-29T00:00:00Z|+1831-01-29T00:00:00Z	+1911-03-06T00:00:00Z|+1911-03-07T00:00:00Z		Mary Anne Stewart	Mary Anne Barker		2026-08-05
Michael Cadnum	Q6829050	Michael Cadnum	Michael Cadnum	Michael Cadnum	American writer		Michael Cadnum	label_en			Q36180|Q4853732|Q482980|Q62083492	+1949-05-03T00:00:00Z				Michael Cadnum		2026-08-05
Michael  Stewart	Q6834629	Michael Stewart	Michael Stewart		American graffiti artist (1958-1983)		Michael Stewart	label_en	Michael Jerome Stewart		Q15095148	+1958-05-09T00:00:00Z	+1983-09-28T00:00:00Z					2026-08-05
Michael  Stewart	Q6834630	Michael Stewart	Michael Stewart	Michael Stewart	American musician (1945-2002)		Michael Stewart	label_en		Michael Gassen Stewart	Q183945|Q36834|Q177220|Q639669|Q855091	+1945-04-19T00:00:00Z	+2002-11-13T00:00:00Z			Michael Stewart (musician)	マイケル・スチュアート (ミュージシャン)	2026-08-05
Nikki Grimes	Q7035231	Nikki Grimes	Nikki Grimes	Nikki Grimes	American writer and illustrator		Nikki Grimes	label_en			Q36180|Q4853732|Q1930187|Q62083492	+1950-10-20T00:00:00Z				Nikki Grimes		2026-08-05
Paul Genesse	Q7150853	Paul Genesse	Paul Genesse	Paul Genesse	American writer		Paul Genesse	label_en			Q186360|Q36180|Q6625963|Q4853732	+1973-01-01T00:00:00Z				Paul Genesse		2026-08-05
Peter H. Reynolds	Q7174456	Peter H. Reynolds	Peter H. Reynolds		American businessman, writer		Peter H. Reynolds	label_en	Peter Hamilton Reynolds		Q2961975|Q36180|Q644687|Q4853732	+1961-03-16T00:00:00Z				Peter H. Reynolds		2026-08-05
Robert Kee	Q7346279	Robert Kee	Robert Kee		New Zealand barrister		Robert Kee	label_en	Robert William Kee		Q40348	+1964-01-01T00:00:00Z						2026-08-05
Robin Becker	Q7352248	Robin Becker	Robin Becker		American writer		Robin Becker	label_en			Q49757|Q36180	+1951-01-01T00:00:00Z				Robin Becker		2026-08-05
John Rutherford	Q7528045	Sir John Rutherford, 1st Baronet	Sir John Rutherford, 1st Baronet		British politician (1854-1932)		John Rutherford	alias_en	John Rutherford		Q82955	+1854-09-16T00:00:00Z	+1932-02-26T00:00:00Z			Sir John Rutherford, 1st Baronet		2026-08-05
Will Murray	Q8002986	Will Murray	Will Murray		writer		Will Murray	label_en	"William Murray | William ""Will"" Murray"		Q36180|Q1930187|Q1607826	+1953-04-28T00:00:00Z				Will Murray		2026-08-05
Daniel Silva	Q10264003	Daniel Silva	Daniel Silva		Brazilian association football player		Daniel Silva	label_en			Q937857	+1986-02-10T00:00:00Z						2026-08-05
Nicholas  Anderson	Q10465637	Nick Anderson	Nick Anderson	Nick Anderson	footballer (1865-1921)		Nicholas Anderson	alias_en	Nicholas Anderson		Q937857	+1865-00-00T00:00:00Z	+1921-00-00T00:00:00Z			Nick Anderson (footballer)		2026-08-05
John Gray	Q11727969	John P. Gray	John P. Gray	John P. Gray	American psychiatrist		John Gray	alias_en	John Perdue Gray | John Gray		Q211346|Q39631	+1825-08-06T00:00:00Z	+1886-11-29T00:00:00Z			John P. Gray (psychiatrist)		2026-08-05
Ruchoma Shain	Q12411258	Ruchoma Shain	Ruchoma Shain		American-Israeli Haredi educator and author		Ruchoma Shain	label_en			Q36180	+1914-12-06T00:00:00Z	+2013-03-16T00:00:00Z			Ruchoma Shain		2026-08-05
Jan Needle	Q15455423	Jan Needle	Jan Needle		British writer		Jan Needle	label_en			Q4853732|Q28389|Q1930187|Q214917|Q36180|Q62083492	+1943-01-01T00:00:00Z	+2023-00-00T00:00:00Z			Jan Needle		2026-08-05
Jack Vance	Q15993600	Jack Vance	Jack Vance		Canadian general (1933-2013)		Jack Vance	label_en			Q189290	+1933-07-28T00:00:00Z	+2013-09-10T00:00:00Z			Jack Vance (general)		2026-08-05
Nicholas Jennings	Q15994542	Nick Jennings	Nick Jennings		British artificial intelligence expert		Nicholas Jennings	alias_en	Nicholas Robert Jennings | Nicholas R. Jennings | Nick R. Jennings | Nicholas Jennings		Q82594|Q15976092	+1966-12-15T00:00:00Z				Nick Jennings (computer scientist)		2026-08-05
Paul James Petrie	Q16019518	Paul Petrie		Paul Petrie	American poet		Paul James Petrie	alias_en	Paul James Petrie		Q49757	+1928-07-01T00:00:00Z	+2012-11-09T00:00:00Z			Paul Petrie		2026-08-05
Mark Greaney	Q16220934	Mark Greaney	Mark Greaney		Irish musician		Mark Greaney	label_en			Q177220	+1980-06-23T00:00:00Z				Mark Greaney		2026-08-05
Dave Jackson	Q16238898	Dave Jackson	Dave Jackson		Canadian ice hockey referee		Dave Jackson	label_en				+1964-00-00T00:00:00Z				Dave Jackson (ice hockey)		2026-08-05
Judith Lennox	Q16731390	Judith Lennox	Judith Lennox		writer		Judith Lennox	label_en			Q36180	+1953-01-19T00:00:00Z|+1953-01-01T00:00:00Z				Judith Lennox		2026-08-05
Michael Scott	Q17017912	Mick Scott	Mick Scott		English rugby league footballer		Michael Scott	alias_en	Michael Scott		Q14373094	+1954-09-23T00:00:00Z				Mick Scott		2026-08-05
John Gaskin	Q18151489	John Gaskin	John Gaskin		Canadian politician (1840-1908)		John Gaskin	label_en			Q82955	+1840-04-03T00:00:00Z	+1908-03-21T00:00:00Z			John Gaskin		2026-08-05
Steve Cooper	Q18588205	Steve Cooper	Steve Cooper		actor		Steve Cooper	label_en			Q33999							2026-08-05
Barbara Emberley	Q18609290	Barbara Emberley	Barbara Emberley		children's writer		Barbara Emberley	label_en			Q36180	+1932-01-01T00:00:00Z						2026-08-05
Paul     White	Q19662178	Paul White	Paul White	Paul White	UK music producer		Paul White	label_en			Q183945|Q36834					Paul White (music producer)		2026-08-05
A.E. Martin	Q20751719	A. E. Martin	A. E. Martin	A. E. Martin	Australian writer		A. E. Martin	label_en	Edward Archibald Martin | Archibald  Edward  Martin | Peter Amos | Petramos		Q36180|Q6625963	+1885-01-01T00:00:00Z	+1955-01-01T00:00:00Z		Archibald Edward Martin			2026-08-05
Michelanne Forster	Q20853477	Michelanne Forster	Michelanne Forster		New Zealand playwright and scriptwriter		Michelanne Forster	label_en			Q36180|Q214917	+1953-00-00T00:00:00Z				Michelanne Forster		2026-08-05
James White	Q21177013	James Cobb White	James Cobb White		grazier and politician in New South Wales, Australia (1855-1927)		James White	alias_en	James White | James C. White | James C White | J. C. White | J C White		Q82955|Q84271380	+1855-11-29T00:00:00Z	+1927-01-18T00:00:00Z			James Cobb White		2026-08-05
Dave Jackson	Q21466581	Dave Jackson	Dave Jackson		painter (born 1951)		Dave Jackson	label_en			Q1028181	+1951-01-01T00:00:00Z						2026-08-05
Linda Barrett	Q21482063	Linda Barrett	Linda Barrett		actress (1910–1986)		Linda Barrett	label_en			Q33999	+1910-07-29T00:00:00Z	+1986-06-29T00:00:00Z					2026-08-05
James White	Q23760213	James A. White Sr.	James A. White Sr.		consultant; TED speaker		James White	alias_en	James A. White | James White									2026-08-05
Jon Cleary	Q38330806	Jon O. Cleary	Jon O. Cleary		researcher		Jon Cleary	alias_en	Jon Cleary		Q1650915							2026-08-05
Thomas Weldon	Q40328335	Thomas Weldon	Thomas Weldon		American master builder		Thomas Weldon	label_en			Q1340643							2026-08-05
Michael Scott	Q42431089	Michael Scott	Michael Scott		actor		Michael Scott	label_en			Q33999							2026-08-05
James Fleming	Q43911469	James Fleming	James Fleming		person associated with the witch trials in Scotland		James Fleming	label_en										2026-08-05
Heather Amery	Q47125174	Heather Amery	Heather Amery		children's writer, translator and editor (1950- )		Heather Amery	label_en			Q4853732|Q36180|Q333634|Q1607826|Q876864	+1950-00-00T00:00:00Z				Heather Amery		2026-08-05
Mary  Stewart	Q50419584	Mary E. Stewart	Mary E. Stewart		researcher		Mary Stewart	alias_en	Mary Stewart		Q1650915							2026-08-05
Meagan Spooner	Q51754704	Meagan Spooner	Meagan Spooner	Meagan Spooner	American author of science fiction and fantasy for young adults (1985-)		Meagan Spooner	label_en			Q36180					Meagan Spooner		2026-08-05
Alexander Maksik	Q55397379	Alexander Maksik	Alexander Maksik		American novelist		Alexander Maksik	label_en			Q36180	+1972-00-00T00:00:00Z				Alexander Maksik		2026-08-05
David Mitchell	Q55711169	David R. Mitchell	David R. Mitchell		researcher		David Mitchell	alias_en	David Mitchell		Q1650915							2026-08-05
James White	Q55720787	James Platt White	James Platt White	James Platt White	American physician (1811–1881)		James White	alias_en	James P. White | James White	James P. White | James White	Q39631|Q2640827	+1811-01-01T00:00:00Z|+1811-03-14T00:00:00Z	+1881-01-01T00:00:00Z|+1881-09-28T00:00:00Z					2026-08-05
Nicholas  Anderson	Q56087336	Nicholas Anderson	Nicholas Anderson		figure skater		Nicholas Anderson	label_en			Q13219587	+1991-02-07T00:00:00Z						2026-08-05
David Thomas	Q56184780	David Thomas	David Thomas		( -1822)		David Thomas	label_en					+1822-00-00T00:00:00Z					2026-08-05
Jean Bastide	Q56508986	Jean Bastide	Jean Bastide		comics artist		Jean Bastide	label_en			Q17098559|Q715301|Q109517242	+1982-12-17T00:00:00Z|+1982-01-01T00:00:00Z						2026-08-05
Norman Lewis	Q56704774	Norman Lewis	Norman Lewis				Norman Lewis	label_en			Q82955							2026-08-05
Stephen Schwartz	Q56850795	Stephen G Schwartz	Stephen G Schwartz		researcher		Stephen Schwartz	alias_en	Stephen Schwartz		Q1650915							2026-08-05
Suzanne  Johnson	Q56983750	Suzanne Johnson	Suzanne Johnson		researcher		Suzanne Johnson	label_en			Q1650915							2026-08-05
Michael Scott	Q57895088	Michael Scott	Michael Scott		British diplomat (1923-2004). Deputy High Commissioner, Peshawar, Pakistan 1959-1962, Counsellor, High Commission, India 1963-1965, Head of East and Central Africa Department, Commonwealth Relations/Office 1965-1968, Counsellor, High Commission, Cypr		Michael Scott	label_en			Q193391	+1923-00-00T00:00:00Z	+2004-00-00T00:00:00Z					2026-08-05
Michael  Stewart	Q57895888	Michael Stewart	Michael Stewart		British diplomat (1911–1994)		Michael Stewart	label_en			Q193391	+1911-00-00T00:00:00Z|+1911-01-18T00:00:00Z	+1994-00-00T00:00:00Z|+1994-09-25T00:00:00Z			Michael Stewart (diplomat)		2026-08-05
Paul     White	Q58218806	Paul White	Paul White		researcher, ORCID id # 0000-0002-6562-4696		Paul White	label_en			Q1650915							2026-08-05
Michael Scott	Q58345079	Michael Scott	Michael Scott		sociologist		Michael Scott	label_en	Michael William Scott		Q1650915							2026-08-05
James White	Q59704111	James R White	James R White		researcher ORCID ID = 0000-0001-7977-1956		James White	alias_en	James White		Q1650915							2026-08-05
David Mitchell	Q59833073	David Mitchell	David Mitchell		researcher ORCID ID = 0000-0002-5418-244X		David Mitchell	label_en			Q1650915							2026-08-05
James White	Q59834205	James S. White	James S. White		researcher ORCID ID = 0000-0002-7255-3785		James White	alias_en	James White | James S White | J S White | J. S. White | J.S. White		Q1650915							2026-08-05
Mary  Stewart	Q60583375	Mary Stewart	Mary Stewart		writer about yoga		Mary Stewart	label_en	Mary E Stewart		Q2600526	+1933-04-11T00:00:00Z						2026-08-05
Avi	Q61125124	Avi	Avi		Israeli manager and producer		Avi	label_en			Q47541952|Q943995	+1963-07-30T00:00:00Z						2026-08-05
Michael Scott	Q61978870	Michael Scott	Michael Scott		Australian politician		Michael Scott	label_en	Michael Dundas Scott | Michael D. Scott | M. D. Scott		Q82955|Q131512|Q330204							2026-08-05
Graeme   Smith	Q64748401	Graeme N Smith	Graeme N Smith		researcher		Graeme Smith	alias_en	Graeme Smith | Graeme N. Smith | Graeme Neil Smith		Q1650915|Q1919436	+1963-01-01T00:00:00Z				Graeme N. Smith		2026-08-05
Avi	Q65227639	Avi	Avi		Japanese singer-songwriter		Avi	label_en			Q488205						Avi (シンガーソングライター)	2026-08-05
Sue Miller	Q65970551	Sue Miller		Sue Miller	American politician		Sue Miller	label_mul	Susan Miller | Susan Harris Miller		Q82955							2026-08-05
Bob Shaw	Q66744337	Bob Shaw	Bob Shaw		Scottish footballer (1870-?)		Bob Shaw	label_en	Robert Shaw		Q937857	+1870-01-01T00:00:00Z				Bob Shaw (footballer)		2026-08-05
Edna L. Lee	Q67192997	Edna Lee	Edna Lee		born 1890; died 1963		Edna L. Lee	alias_en	Edna L. Lee Mooney | Edna L. Lee | Edna L. Mooney Lee		Q36180	+1890-01-01T00:00:00Z	+1963-01-01T00:00:00Z					2026-08-05
John Rutherford	Q72187685	John Rutherford	John Rutherford		researcher		John Rutherford	label_en			Q1650915							2026-08-05
David Mitchell	Q72964957	David Mitchell	David Mitchell		chrmn., Welsh Karate Board and Brit. Karate Control Commission		David Mitchell	label_en	David L. Mitchell | David Leslie Mitchell		Q36180|Q11124885	+1944-01-20T00:00:00Z						2026-08-05
Unknown	Q75258647	unknown (?)	unknown (?)		Peerage person ID=17792		unknown (?)	label_en										2026-08-05
James Fleming	Q75340905	James Fleming	James Fleming		Peerage person ID=74444		James Fleming	label_en										2026-08-05
Mary  Stewart	Q75385107	Lady Mary Stewart	Lady Mary Stewart		(abt. 1380-1457); daughter of Robert III of Scotland and Anabella Drummond		Mary Stewart	alias_en	Mary Stuart | Mary Stewart | Princess Mary of Scotland | Mary of Scotland, Countess of Angus		Q2478141		+1458-01-01T00:00:00Z			Mary Stewart (daughter of Robert III)		2026-08-05
William Humphrey	Q75413123	William Humphrey	William Humphrey		Peerage person ID=126150		William Humphrey	label_en	Reverend William Humphrey									2026-08-05
John Gray	Q75435049	John Gray	John Gray		Peerage person ID=139725		John Gray	label_en										2026-08-05
Unknown	Q75469458	unknown (?)	unknown (?)		Peerage person ID=161627		unknown (?)	label_en										2026-08-05
Unknown	Q75475625	unknown (?)	unknown (?)		Peerage person ID=165136		unknown (?)	label_en										2026-08-05
Unknown	Q75475957	unknown (?)	unknown (?)		Peerage person ID=165336		unknown (?)	label_en										2026-08-05
Unknown	Q75481551	unknown (?)	unknown (?)		Peerage person ID=168403		unknown (?)	label_en										2026-08-05
Unknown	Q75481553	unknown (?)	unknown (?)		Peerage person ID=168404		unknown (?)	label_en										2026-08-05
Unknown	Q75491971	unknown	unknown				unknown	label_en										2026-08-05
David Thomas	Q75492952	David Maurice Thomas	David Maurice Thomas		(born 1945)		David Thomas	alias_en	David Thomas			+1945-02-28T00:00:00Z						2026-08-05
Mary Oliver	Q75550580	Mary Oliver	Mary Oliver		(born 1747)		Mary Oliver	label_en				+1747-10-11T00:00:00Z						2026-08-05
Unknown	Q75572707	unknown (?)	unknown (?)		Peerage person ID=220022		unknown (?)	label_en										2026-08-05
William Wordsworth	Q75599668	William Wordsworth	William Wordsworth		(born 1615)		William Wordsworth	label_en				+1615-01-01T00:00:00Z	+1658-00-00T00:00:00Z					2026-08-05
William Wordsworth	Q75599669	William Wordsworth	William Wordsworth		Peerage person ID=235634		William Wordsworth	label_en					+1666-00-00T00:00:00Z					2026-08-05
Unknown	Q75602290	unknown (?)	unknown (?)		Peerage person ID=237622		unknown (?)	label_en										2026-08-05
James White	Q75606018	James White	James White		d.1884		James White	label_en					+1884-03-08T00:00:00Z					2026-08-05
Unknown	Q75644278	unknown (?)	unknown (?)		Peerage person ID=267262		unknown (?)	label_en					+1884-10-00T00:00:00Z					2026-08-05
Unknown	Q75644537	unknown (?)	unknown (?)		Peerage person ID=267471		unknown (?)	label_en										2026-08-05
Mary  Stewart	Q75650409	Mary Stewart	Mary Stewart		d.1871		Mary Stewart	label_en				+1835-00-00T00:00:00Z	+1871-04-18T00:00:00Z					2026-08-05
David Thomas	Q75655126	David Thomas	David Thomas		Peerage person ID=275365		David Thomas	label_en	Dr. David Thomas									2026-08-05
Unknown	Q75669903	unknown (?)	unknown (?)		Peerage person ID=281697		unknown (?)	label_en										2026-08-05
John Gray	Q75687545	John Gray	John Gray		Peerage person ID=288693		John Gray	label_en										2026-08-05
Graeme   Smith	Q75694947	Graeme Smith	Graeme Smith		Peerage person ID=291334		Graeme Smith	label_en										2026-08-05
Richard Dawkins	Q76012208	Richard Dawkins	Richard Dawkins		Peerage person ID=466448		Richard Dawkins	label_en				+1776-00-00T00:00:00Z	+1850-00-00T00:00:00Z					2026-08-05
Ellen Douglas	Q76016410	Ellen Douglas	Ellen Douglas		(died 1941)		Ellen Douglas	label_en					+1941-01-01T00:00:00Z					2026-08-05
Mary Oliver	Q76026510	Mary Oliver	Mary Oliver		(died 1870)		Mary Oliver	label_en					+1870-01-01T00:00:00Z					2026-08-05
Mary  Stewart	Q76092904	Mary Stirling	Mary Stirling		Peerage person ID=525487		Mary Stewart	alias_en	Mary Stewart			+1622-00-00T00:00:00Z						2026-08-05
Mary  Stewart	Q76102083	Mary Stewart	Mary Stewart		Peerage person ID=531934		Mary Stewart	label_en										2026-08-05
Unknown	Q76157188	unknown (?)	unknown (?)		Peerage person ID=569737		unknown (?)	label_en										2026-08-05
Amanda Stevens	Q76165820	Amanda Stevens	Amanda Stevens		(born 1992)		Amanda Stevens	label_en	Amanda Julia Stevens			+1992-01-01T00:00:00Z						2026-08-05
Michael  Stewart	Q76176548	Michael Frederick Stewart Stewart	Michael Frederick Stewart Stewart		(born 1941)		Michael Stewart	alias_en	Michael Stewart			+1941-10-07T00:00:00Z						2026-08-05
Thomas Weldon	Q76211036	Thomas Weldon	Thomas Weldon		(died 1647)		Thomas Weldon	label_en				+1600-00-00T00:00:00Z	+1647-05-20T00:00:00Z					2026-08-05
James White	Q76230304	James White	James White		Peerage person ID=622085		James White	label_en										2026-08-05
James Fleming	Q76287349	James Fleming	James Fleming		Peerage person ID=663959		James Fleming	label_en										2026-08-05
William Wordsworth	Q76308543	William Wordsworth	William Wordsworth		Peerage person ID=678246		William Wordsworth	label_en				+1856-08-24T00:00:00Z	+1861-00-00T00:00:00Z					2026-08-05
David Mitchell	Q76330131	David Mitchell	David Mitchell		Peerage person ID=693302		David Mitchell	label_en										2026-08-05
Hans Wilhelm	Q76331052	Hans Wilhelm	Hans Wilhelm		Peerage person ID=694038		Hans Wilhelm	label_en										2026-08-05
Michael Scott	Q76347348	Michael Scott	Michael Scott		Peerage person ID=704576		Michael Scott	label_en										2026-08-05
John Gray	Q76362760	John Gray	John Gray		Peerage person ID=712264		John Gray	label_en										2026-08-05
Mary  Stewart	Q76373626	Mary Stewart	Mary Stewart		Peerage person ID=719694		Mary Stewart	label_en										2026-08-05
Jean Bastide	Q79839258	Jean Bastide	Jean Bastide		French political activist and trade unionist		Jean Bastide	label_en										2026-08-05
Paul     White	Q86756536	Paul White	Paul White		American racing driver (*1963)		Paul White	label_en			Q378622	+1963-04-09T00:00:00Z				Paul White (racing driver)		2026-08-05
Per Hansson	Q87287858	Per Hansson	Per Hansson		researcher (ORCID 0000-0002-0895-1180)		Per Hansson	label_en			Q1650915							2026-08-05
Charles Spencer	Q87615619	Charles T Spencer	Charles T Spencer		researcher		Charles Spencer	alias_en	Charles Spencer		Q1650915							2026-08-05
Andrew  Matthews	Q87832877	Andrew Matthews	Andrew Matthews	Andrew Matthews	Australian author		Andrew Matthews	label_en			Q36180|Q17221	+1957-11-04T00:00:00Z|+1957-00-00T00:00:00Z				Andrew Matthews (author)		2026-08-05
Megan Crewe	Q89574996	Megan Crewe	Megan Crewe		Canadian young adult writer		Megan Crewe	label_en			Q36180|Q212980|Q1030095	+1980-01-01T00:00:00Z				Megan Crewe		2026-08-05
Charles  Rosenberg	Q89948300	Charles S Rosenberg	Charles S Rosenberg		researcher		Charles Rosenberg	alias_en	Charles Rosenberg		Q1650915							2026-08-05
Sahar Ayachi	Q90764328	Sahar Ayachi	Sahar Ayachi		researcher (ORCID 0000-0002-3940-3160)		Sahar Ayachi	label_en			Q1650915							2026-08-05
