selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original
Alas	Rhoda Broughton	1890	Alas!	Rhoda Broughton	1890	/works/OL1487721W	1	1	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	3	11		openalex:use_with_warning_short_title; wikidata_unresolved		75	2	16	57	/works/OL1487721W	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	/works/OL1487721W	0	0	NO_MATCH	0	short_or_general_title	3	1	3	0	1.0	/works/OL1487721W	3	3	0	0	1	3	0	3	11	11	api	accepted	11
As I Lay Dying	William Faulkner	1930	As I Lay Dying	William Faulkner	1915	/works/OL82929W	285	206	use_title_author	canonical_preserved	62	1	Q1544119	year_discrepancy		72	71	1	0	/works/OL82929W	40.0	28.0	2.0	6.0	3.0	1.0	0.7692307692307693	219.23076923076923	219.23076923076923	/works/OL82929W	112656	5659	YEAR_AUTH	112656		62	1	62	0	1.0	/works/OL82929W	62	62	1	6	2	68	6	68	1	0	api	accepted	1
Stepsons Of Light	Eugene Manlove Rhodes	1921	Stepsons of light	Eugene Manlove Rhodes	1921	/works/OL2107271W	0	0	zero_title_author	canonical_preserved	5	3		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2107271W	0	0	NO_MATCH_AUTH	0		5	1	5	0	1.0	/works/OL2107271W	5	5	0	0	1	5	0	5	3	3	api	accepted	3
The Good Soldier	Ford Maddox Ford	1915	The Good Soldier	Ford Madox Ford	1930	/works/OL509889W	125	108	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	355	2		author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		74	72	0	2	/works/OL509889W	40.0	21.0	3.0	13.0	2.0	1.0	0.6153846153846154	76.92307692307693	76.92307692307693	/works/OL509889W	18106	1195	MANUAL_FIX	18106		355	1	355	0	1.0	/works/OL509889W	355	355	0	0	1	355	0	355	1	1	corrected_metadata_retry	accepted_after_identity_correction	2
The Heavenly Twins	Sarah Grand	1893	The Heavenly Twins	Sarah Grand	1893	/works/OL4315764W	32	26	use_title_author	canonical_preserved	17	1		wikidata_unresolved		6	6	0	0	/works/OL4315764W	32.0	18.0	0.0	9.0	2.0	3.0	0.6206896551724138	19.86206896551724	19.86206896551724	/works/OL4315764W	133	12	UNIQUE	133		17	2	18	1	1.0588235294117647	/works/OL4315764W|/works/OL16766420W	17	18	0	0	2	18	1	18	1	0	api	accepted	1
The Call of the Wild	Jack London	1903	The Call of the Wild	Jack London	1903	/works/OL14942956W	143	122	use_title_author	canonical_preserved	1699	1	Q476871			5	4	1	0	/works/OL14942956W	40.0	26.0	1.0	9.0	1.0	3.0	0.7297297297297297	104.35135135135135	104.35135135135135	/works/OL14942956W	254249	7002	RATINGS_MAX	254249		1699	2	1700	1	1.0005885815185402	/works/OL14942956W|/works/OL43150565W	1699	1700	1	13	3	1713	14	1713	1	1	api	accepted	1
Grand Babylon Hotel	Arnold Bennett	1902	The Grand Babylon Hotel	Bennett, Arnold	1902	/works/OL109153W	1	0	use_title_author	ta_without_lit_terms|canonical_preserved	75	3	Q7737468	title_variant; author_variant_or_source_error		0	0	0	0	/works/OL109153W	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	/works/OL109153W	439	57	UNIQUE	439		75	1	75	0	1.0	/works/OL109153W	75	75	0	0	1	75	0	75	3	3	api	accepted	3
Three Soldiers	John Dos Passos	1921	Three soldiers	John Dos Passos	1921	/works/OL1217993W	31	26	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	19	3	Q7797826	openalex:use_with_warning_short_title		2	2	0	0	/works/OL1217993W	31.0	19.0	2.0	6.0	2.0	2.0	0.7241379310344828	22.448275862068964	22.448275862068964	/works/OL1217993W	842	90	UNIQUE	842	short_or_general_title	19	2	20	1	1.0526315789473684	/works/OL1217993W|/works/OL18415511W	19	20	0	0	2	20	1	20	3	0	api	accepted	3
Marrow of Tradition	Mary Chesnutt	1901	The marrow of tradition	Charles Waddell Chesnutt	1901	/works/OL112798W	54	49	use_title_author	canonical_preserved	144	5		title_variant; author_variant_or_source_error; wikidata_unresolved	The source list records Mary Chesnutt; the matched work metadata identifies Charles Waddell Chesnutt.	17	17	0	0	/works/OL112798W	40.0	21.0	4.0	5.0	6.0	4.0	0.6944444444444444	37.5	37.5	/works/OL112798W	2002	127	UNIQUE	2002		144	1	144	0	1.0	/works/OL112798W	144	144	0	0	1	144	0	144	5	5	api	accepted	5
At Fault	Kate Chopin	1890	At Fault	Kate Chopin	1890	/works/OL65437W	13	10	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	127	2	Q131573518	openalex:use_with_warning_short_title		1	1	0	0	/works/OL65437W	13.0	7.0	3.0	2.0	1.0	0.0	0.7692307692307693	10.0	10.0	/works/OL65437W	242	36	UNIQUE	242	short_or_general_title	127	1	127	0	1.0	/works/OL65437W	127	127	0	0	1	127	0	127	2	0	api	accepted	2
The Shadow-Line	Joseph Conrad	1921	The shadow-line	Conrad, Joseph	1917	/works/OL38827W	71	60	use_title_author	canonical_preserved	147	3		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		15	15	0	0	/works/OL38827W	40.0	25.0	1.0	13.0	0.0	1.0	0.6666666666666666	47.33333333333333	47.33333333333333	/works/OL38827W	2752	172	UNIQUE	2752	short_or_general_title	147	1	147	0	1.0	/works/OL38827W	147	147	1	1	2	148	1	148	3	3	api	accepted	3
The Moon and Sixpence	W Somerset Maugham	1919	The moon and sixpence	W. Somerset Maugham	1919	/works/OL505740W	41	30	use_title_author	canonical_preserved	397	2		wikidata_unresolved		1	1	0	0	/works/OL505740W	40.0	32.0	0.0	4.0	3.0	1.0	0.8205128205128205	33.64102564102564	33.64102564102564	/works/OL505740W	13440	851	UNIQUE	13440		397	1	397	0	1.0	/works/OL505740W	397	397	0	0	1	397	0	397	2	2	api	accepted	2
Kim	Rudyard Kipling	1900	Kim	Kipling, Rudyard	1901	/works/OL20172W	218	171	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	65	1	Q19086249	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		93	21	5	67	/works/OL20172W	40.0	27.0	2.0	6.0	2.0	3.0	0.7837837837837838	170.86486486486487	170.86486486486487	/works/OL20172W	27404	1393	YEAR_AUTH	27404	short_or_general_title|known_jstor_ambiguous_title	65	2	999	934	15.36923076923077	/works/OL20172W|/works/OL19908W	65	999	0	0	2	999	934	999	1	0	api	accepted	1
The Custom of the Country	Edith Wharton	1913	The Custom of the Country	Edith Wharton	1900	/works/OL98585W	65	51	use_title_author	canonical_preserved	61	1	Q7728505	year_discrepancy		22	21	1	0	/works/OL98585W	40.0	30.0	2.0	2.0	1.0	5.0	0.9142857142857144	59.42857142857142	59.42857142857142	/works/OL98585W	7821	730	UNIQUE	7821		61	1	61	0	1.0	/works/OL98585W	61	61	0	0	1	61	0	61	1	0	api	accepted	1
The Beautiful and the Damned	F Scott Fitzgerald	1922	The Beautiful and Damned	F. Scott Fitzgerald	1920	/works/OL468362W	52	46	use_title_author	canonical_preserved	495	1	Q2531205	title_variant; year_discrepancy		4	4	0	0	/works/OL468362W	40.0	25.0	2.0	7.0	3.0	3.0	0.7297297297297297	37.94594594594594	37.94594594594594	/works/OL468362W	34554	2119	YEAR_AUTH	34554		495	2	496	1	1.002020202020202	/works/OL468362W|/works/OL38803607W	495	496	0	0	2	496	1	496	1	1	api	accepted	1
The Financier	Theodore Dreiser	1912	The Financier	Theodore Dreiser	1912	/works/OL100237W	35	29	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	352	1	Q577607	openalex:use_with_warning_short_title		6	6	0	0	/works/OL100237W	35.0	25.0	1.0	5.0	3.0	1.0	0.7647058823529411	26.76470588235294	26.76470588235294	/works/OL100237W	3486	134	UNIQUE	3486	short_or_general_title	352	1	352	0	1.0	/works/OL100237W	352	352	0	0	1	352	0	352	1	0	api	accepted	1
Parades End	Ford Maddox Ford	1924	Parade's End	Ford Madox Ford	1950	/works/OL509919W	102	84	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	24	2		title_variant; author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved	Title punctuation and author spelling vary; the two year fields are retained separately.	30	30	0	0	/works/OL509919W	40.0	18.0	5.0	15.0	1.0	1.0	0.5897435897435898	60.15384615384615	60.15384615384615	/works/OL509919W	4661	413	UNIQUE	4661	short_or_general_title	24	0	0	-24	0.0		24	0	0	0	1	24	0	24	2	0	api	accepted	2
King Coal	Upton Sinclair	1917	King Coal	Upton Sinclair	1905	/works/OL115067W	6	5	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	86	2	Q16386559	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL115067W	6.0	2.0	1.0	3.0	0.0	0.0	0.5	3.0	3.0	/works/OL115067W	407	32	UNIQUE	407	short_or_general_title	86	1	86	0	1.0	/works/OL115067W	86	86	0	0	1	86	0	86	2	2	api	accepted	2
Dracula	Bram Stoker	1897	Dracula	Bram Stoker	1922	/works/OL85892W	774	561	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	736	1		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		119	110	6	3	/works/OL85892W	40.0	22.0	2.0	13.0	3.0	0.0	0.6	464.4	464.4	/works/OL85892W	711064	18011	MANUAL_FIX	711064	short_or_general_title	736	1	736	0	1.0	/works/OL85892W	736	736	0	0	1	736	0	736	5	5	corrected_metadata_retry	accepted_after_identity_correction	1
The Crock of Gold	Stephens James	1913	The Crock of Gold	Stephens, James	1912	/works/OL1154817W	3	0	use_title_author	ta_without_lit_terms|canonical_preserved	155	1	Q7728134	year_discrepancy	Author-name order is normalized; the source-list year and Open Library record year differ.	1	1	0	0	/works/OL1154817W	3.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	/works/OL1154817W	490	69	YEAR_AUTH	490		155	0	0	-155	0.0		155	0	0	0	3	183	28	183	1	1	api	accepted	1
The Pit	Frank Norris	1903	The Pit	Frank Norris	1903	/works/OL1794919W	21	17	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|canonical_preserved	291	1	Q7757284	openalex:use_with_warning_short_title		49	4	20	25	/works/OL1794919W	21.0	12.0	2.0	3.0	3.0	1.0	0.7	14.7	14.7	/works/OL1794919W	286	42	YEAR_AUTH	286	short_or_general_title|known_jstor_ambiguous_title	291	1	291	0	1.0	/works/OL1794919W	291	291	0	0	1	291	0	291	1	1	api	accepted	1
Megda	Emma Kelley	1891	Megda	Emma Dunham Kelley	1891	/works/OL4971729W	3	3	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	6	1		author_variant_or_source_error; openalex:use_with_warning_short_title; wikidata_unresolved		0	0	0	0	/works/OL4971729W	3.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	/works/OL4971729W	0	0	NO_MATCH	0	short_or_general_title	6	1	6	0	1.0	/works/OL4971729W	6	6	0	0	1	6	0	6	1	1	api	accepted	1
Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	1886	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	1886	/works/OL44014215W	196	153	use_title_author	canonical_preserved	1	2	Q217352			10	10	0	0	/works/OL44014215W	40.0	28.0	2.0	5.0	3.0	2.0	0.7894736842105263	154.73684210526315	154.73684210526315	/works/OL44014215W	268131	8340	RATINGS_MAX	268131		1	4	20	19	20.0	/works/OL24120W|/works/OL44014215W|/works/OL33078608W|/works/OL22708002W	1	20	2	2	6	22	21	22	2	2	api	accepted	2
The Jungle Book	Rudyard Kipling	1894	The Jungle Book	Kipling, Rudyard	1893	/works/OL19870W	83	61	use_title_author	canonical_preserved	538	21	Q189509	author_variant_or_source_error; year_discrepancy		1	0	0	1	/works/OL19870W	40.0	18.0	4.0	16.0	1.0	1.0	0.5641025641025641	46.82051282051282	46.82051282051282	/works/OL19870W	83283	2443	RATINGS_MAX	83283		538	3	541	3	1.0055762081784387	/works/OL44238347W|/works/OL34198769W|/works/OL19870W	538	541	1	71	4	612	74	612	21	20	title_fallback_reviewed	accepted	21
The Yearling	Marjorie Kinman Rawlings	1938	The Yearling	Marjorie Kinnan Rawlings	1938	/works/OL111382W	14	12	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	65	1	Q429806	author_variant_or_source_error; openalex:use_with_warning_short_title	The source list appears to spell Kinnan as Kinman.	2	2	0	0	/works/OL111382W	14.0	3.0	4.0	4.0	2.0	1.0	0.5384615384615384	7.538461538461538	7.538461538461538	/works/OL111382W	23079	883	UNIQUE	23079	short_or_general_title	65	1	65	0	1.0	/works/OL111382W	65	65	0	0	1	65	0	65	1	0	api	accepted	1
A Room with a View	E. M. Forster	1908	A Room with a View	E. M. Forster	1905	/works/OL88813W	85	60	use_title_author	canonical_preserved	692	1	Q120288	year_discrepancy		10	8	2	0	/works/OL88813W	40.0	31.0	0.0	5.0	3.0	1.0	0.7948717948717948	67.56410256410255	67.56410256410255	/works/OL88813W	123549	4091	YEAR_AUTH	123549		692	2	694	2	1.0028901734104043	/works/OL88813W|/works/OL42221492W	692	694	1	8	3	702	10	702	1	0	api	accepted	1
For Whom the Bell Tolls	Ernest Hemingway	1949	For Whom the Bell Tolls	Ernest Hemingway	1940	/works/OL63009W	249	157	use_title_author	canonical_preserved	182	1	Q200920	year_discrepancy		17	17	0	0	/works/OL63009W	40.0	29.0	3.0	6.0	1.0	1.0	0.8205128205128205	204.3076923076923	204.3076923076923	/works/OL63009W	209824	4798	UNIQUE	209824		182	1	182	0	1.0	/works/OL63009W	182	182	0	0	1	182	0	182	1	0	api	accepted	1
The Frontiersman	Mary Noailles Murfree	1904	The Frontiersmen	Charles Egbert Craddock	1904	/works/OL2337481W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	9	5		title_variant; author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved	Mary Noailles Murfree published as Charles Egbert Craddock; the title also varies between singular and plural.	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2337481W	0	0	NO_MATCH_AUTH	0	short_or_general_title	9	0	0	-9	0.0		9	0	0	0	1	9	0	9	5	5	api	accepted	5
Mrs. Dalloway	Virginia Woolf	1925	Mrs. Dalloway	Virginia Woolf	1925	/works/OL39349W	740	576	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	476	4	Q752584	openalex:use_with_warning_short_title		84	83	0	1	/works/OL39349W	40.0	32.0	2.0	2.0	4.0	0.0	0.85	629.0	629.0	/works/OL39349W	163735	6587	UNIQUE	163735	short_or_general_title	476	1	476	0	1.0	/works/OL39349W	476	476	0	0	1	476	0	476	4	4	api	accepted	4
Tender Is The Night	F Scott Fitzgerald	1934	Tender is the Night	F. Scott Fitzgerald	1933	/works/OL468485W	185	138	use_title_author	canonical_preserved	312	1	Q247372	year_discrepancy		31	31	0	0	/works/OL468485W	40.0	29.0	2.0	7.0	1.0	1.0	0.7948717948717948	147.05128205128204	147.05128205128204	/works/OL468485W	89091	3732	UNIQUE	89091		312	2	314	2	1.0064102564102564	/works/OL42216785W|/works/OL468485W	312	314	0	0	2	314	2	314	1	0	api	accepted	1
To the Lighthouse	Virginia Woolf	1927	To the Lighthouse	Virginia Woolf	1927	/works/OL39396W	634	507	use_title_author	canonical_preserved	521	2	Q478016			64	62	2	0	/works/OL39396W	40.0	27.0	1.0	4.0	4.0	4.0	0.7777777777777778	493.1111111111112	493.1111111111112	/works/OL39396W	97741	4946	UNIQUE	97741		521	1	521	0	1.0	/works/OL39396W	521	521	0	0	1	521	0	521	2	0	api	accepted	2
The Awakening	Kate Chopin	1899	The Awakening	Kate Chopin	1899	/works/OL65430W	411	295	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	346	2	Q1567505	openalex:use_with_warning_short_title		76	56	9	11	/works/OL65430W	40.0	33.0	1.0	3.0	2.0	1.0	0.8717948717948718	358.3076923076923	358.3076923076923	/works/OL65430W	140316	5812	YEAR_AUTH	140316	short_or_general_title|known_jstor_ambiguous_title	346	2	348	2	1.0057803468208093	/works/OL65430W|/works/OL39014581W	346	348	0	0	2	348	2	348	0	0	title_fallback_rejected	rejected_false_positive	2
The Jungle	Upton Sinclair	1906	The jungle	Upton Sinclair	1906	/works/OL44622934W	104	72	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	11		openalex:use_with_warning_short_title; wikidata_unresolved		53	8	12	33	/works/OL44622934W	40.0	21.0	9.0	8.0	0.0	2.0	0.7894736842105263	82.10526315789474	82.10526315789474	/works/OL44622934W	111017	4820	YEAR_AUTH	111017	short_or_general_title|known_jstor_ambiguous_title	1	1	1	0	1.0	/works/OL44622934W	1	1	0	0	1	1	0	1	11	10	title_fallback_reviewed	accepted	11
Peter Pan	J. M. Barrie	1911	Peter Pan	J. M. Barrie	1911	/works/OL462007W	241	139	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	441	1	Q3435337	openalex:use_with_warning_short_title		12	4	4	4	/works/OL462007W	40.0	24.0	0.0	13.0	1.0	2.0	0.631578947368421	152.21052631578945	152.21052631578945	/works/OL462007W	201220	7710	RATINGS_MAX	201220	short_or_general_title	441	2	448	7	1.0158730158730158	/works/OL8137276W|/works/OL462007W	441	448	3	25	5	473	32	473	1	0	api	accepted	1
Pembroke	Mary Wilkins Freeman	1894	Pembroke	Mary Eleanor Wilkins Freeman	1894	/works/OL507321W	9	4	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	31	4	Q7161943	author_variant_or_source_error; openalex:use_with_warning_short_title		29	1	2	26	/works/OL507321W	9.0	3.0	0.0	3.0	3.0	0.0	0.3333333333333333	3.0	3.0	/works/OL507321W	37	5	UNIQUE	37	short_or_general_title	31	1	31	0	1.0	/works/OL507321W	31	31	1	1	2	32	1	32	4	4	api	accepted	4
Orlando	Virginia Woolf	1928	Orlando	Virginia Woolf	1928	/works/OL39360W	431	306	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	452	3	Q1629456	openalex:use_with_warning_short_title		224	59	10	155	/works/OL39360W	40.0	25.0	2.0	5.0	3.0	5.0	0.7714285714285715	332.4857142857143	332.4857142857143	/works/OL39360W	40451	2300	UNIQUE	40451	short_or_general_title|known_jstor_ambiguous_title	452	1	452	0	1.0	/works/OL39360W	452	452	0	0	1	452	0	452	3	3	api	accepted	3
The Genius	Theodore Dreiser	1915	"The ""genius"""	Theodore Dreiser	1915	/works/OL100196W	21	19	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	164	2		openalex:use_with_warning_short_title; wikidata_unresolved		59	4	6	49	/works/OL100196W	21.0	11.0	1.0	2.0	5.0	2.0	0.631578947368421	13.26315789473684	13.26315789473684	/works/OL100196W	0	0	NO_MATCH_AUTH	0	short_or_general_title|known_jstor_ambiguous_title	164	1	164	0	1.0	/works/OL100196W	164	164	0	0	1	164	0	164	2	2	api	accepted	2
Sister Carrie	Theodore Dreiser	1900	Sister Carrie	Theodore Dreiser	1900	/works/OL100203W	254	200	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	463	13	Q1286961	openalex:use_with_warning_short_title		43	43	0	0	/works/OL100203W	40.0	26.0	1.0	10.0	1.0	2.0	0.7105263157894737	180.4736842105263	180.4736842105263	/works/OL100203W	31105	1195	YEAR_AUTH	31105	short_or_general_title	463	1	463	0	1.0	/works/OL100203W	463	463	0	0	1	463	0	463	13	11	title_fallback_reviewed	accepted	13
The Border Legion	Zane Grey	1916	The border legion	Zane Grey	1916	/works/OL485410W	2	1	use_title_author	canonical_preserved	302	2		wikidata_unresolved		0	0	0	0	/works/OL485410W	2.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	/works/OL485410W	497	31	UNIQUE	497		302	1	302	0	1.0	/works/OL485410W	302	302	0	0	1	302	0	302	2	2	api	accepted	2
The North Star	Margaret Ellen Henry-Ruffin	1904	The North Star	M. E. Henry-Ruffin	1904	/works/OL18397742W	0	0	zero_title_author	canonical_preserved	1	0		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved	The full author name and initials refer to the same author.	7	0	7	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL18397742W	125	12	RATINGS_MAX	125		1	1	1	0	1.0	/works/OL18397742W	1	1	0	0	1	1	0	1	0	0	none	no_current_match	0
