selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original	academic_reader_residual	residual_z	jstor_reader_residual	jstor_residual_z	academic_reader_residual_combined	configuration	academic_reader_configuration	ol_level_exploratory	hathi_level_exploratory	configuration_3way	log_academic_openalex	z_academic_openalex	log_academic_jstor	z_academic_jstor	log_reader_goodreads	z_reader_goodreads	log_bibliographic_ol	z_bibliographic_ol	log_digitization_hathi	z_digitization_hathi
The Good Soldier	Ford Maddox Ford	1915	The Good Soldier	Ford Madox Ford	1930	/works/OL509889W	125	108	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	355	2		author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved		74	72	0	2	/works/OL509889W	40.0	21.0	3.0	13.0	2.0	1.0	0.6153846153846154	76.92307692307693	76.92307692307693	/works/OL509889W	18106	1195	MANUAL_FIX	18106		355	1	355	0	1.0	/works/OL509889W	355	355	0	0	1	355	0	355	1	1	corrected_metadata_retry	accepted_after_identity_correction	2	0.1678778346900671	0.157460982163577	1.6433398959407772	1.3534944717922113	0.7554777269778942	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.355722146787147	0.309893615241816	4.290459441148391	1.186387792147023	9.804053882820645	0.3091252750905613	5.87493073085203	0.545540913762282	0.6931471805599453	-0.735997233902501
The Story of an African Farm	Olive Schreiner	1883	The story of an African farm	Olive Schreiner	1883	/works/OL18561767W	74	74	use_title_author	canonical_preserved	7	2		wikidata_unresolved		8	8	0	0	/works/OL18561767W	40.0	33.0	2.0	4.0	1.0	0.0	0.875	64.75	64.75	/works/OL18561767W	1606	124	UNIQUE	1606		7	2	58	51	8.285714285714286	/works/OL18561767W|/works/OL890573W	7	58	0	0	2	58	51	58	2	2	api	accepted	2	1.2218513200509924	1.146035206305147	0.409824558011719	0.3375414149219551	0.7417883106135511	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	4.185859671057874	0.2255932159663903	2.19722457733622	-0.1145027874891559	7.382124365737512	-0.3015592105052333	4.07753744390572	-0.5080924962724465	1.0986122886681096	-0.1916615135060486
Sister Carrie	Theodore Dreiser	1900	Sister Carrie	Theodore Dreiser	1900	/works/OL100203W	254	200	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	463	13	Q1286961	openalex:use_with_warning_short_title		43	43	0	0	/works/OL100203W	40.0	26.0	1.0	10.0	1.0	2.0	0.7105263157894737	180.4736842105263	180.4736842105263	/works/OL100203W	31105	1195	YEAR_AUTH	31105	short_or_general_title	463	1	463	0	1.0	/works/OL100203W	463	463	0	0	1	463	0	463	13	11	title_fallback_reviewed	accepted	13	0.7398396235928573	0.6939324300288657	0.944993458415332	0.778319460876187	0.7361259454525264	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	5.201110652617143	0.7294482477664762	3.784189633918261	0.8717543822197376	10.345156005604505	0.4455630488475063	6.139884552226255	0.700857059840998	2.639057329615259	1.8763814434021464
A Portrait of the Artist as a Young Man	James Joyce	1916	A portrait of the artist as a young man	Joyce, James	1921	/works/OL38989822W	509	384	use_title_author	canonical_preserved	3	14	Q465360	author_variant_or_source_error; year_discrepancy		67	67	0	0	/works/OL38989822W	40.0	24.0	1.0	12.0	2.0	1.0	0.6410256410256411	326.2820512820513	326.2820512820513	/works/OL38989822W	104979	4047	YEAR_AUTH	104979		3	2	5	2	1.6666666666666667	/works/OL38989822W|/works/OL33122325W	3	5	0	0	2	5	2	5	14	9	title_fallback_reviewed	accepted	14	0.7149024251576908	0.6705425896413089	0.9485333612004418	0.7812350103995466	0.7258888000204278	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	5.790822341268488	1.022114009273016	4.219507705176107	1.1422931487169583	11.56152513480629	0.7522679924561937	1.791759469228055	-1.8480174083842624	2.70805020110221	1.9690041713559685
Marrow of Tradition	Mary Chesnutt	1901	The marrow of tradition	Charles Waddell Chesnutt	1901	/works/OL112798W	54	49	use_title_author	canonical_preserved	144	5		title_variant; author_variant_or_source_error; wikidata_unresolved	The source list records Mary Chesnutt; the matched work metadata identifies Charles Waddell Chesnutt.	17	17	0	0	/works/OL112798W	40.0	21.0	4.0	5.0	6.0	4.0	0.6944444444444444	37.5	37.5	/works/OL112798W	2002	127	UNIQUE	2002		144	1	144	0	1.0	/works/OL112798W	144	144	0	0	1	144	0	144	5	5	api	accepted	5	0.5753407562692332	0.5396407496447706	1.02477936723552	0.8440330644841734	0.691836907064472	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	3.6506582412937383	-0.0400198573636126	2.8903717578961645	0.3162700097160416	7.602401335665818	-0.2460168311253091	4.976733742420574	0.0190171069376783	1.791759469228055	0.7388865467976155
The Turn of the Screw	Henry James	1898	Turn of the Screw	Henry James	1898	/works/OL40252771W	280	214	use_title_author	canonical_preserved	8	1		title_variant; wikidata_unresolved		67	67	0	0	/works/OL40252771W	40.0	29.0	1.0	9.0	1.0	0.0	0.75	210.0	210.0	/works/OL40252771W	68334	4634	RATINGS_MAX	68334		8	3	577	569	72.125	/works/OL40252771W|/works/OL276386W|/works/OL41530014W	8	577	2	35	5	612	604	612	1	0	title_fallback_reviewed	accepted	1	0.4928938486713674	0.4623096888130826	1.1009402183400172	0.9067609829090552	0.6845353358610688	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	5.351858133476067	0.8042621392490539	4.219507705176107	1.1422931487169583	11.1321773593989	0.6440088447324653	6.418364935936212	0.8641024877877117	0.6931471805599453	-0.735997233902501
The Shadow-Line	Joseph Conrad	1921	The shadow-line	Conrad, Joseph	1917	/works/OL38827W	71	60	use_title_author	canonical_preserved	147	3		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		15	15	0	0	/works/OL38827W	40.0	25.0	1.0	13.0	0.0	1.0	0.6666666666666666	47.33333333333333	47.33333333333333	/works/OL38827W	2752	172	UNIQUE	2752	short_or_general_title	147	1	147	0	1.0	/works/OL38827W	147	147	1	1	2	148	1	148	3	3	api	accepted	3	0.6420911515665835	0.6022492698388285	0.7940988915903353	0.6540390472346784	0.6281441585367535	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	3.8781214537524646	0.0728669915323323	2.772588722239781	0.2430709415296395	7.920446505142607	-0.165822403769687	5.003946305945459	0.0349691338595234	1.3862943611198906	0.1945508264011629
Tess of the D'Urbervilles	Thomas Hardy	1891	Tess of the D'Urbervilles	Thomas Hardy	1891	/works/OL40434746W	504	369	use_with_warning_risky_author	observed_risky_author_last:hardy|canonical_preserved	9	39	Q649409	openalex:use_with_warning_risky_author		65	63	2	0	/works/OL40434746W	40.0	34.0	0.0	4.0	0.0	2.0	0.8947368421052632	450.9473684210527	450.9473684210527	/works/OL40434746W	194972	6886	UNIQUE	194972		9	2	10	1	1.1111111111111112	/works/OL40434746W|/works/OL43906748W	9	10	0	0	2	10	1	10	39	34	title_fallback_reviewed	accepted	39	0.724810075502254	0.6798354683412777	0.668148083110665	0.5503029160690678	0.6150691922051728	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	6.1135657315060445	1.182287093668028	4.158883083359672	1.104616535940035	12.180616366420738	0.908370557641768	2.3978952727983707	-1.4927001062122034	3.688879454113936	3.285764571566844
The Awakening	Kate Chopin	1899	The Awakening	Kate Chopin	1899	/works/OL65430W	411	295	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	346	2	Q1567505	openalex:use_with_warning_short_title		76	56	9	11	/works/OL65430W	40.0	33.0	1.0	3.0	2.0	1.0	0.8717948717948718	358.3076923076923	358.3076923076923	/works/OL65430W	140316	5812	YEAR_AUTH	140316	short_or_general_title|known_jstor_ambiguous_title	346	2	348	2	1.0057803468208093	/works/OL65430W|/works/OL39014581W	346	348	0	0	2	348	2	348	0	0	title_fallback_rejected	rejected_false_positive	2	0.6616501387917726	0.6205946180754731	0.6690870907744748	0.5510763054847794	0.5858354617801262	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	5.884179103040571	1.0684456799887465	4.04305126783455	1.0326300999008602	11.851659427673926	0.8254247503815692	5.855071922202427	0.5338996639430743	0.0	-1.666545294206165
As I Lay Dying	William Faulkner	1930	As I Lay Dying	William Faulkner	1915	/works/OL82929W	285	206	use_title_author	canonical_preserved	62	1	Q1544119	year_discrepancy		72	71	1	0	/works/OL82929W	40.0	28.0	2.0	6.0	3.0	1.0	0.7692307692307693	219.23076923076923	219.23076923076923	/works/OL82929W	112656	5659	YEAR_AUTH	112656		62	1	62	0	1.0	/works/OL82929W	62	62	1	6	2	68	6	68	1	0	api	accepted	1	0.2830919749061449	0.2655260624110595	0.9806385106953956	0.807677587777981	0.5366018250945203	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	5.394675947636578	0.8255120286924706	4.276666119016055	1.1778156041264374	11.63210308329955	0.7700640752348211	4.23410650459726	-0.4163115852606822	0.6931471805599453	-0.735997233902501
The House of Mirth	Edith Wharton	1905	The house of mirth	Edith Wharton	1906	/works/OL42236259W	218	171	use_title_author	canonical_preserved	1	1		year_discrepancy; wikidata_unresolved		60	60	0	0	/works/OL42236259W	40.0	29.0	1.0	5.0	4.0	1.0	0.7692307692307693	167.6923076923077	167.6923076923077	/works/OL42236259W	68754	3561	UNIQUE	68754		1	3	697	696	697.0	/works/OL42236259W|/works/OL32146991W|/works/OL98587W	1	697	0	0	3	697	696	697	1	1	api	accepted	1	0.2660158521664657	0.2495095164322546	0.9901313227606368	0.81549609731688	0.5325028068745673	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	5.128076390956352	0.6932023530074515	4.110873864173311	1.0747800651001205	11.138304740157045	0.6455538510342357	6.548219102762372	0.9402231062377312	0.6931471805599453	-0.735997233902501
The Pit	Frank Norris	1903	The Pit	Frank Norris	1903	/works/OL1794919W	21	17	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|canonical_preserved	291	1	Q7757284	openalex:use_with_warning_short_title		49	4	20	25	/works/OL1794919W	21.0	12.0	2.0	3.0	3.0	1.0	0.7	14.7	14.7	/works/OL1794919W	286	42	YEAR_AUTH	286	short_or_general_title|known_jstor_ambiguous_title	291	1	291	0	1.0	/works/OL1794919W	291	291	0	0	1	291	0	291	1	1	api	accepted	1	0.6601283171347903	0.6191672257504015	0.4335293019219002	0.3570652151515557	0.4881162204509786	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	2.7536607123542622	-0.4851873348421986	1.6094379124341005	-0.4797967869471867	5.659482215759621	-0.7359198423091908	5.676753802268282	0.4293694366735611	0.6931471805599453	-0.735997233902501
The Rise of David Levinsky	Abraham Cahan	1917	The rise of David Levinsky	Abraham Cahan	1917	/works/OL14864528W	24	19	use_title_author	canonical_preserved	20	2		wikidata_unresolved		7	7	0	0	/works/OL14864528W	24.0	11.0	2.0	6.0	4.0	1.0	0.5652173913043478	13.565217391304348	13.565217391304348	/works/OL14864528W	448	45	UNIQUE	448		20	1	20	0	1.0	/works/OL14864528W	20	20	0	0	1	20	0	20	2	2	api	accepted	2	0.358955155999566	0.3366819182575264	0.7446680874071503	0.6133266417466567	0.4750042800020916	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	2.678636315895917	-0.5224209059984115	2.079441541679836	-0.1877018556755583	6.107022887742255	-0.6230733935892178	3.044522437723423	-1.1136467350056252	1.0986122886681096	-0.1916615135060486
Kim	Rudyard Kipling	1900	Kim	Kipling, Rudyard	1901	/works/OL20172W	218	171	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	65	1	Q19086249	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		93	21	5	67	/works/OL20172W	40.0	27.0	2.0	6.0	2.0	3.0	0.7837837837837838	170.86486486486487	170.86486486486487	/works/OL20172W	27404	1393	YEAR_AUTH	27404	short_or_general_title|known_jstor_ambiguous_title	65	2	999	934	15.36923076923077	/works/OL20172W|/works/OL19908W	65	999	0	0	2	999	934	999	1	0	api	accepted	1	0.7494483018469129	0.7029448879151059	0.2968125675390354	0.2444620071081234	0.4737034475116147	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	5.146708498623183	0.7024492105544942	3.091042453358316	0.44098158501454	10.218480757480217	0.4136221487540684	6.907755278982137	1.1509835058300064	0.6931471805599453	-0.735997233902501
The Custom of the Country	Edith Wharton	1913	The Custom of the Country	Edith Wharton	1900	/works/OL98585W	65	51	use_title_author	canonical_preserved	61	1	Q7728505	year_discrepancy		22	21	1	0	/works/OL98585W	40.0	30.0	2.0	2.0	1.0	5.0	0.9142857142857144	59.42857142857142	59.42857142857142	/works/OL98585W	7821	730	UNIQUE	7821		61	1	61	0	1.0	/works/OL98585W	61	61	0	0	1	61	0	61	1	0	api	accepted	1	0.3377576023107229	0.3167996769272605	0.7418724307436961	0.6110240713238484	0.4639118741255544	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	4.101462029990965	0.1837078330453031	3.091042453358316	0.44098158501454	8.96469555531546	0.0974828202430798	4.127134385045092	-0.4790187289453466	0.6931471805599453	-0.735997233902501
Lady Chatterley's Lover	D. H. Lawrence	1928	Lady Chatterley's lover	Lawrence, D. H.	1946	/works/OL43405505W	287	218	use_title_author	canonical_preserved	2	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		32	32	0	0	/works/OL43405505W	40.0	36.0	0.0	1.0	2.0	1.0	0.9230769230769232	264.92307692307696	264.92307692307696	/works/OL43405505W	77768	3876	UNIQUE	77768		2	2	516	514	258.0	/works/OL43405505W|/works/OL81180W	2	516	0	0	2	516	514	516	1	0	title_fallback_reviewed	accepted	1	0.6588951228764568	0.6180105514373562	0.3320346806358705	0.2734717910725751	0.4457411712549656	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	5.583207082460088	0.9190774254832348	3.49650756146648	0.6929675177103398	11.26149817317762	0.6766168186979504	6.248042874508429	0.7642595565329788	0.6931471805599453	-0.735997233902501
Dracula	Bram Stoker	1897	Dracula	Bram Stoker	1922	/works/OL85892W	774	561	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	736	1		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		119	110	6	3	/works/OL85892W	40.0	22.0	2.0	13.0	3.0	0.0	0.6	464.4	464.4	/works/OL85892W	711064	18011	MANUAL_FIX	711064	short_or_general_title	736	1	736	0	1.0	/works/OL85892W	736	736	0	0	1	736	0	736	5	5	corrected_metadata_retry	accepted_after_identity_correction	1	0.1003138450861635	0.0940893513490546	0.7594946894589447	0.6255381896815279	0.3598137705152912	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	6.142897250868192	1.1968439213780209	4.709530201312334	1.4468292808318608	13.474519125141232	1.234625444518843	6.602587892189336	0.9720941349210064	1.791759469228055	0.7388865467976155
Howard's End	E. M. Forster	1910	Howards End	E. M. Forster	1910	/works/OL88881W	182	135	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	467	2	Q1146642	title_variant; openalex:use_with_warning_short_title		30	30	0	0	/works/OL88881W	40.0	27.0	6.0	3.0	1.0	3.0	0.8918918918918919	162.32432432432432	162.32432432432432	/works/OL88881W	60000	2014	UNIQUE	60000	short_or_general_title	467	0	0	-467	0.0		467	0	1	8	3	481	14	481	2	1	api	accepted	2	0.3024952855236567	0.2837253938040271	0.3615878050943397	0.2978124589268208	0.290768926365424	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	5.095737943717334	0.6771532285466647	3.4339872044851463	0.654112755237873	11.002116507732016	0.6112142717541407	6.1779441140506	0.72316760600841	1.0986122886681096	-0.1916615135060486
Pembroke	Mary Wilkins Freeman	1894	Pembroke	Mary Eleanor Wilkins Freeman	1894	/works/OL507321W	9	4	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	31	4	Q7161943	author_variant_or_source_error; openalex:use_with_warning_short_title		29	1	2	26	/works/OL507321W	9.0	3.0	0.0	3.0	3.0	0.0	0.3333333333333333	3.0	3.0	/works/OL507321W	37	5	UNIQUE	37	short_or_general_title	31	1	31	0	1.0	/works/OL507321W	31	31	1	1	2	32	1	32	4	4	api	accepted	4	0.3144552420697695	0.294943232703733	0.2349570281684095	0.1935162893082529	0.2442297610059929	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	1.3862943611198906	-1.163792358523568	0.6931471805599453	-1.049247450085954	3.6375861597263857	-1.2457367235179768	3.49650756146648	-0.8486926870112359	1.6094379124341005	0.4941203906558518
The Red Badge of Courage	Stephen Crane	1895	The red badge of courage	Crane, Stephen	1900	/works/OL42517032W	153	108	use_title_author	canonical_preserved	1	1	Q1219239	author_variant_or_source_error; year_discrepancy		45	45	0	0	/works/OL42517032W	40.0	27.0	2.0	5.0	3.0	3.0	0.7837837837837838	119.91891891891892	119.91891891891892	/works/OL42517032W	76073	2918	RATINGS_MAX	76073		1	3	18	17	18.0	/works/OL42517032W|/works/OL42504106W|/works/OL42430849W	1	18	1	1	4	19	18	19	1	1	api	accepted	1	-0.1180564476106864	-0.1107310219115034	0.671990822040649	0.5534678887634699	0.2213684334259832	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	4.795120229405851	0.5279608113460917	3.828641396489095	0.8993799870557417	11.239461829756005	0.6710604005809404	2.995732273553991	-1.1422475690152654	0.6931471805599453	-0.735997233902501
Three Lives	Gertrude Stein	1909	Three Lives	Gertrude Stein	1909	/works/OL35383W	50	33	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	149	1	Q7797597	openalex:use_with_warning_short_title		8	6	1	1	/works/OL35383W	40.0	30.0	2.0	4.0	3.0	1.0	0.8205128205128205	41.02564102564102	41.02564102564102	/works/OL35383W	2853	255	YEAR_AUTH	2853	short_or_general_title	149	1	149	0	1.0	/works/OL35383W	149	149	0	0	1	149	0	149	1	1	api	accepted	1	0.4840430031001825	0.4540080399432966	-0.0453694618523605	-0.0373673857471845	0.208320327098056	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	3.738279932614183	0.0034655771432659	1.9459101490553128	-0.2706881147686175	7.956476798036782	-0.1567374404267221	5.010635294096256	0.0388902241663528	0.6931471805599453	-0.735997233902501
The Age of Innocence	Edith Wharton	1920	The Age of Innocence	Edith Wharton	1920	/works/OL98491W	174	128	use_title_author	canonical_preserved	301	1	Q1045464			47	46	0	1	/works/OL98491W	40.0	31.0	2.0	4.0	2.0	1.0	0.8461538461538461	147.23076923076923	147.23076923076923	/works/OL98491W	116938	5178	YEAR_AUTH	116938		301	3	303	2	1.0066445182724253	/works/OL98491W|/works/OL32146717W|/works/OL36950277W	301	303	0	0	3	303	2	303	1	0	api	accepted	1	-0.1316642285324283	-0.1234944373615541	0.5408778589626171	0.4454800822574883	0.1609928224479671	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.998770310952829	0.629029532458136	3.8501476017100575	0.9127455296708318	11.669407710299222	0.7794703592694923	5.717027701406222	0.4529780291793203	0.6931471805599453	-0.735997233902501
Return Of The Soldier	Nathaniel West	1918	The Return of the Soldier	Rebecca West	1918	/works/OL27834207W	40	31	use_with_warning_risky_author	observed_risky_author_last:west|canonical_preserved	95	3	Q7760466	title_variant; author_variant_or_source_error; openalex:use_with_warning_risky_author	The source list records Nathaniel West; the matched work is Rebecca West's The Return of the Soldier.	9	9	0	0	/works/OL27834207W	40.0	28.0	1.0	5.0	2.0	4.0	0.8055555555555556	32.22222222222222	32.22222222222222	/works/OL27834207W	3659	371	UNIQUE	3659		95	1	95	0	1.0	/works/OL27834207W	95	95	0	0	1	95	0	95	3	3	api	accepted	3	0.1232893295478332	0.1156392024994314	0.2230089262652823	0.183675543693643	0.1496573730965372	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	3.503218996054467	-0.1131919172266024	2.302585092994046	-0.0490239897419886	8.205218426395412	-0.0940177566832433	4.564348191467836	-0.222723639205635	1.3862943611198906	0.1945508264011629
Alexander's Bridge	Willa Cather	1912	Alexander's Bridge	Willa Cather	1912	/works/OL12781W	32	29	use_title_author	canonical_preserved	229	2	Q4718102			4	4	0	0	/works/OL12781W	32.0	16.0	1.0	12.0	1.0	2.0	0.5666666666666667	18.133333333333333	18.133333333333333	/works/OL12781W	976	138	UNIQUE	976	short_or_general_title	229	1	229	0	1.0	/works/OL12781W	229	229	0	0	1	229	0	229	2	2	api	accepted	2	0.2388871869770894	0.2240641902318519	-0.0013141671954219	-0.0010823798767421	0.1114909051775548	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	2.951432014657411	-0.3870361706265745	1.6094379124341005	-0.4797967869471867	6.884486652042782	-0.427037523997501	5.438079308923196	0.2894582541083144	1.0986122886681096	-0.1916615135060486
Tender Is The Night	F Scott Fitzgerald	1934	Tender is the Night	F. Scott Fitzgerald	1933	/works/OL468485W	185	138	use_title_author	canonical_preserved	312	1	Q247372	year_discrepancy		31	31	0	0	/works/OL468485W	40.0	29.0	2.0	7.0	1.0	1.0	0.7948717948717948	147.05128205128204	147.05128205128204	/works/OL468485W	89091	3732	UNIQUE	89091		312	2	314	2	1.0064102564102564	/works/OL42216785W|/works/OL468485W	312	314	0	0	2	314	2	314	1	0	api	accepted	1	0.004561055546195	0.0042780411561323	0.2530127348185678	0.2083874058652452	0.1063327235106888	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.997558714093234	0.6284282336804854	3.4657359027997265	0.6738437387348374	11.397424822671375	0.7108904403865064	5.752572638825633	0.4738145004706499	0.6931471805599453	-0.735997233902501
The Sun Also Rises	Ernest Hemingway	1926	The Sun Also Rises	Ernest Hemingway	1926	/works/OL62979W	416	297	use_title_author	canonical_preserved	162	1	Q501351			42	42	0	0	/works/OL62979W	40.0	21.0	4.0	9.0	3.0	3.0	0.6756756756756757	281.0810810810811	281.0810810810811	/works/OL62979W	308432	10069	YEAR_AUTH	308432		162	1	162	0	1.0	/works/OL62979W	162	162	0	0	1	162	0	162	1	0	api	accepted	1	0.0216796846702234	0.0203344559898115	0.1076590491853384	0.0886705959434779	0.0545025259666447	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	5.642194551175828	0.9483520910244868	3.7612001156935615	0.8574669994678477	12.639259918837856	1.0240165745485683	5.093750200806762	0.0876122502349444	0.6931471805599453	-0.735997233902501
Three Soldiers	John Dos Passos	1921	Three soldiers	John Dos Passos	1921	/works/OL1217993W	31	26	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	19	3	Q7797826	openalex:use_with_warning_short_title		2	2	0	0	/works/OL1217993W	31.0	19.0	2.0	6.0	2.0	2.0	0.7241379310344828	22.448275862068964	22.448275862068964	/works/OL1217993W	842	90	UNIQUE	842	short_or_general_title	19	2	20	1	1.0526315789473684	/works/OL1217993W|/works/OL18415511W	19	20	0	0	2	20	1	20	3	0	api	accepted	3	0.516795972296507	0.4847286809853256	-0.4597742862988196	-0.378681218848768	0.0530237310682787	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	3.1547969681836783	-0.2861089546108582	1.0986122886681096	-0.7972615173901539	6.736966958001855	-0.4642343077334417	3.044522437723423	-1.1136467350056252	1.3862943611198906	0.1945508264011629
Martin Eden	Jack London	1909	Martin Eden	Jack London	1908	/works/OL144822W	94	75	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	168	1	Q1317839	year_discrepancy; openalex:use_with_warning_short_title		10	10	0	0	/works/OL144822W	40.0	33.0	0.0	7.0	0.0	0.0	0.825	77.55	77.55	/works/OL144822W	15636	781	UNIQUE	15636	short_or_general_title	168	1	168	0	1.0	/works/OL144822W	168	168	0	0	1	168	0	168	1	1	api	accepted	1	0.2499998131792287	0.2344872758014031	-0.1971643963060008	-0.1623893639371835	0.0360489559321098	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	4.36373536470163	0.3138704645534235	2.3978952727983707	0.010208787809342	9.65739517984351	0.2721455884588868	5.1298987149230735	0.1088025386780296	0.6931471805599453	-0.735997233902501
The Great Gatsby	F Scott Fitzgerald	1925	The Great Gatsby	F. Scott Fitzgerald	1925	/works/OL35353208W	858	652	use_title_author	canonical_preserved	2	6	Q214371			107	106	1	0	/works/OL35353208W	40.0	32.0	1.0	6.0	0.0	1.0	0.8461538461538461	726.0	726.0	/works/OL35353208W	2852789	52899	YEAR_AUTH	2852789		2	3	1181	1179	590.5	/works/OL35353208W|/works/OL43595009W|/works/OL468431W	2	1181	0	0	3	1181	1179	1181	6	4	title_fallback_reviewed	accepted	6	-0.1556846705113406	-0.146024406210542	0.22963331021817	0.1891315464849156	0.0215535701371867	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	6.588926477533519	1.418202062632974	4.672828834461906	1.4240203437073655	14.863808020756773	1.5849317472326898	7.074963197966044	1.249000924245505	1.9459101490553128	0.9458333830984822
At Fault	Kate Chopin	1890	At Fault	Kate Chopin	1890	/works/OL65437W	13	10	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	127	2	Q131573518	openalex:use_with_warning_short_title		1	1	0	0	/works/OL65437W	13.0	7.0	3.0	2.0	1.0	0.0	0.7692307692307693	10.0	10.0	/works/OL65437W	242	36	UNIQUE	242	short_or_general_title	127	1	127	0	1.0	/works/OL65437W	127	127	0	0	1	127	0	127	2	0	api	accepted	2	0.38845769723499	0.3643538210303237	-0.4236865532673458	-0.3489584893767554	0.0076976658267841	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	2.3978952727983707	-0.6617488059628651	0.6931471805599453	-1.049247450085954	5.493061443340548	-0.7778824936086374	4.852030263919617	-0.0540841738172891	1.0986122886681096	-0.1916615135060486
The Odd Women	George Gissing	1893	The odd women	George Gissing	1893	/works/OL715621W	35	26	use_title_author	canonical_preserved	36	1		wikidata_unresolved		7	7	0	0	/works/OL715621W	35.0	23.0	2.0	4.0	4.0	2.0	0.7575757575757576	26.51515151515152	26.51515151515152	/works/OL715621W	3411	199	UNIQUE	3411		36	1	36	0	1.0	/works/OL715621W	36	36	0	0	1	36	0	36	1	0	api	accepted	1	-0.0297377052601799	-0.0278924748237532	0.0247718825671947	0.0204027214293303	-0.0037448766972114	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	3.314736817134813	-0.2067330178788331	2.079441541679836	-0.1877018556755583	8.13505390861157	-0.1117095937691993	3.610917912644224	-0.7816252458840464	0.6931471805599453	-0.735997233902501
