OL1001635A	Peter Cheyney
OL229963A	Wendy Rasmussen
OL230392A	Harry Brown
OL23048A	Gertrude Chandler Warner
OL2305533A	Natalie Sumner Lincoln
OL2305835A	Eva March Tappan
OL2306359A	Alfred Ollivant
OL230793A	Laura Otis
OL23082A	George MacDonald
OL230855A	Mary S. Lovell
OL2309742A	Frank L. Packard
OL2310173A	Richard Hoffmann
OL23108A	Johanna Lindsey
OL2314994A	Louis Joseph Vance
OL2315034A	Schweikert, Harry Christian
OL2318581A	Elizabeth Foreman Lewis
OL231877A	Michael Hague
OL2319025A	Eva Emery Dye
OL23222A	Erle Stanley Gardner
OL2323155A	Ethel Lina White
OL232498A	Denise Robins
OL232499A	C. S. Forester
OL232501A	Bernard Malamud
OL232700A	Cleanth Brooks
OL232820A	George du Maurier
OL23326A	H. Rider Haggard
OL233497A	Fay Weldon
OL2335455A	Lucile Phillips Morrison
OL233569A	Arna Bontemps
OL2337786A	Gwethalyn Graham
OL2338073A	Cicely Englefield
OL233814A	Enid Blyton
OL2338232A	Maxim Lieber
OL2339207A	Ruth Sergel
OL234170A	John O'Hara
OL23431A	L. Frank Baum
OL23432A	Elizabeth Yates
OL2345042A	John Reid Muir
OL2345998A	Grace Paull
OL2346580A	George Pope Morris
OL2348462A	Vera Neville
OL2350000A	Reşat Nuri Güntekin
OL235310A	Conrad Richter
OL2355312A	Ramón del Valle Inclán
OL236182A	Lloyd Alexander
OL236390A	Rebecca Hourwich Reyher
OL2365048A	Robert Carstairs
OL236704A	Walter R. Brooks
OL2368011A	Emmy Payne
OL23681A	William Dean Howells
OL2368878A	Henry Brodribb Irving
OL23696A	Sigrid Undset
OL237115A	Arnold Lobel
OL237336A	Gypsy Rose Lee
OL23761A	Kenneth Grahame
OL23767A	Frances Hodgson Burnett
OL2378411A	S. J. Simon
OL237989A	Robert Marshall
OL238268A	Ludwig Bemelmans
OL238489A	Bertha Muzzy Bower
OL2385072A	Wells Hastings
OL2385394A	Chester K. Steele
OL2385553A	Mary Dillon
OL2385908A	Annie Payson Call
OL2390848A	Mary Stewart Doubleday Cutting
OL2392802A	Frances Little
OL2394683A	Thomas W. Hanshew
OL2396886A	Geraldine Bonner
OL239800A	Truman Capote
OL2399473A	Alleyne Ireland
OL2399792A	May Sinclair
OL240421A	George Samuel Schuyler
OL2407737A	Annie Hamilton Donnell
OL2407966A	Alexander Aaronsohn
OL24137A	Ray Bradbury
OL241416A	Margery Allingham
OL241532A	Flann O'Brien
OL241549A	William J. Maxwell
OL2415993A	Marcel Allain
OL2417635A	Austin Bishop
OL24181A	Harold Frederic
OL2418943A	Margaret O'Bannon Womack Vandercook
OL2419132A	Mary E. Hanshew
OL2419899A	James P. Smythe
OL242067A	Gillian Cross
OL24244A	Stephanie True Peters
OL242646A	Wanda Gág
OL2428172A	William John Alexander Worster
OL2435483A	Alice Prescott Smith
OL243711A	Frances Ellen Watkins Harper
OL24371A	Dorothy Canfield Fisher
OL243789A	Herminie Templeton Kavanagh
OL244097A	Howard Pyle
OL244300A	August Derleth
OL244358A	H. A. Rey
OL24452A	Danielle Steel
OL24457A	Claude McKay
OL24461A	Rudyard Kipling
OL2447643A	Alexander Jessup
OL24502A	Theodore Roosevelt
OL24527A	Stephen Crane
OL24528A	George Eliot
OL24529A	Emily Brontë
OL245390A	Clare Turlay Newberry
OL2459830A	The Detection Club
OL24638A	Charles Dickens
OL2465239A	Conrad Buff
OL24708A	A. E. van Vogt
OL2471027A	Martin Jarvis
OL247209A	Ruth Krauss
OL24761A	Samuel Butler
OL24762A	Sherwood Anderson
OL248278A	川端康成
OL248539A	Leigh Brackett
OL24950A	Astrid Lindgren
OL2502501A	John Montgomery Gambrill
OL25078A	Walker Evans
OL25123A	Anna Sewell
OL2515514A	S. E. Chapman
OL2516619A	Mrs. Steele MacKaye
OL2517810A	Timothy Holmes
OL25234A	Henry Patterson
OL2523669A	H. R. Naylor
OL252577A	Paul Bowles
OL253023A	Antonio Fogazzaro
OL2532352A	Joseph Jacobs
OL254163A	Anthony Powell
OL2543194A	Edith Franklin Wyatt
OL25442A	Laurence Yep
OL2547823A	Lewis, Janet
OL2548172A	Lieberman, Elias
OL25483A	Jenny Nimmo
OL2553536A	Stanley John Weymann
OL2558322A	Henry Cuyler Bunner
OL25630A	Lisa McCue
OL2570949A	Robert Michael Ballantyne
OL257512A	Georges Rodenbach
OL2576251A	Marie Belloc Lowndes
OL25788A	John Steinbeck
OL257959A	Gabrielle Roy
OL2582274A	Elias Lieberman
OL25918A	Erskine Childers
OL25930A	Charles Perrault
OL25931A	Hans Christian Andersen
OL259636A	Ricardo Güiraldes
OL25963A	Robert Louis Stevenson
OL25965A	Stephen Vincent Benét
OL25966A	Henry Adams
OL25968A	George Barr McCutcheon
OL25969A	Miranda Seymour
OL2607114A	David Rintoul
OL2610977A	Macaulay, Fannie (Caldwell) Mrs.
OL26134A	Mabel Seeley
OL2615286A	William James Lampton
OL2622837A	Dr. Seuss
OL262325A	L. Sprague De Camp
OL2623771A	Various
OL2623912A	Henri Charrière
OL2623989A	David Walliams
OL2624498A	Elmer Hader
OL2625174A	Josephine Tey
OL2627043A	Николай Васильевич Гоголь
OL2627505A	Ockert Meyer
OL2627552A	Tomie dePaola
OL2628053A	Various
OL2628636A	Teresa Mlawer
OL2628655A	Stephen R. Lawhead
OL2629251A	Betty MacDonald
OL2629730A	Margaret Jull Costa
OL2630296A	Peter Abrahams
OL2630575A	Thomas Wolfe
OL26306A	John Hay
OL2632003A	Esphyr Slobodkina
OL2632008A	Raymond Chandler
OL26320A	J.R.R. Tolkien
OL263369A	Jane Gardam
OL26370A	Tasha Tudor
OL26405A	J. M. Synge
OL26407A	Linda Lael Miller
OL2641012A	Elliot
OL26435A	Ira Levin
OL26439A	Stefan Zweig
OL2644841A	Mervyn Peake
OL2644943A	Jane Bowles
OL2645050A	Irving Stone
OL2645782A	Henry Brooke
OL26459A	Langston Hughes
OL26460A	W. E. B. Du Bois
OL2649309A	Porter
OL2650281A	J. Smith
OL2657048A	Wyndham Lewis
OL2657570A	Elizabeth von Arnim
OL2657571A	Mary Elizabeth Braddon
OL2657660A	Daniel Karlin
OL2657666A	Isaac Babel
OL2657944A	Gore Vidal
OL265807A	Douglas Lochhead
OL26582A	David Graham Phillips
OL2658408A	Gebrüder Grimm [Brothers Grimm]
OL2658623A	Neil Reed
OL2658787A	Samuel Butler
OL2658897A	Joris-Karl Huysmans
OL2659133A	William Pène Du Bois
OL2659335A	Aleanor Atkinson
OL2659564A	Sándor Márai
OL26595A	Paulette Bourgeois
OL2660296A	Marquis de Sade
OL2660314A	Dirk Cussler
OL2660342A	Maurice Leblanc
OL2660555A	Alexei Nikolayevich Tolstoy
OL2660684A	Schweikert
OL2661281A	P.C. Asbjornsen
OL2661282A	J. E. Moe
OL2662007A	Ian Montgomery
OL266207A	Hilaire Belloc
OL2665478A	Raja Rao
OL26680A	Louisa May Alcott
OL26681A	Nathaniel Hawthorne
OL26684A	Edward Packard
OL2675083A	Howard Moss
OL2675811A	Golden Books
OL2675814A	Byron Jackson
OL2675871A	Christoph Niemann
OL2676111A	John W. Campbell
OL2676114A	Jack Williamson
OL2676215A	Robert Eustace
OL2676404A	Jim Burke
OL26783A	Tolstoy, Leo, graf, 1828-1910
OL26783A	Лев Толстой
OL2685190A	Robert Stevenson
OL2687190A	Rafael Sabatini
OL2687452A	Houghton Mifflin
OL2688089A	Gertrude Atherton
OL2688714A	Mika Waltari
OL2688998A	夏目漱石
OL2689875A	James George Frazer
OL269058A	Alexander Lernet-Holenia
OL2691124A	William Melborne Meredith
OL2691439A	Beirne Lay, Jr.
OL2691440A	Sy Bartlett
OL26952A	Ngaio Marsh
OL2698447A	Compt Mackenzie
OL26997A	J. M. Barrie
OL2701579A	Nancy Freedman
OL2701856A	Bruce Jensen
OL2703302A	NORMAN DOUGLAS
OL2703357A	E. E. Smith
OL2703408A	Elisabetta Dami
OL2703462A	Fiona Watt
OL2703470A	Brenda Clark
OL27042A	Raymond Briggs
OL2705556A	Roy Thomas
OL27064A	Dick Francis
OL27107A	Anthony Hope
OL27112A	Martha Grimes
OL2711632A	Harrison Cady
OL2711717A	Watty Piper
OL2711905A	Florence Atwater
OL2724663A	Delos W. Lovelace
OL2725285A	Ernest K. Gann
OL2726178A	Anne Freemantle
OL27272A	Joseph Roth
OL27278A	Harry Harrison
OL272947A	Douglas Adams
OL2733216A	Yoshihiro Togashi
OL2734499A	Anthony Briggs
OL27349A	F. Scott Fitzgerald
OL27388A	Mary E. Bradley Lane
OL27395A	Kevin Henkes
OL27436A	Mignon Good Eberhart
OL27452A	Jean Little
OL2745528A	Barrett H. Clark
OL2745734A	John Philip Sousa
OL2746148A	Bob Blaisdell
OL2747362A	Estes
OL2747415A	Donald F. Roden
OL2748402A	Frederick Faust
OL2748652A	Ernesto Sabato
OL2748725A	Richard Bradford
OL2751790A	Richard bradford
OL2751923A	Crompton
OL27524A	Tennessee Williams
OL275314A	Nadine Bernard Westcott
OL2755134A	Francis Thompson
OL276008A	George Washington Cable
OL2760992A	Frank T. Merrill
OL2763372A	Alvin Tresselt
OL27662A	Philip Wylie
OL27695A	Agatha Christie
OL27709A	Doris Lessing
OL2771367A	C. MacKenzie
OL2771373A	Frederick William Rolfe
OL27782A	Louis Bromfield
OL2781391A	Louis-Ferdinand Celine
OL2786936A	Stendhal
OL27871A	Tom Sharpe
OL279395A	Benjamin Disraeli
OL27951A	Andre Norton
OL2795965A	Alan Turney
OL2796155A	David Hately
OL2797372A	Stanley G. Weinbaum
OL279921A	Tove Jansson
OL2800460A	Todd Martin
OL28012A	Thorne Smith
OL2802452A	Timothy Forder
OL2804329A	Makiko Itoh
OL28100A	Hardie Gramatky
OL28104A	Cormac McCarthy
OL28127A	Edgar Allan Poe
OL28135A	Michael Francis Gilbert
OL2815880A	Aiko Ito
OL28169A	Leopoldo Alas
OL28188A	Madeleine L'Engle
OL2824286A	Graham Brown
OL2827465A	H. C. McNeile
OL2827465A	Herman Cyril McNeile
OL2827605A	Harold Bell Wright
OL2829308A	Jilly Bond
OL28314A	Dashiell Hammett
OL2831722A	Andre Fermigier
OL28331A	Charles Tazewell
OL283368A	Vincent Starrett
OL2839464A	Gary Edward Holcomb
OL28409A	William Morris
OL284540A	Percy Lubbock
OL28493A	Kazuo Ishiguro
OL2852504A	Thomas Nelson Page
OL28559A	Kathleen E. Woodiwiss
OL2856431A	James De Mille
OL28577A	Patricia Highsmith
OL28641A	Robert A. Heinlein
OL2864498A	Pablo Marcos
OL2865628A	Simon Vance
OL2865746A	Andrew L. Barnes
OL286951A	Alain-Fournier
OL28717A	Valerie Tripp
OL28725A	Sarah Orne Jewett
OL2873449A	Winston Churchhill
OL2878412A	Tom Stechschulte
OL288327A	Nancy Mitford
OL2890A	Kahlil Gibran
OL289229A	Elio Vittorini
OL2893356A	Bert Barr
OL2893404A	Arthur B. Reeve
OL2898332A	Robert M. Fedorchek
OL28989A	Georges Bernanos
OL2899619A	Percy Fitzgerald
OL2901305A	Robert Abbett
OL290346A	Pseudo-Callisthenes
OL290551A	David Grayson
OL29079A	Clive Cussler
OL29097A	Honoré de Balzac
OL2913162A	C. J. Hogarth
OL2913279A	Constance Black Garnett
OL29174A	Nikos Kazantzakis
OL29282A	Louise Rennison
OL292878A	Henry van Dyke
OL293005A	Ruth Sawyer
OL2930260A	Eleanor Hazard
OL29321A	Ardal O'Hanlon
OL2935640A	Winston Leyland
OL2937134A	Jan Potocki
OL2937242A	Charles Devereaux
OL29388A	Guy de Maupassant
OL29390A	Fritz Leiber
OL29465A	Nelson Algren
OL29497A	Herman Melville
OL2950778A	Paula McLain
OL295133A	Eric Philbrook Kelly
OL2952676A	Gloria Chacon De Arjona
OL295337A	O. E. Rølvaag
OL2955913A	Donald Ogden Stewart
OL2956052A	Stephen Colbourn
OL2957106A	Temple Bailey
OL2958017A	Lydia Maria Child
OL29586A	Arnold Bennett
OL29599A	Liam O'Flaherty
OL29599A	Liam Ó Flaithearta
OL296177A	Dalton Trumbo
OL29622A	Robin McKinley
OL2962430A	Horace Annesley Vachell
OL2962563A	Василий Семёнович Гроссман
OL2964952A	Anthony Horvath
OL29698A	Anthony Trollope
OL2974055A	Larissa Volokhonsky (translator)
OL29754A	Alice Turner Curtis
OL29784A	James Agee
OL2980448A	Scott Westerfeld
OL298044A	Italo Svevo
OL2984531A	Yasotaro Morri
OL29858A	Samuel Beckett
OL2985946A	John Cowper Powys
OL2986249A	Fred Rothwell
OL29881A	A. A. Milne
OL2988575A	Justin Huntly McCarthy
OL29961A	Wallace Stegner
OL30012A	Farley Mowat
OL30013A	Giovanni Verga
OL300804A	Vladimir Galaktionovich Korolenko
OL300813A	Sax Rohmer
OL301491A	Esther Forbes
OL30150A	Dorothy B. Hughes
OL30224A	Thornton Wilder
OL30241A	Евгений Иванович Замятин
OL30250A	E. B. White
OL3028457A	Jim Weiss
OL30350A	Zane Grey
OL3039404A	C. Manson
OL3039420A	J. Neale
OL3043185A	Derya Ataker
OL3043845A	Wilfrid Jackson
OL30490A	Marc Simont
OL30514A	Henry Miller
OL30526A	Jeremiah Curtin
OL30553A	孙武
OL3070153A	Joe Jusko
OL3071178A	Robert Banis
OL3073641A	Nick Bertozzi
OL3076444A	Starrett
OL30771A	Meg Cabot
OL3083047A	J. Allen St. John
OL3087367A	Nicoletta Simborowski
OL30895A	Gene Stratton-Porter
OL3091160A	Alberto Mira
OL309380A	Raja Rao
OL30968A	Jean Toomer
OL31012A	Robert Hugh Benson
OL310397A	George Rippey Stewart
OL31051A	Brian Selznick
OL3113220A	Jules Renard
OL3113483A	Cocteau
OL31215A	Elspeth Huxley
OL31236A	Caryl Phillips
OL3127213A	Irène Némirovsky
OL3127830A	Kahill Gibran
OL3128565A	Jack Saul
OL3130918A	R., H. Benson
OL3137515A	Robin Field
OL31381A	Pauline Gedge
OL3143664A	Dmitri Nabokov
OL31482A	Phyllis A. Whitney
OL3152608A	Andrew Lang
OL3154806A	Walter Mosley
OL31574A	C. S. Lewis
OL31574A	C.S. Lewis
OL316633A	Hugh Stowell Scott
OL316701A	T. Jenkins Hains
OL316732A	Lily Dougall
OL316805A	Edward Everett Hale
OL316825A	Ouida
OL316828A	Harry W. French
OL316860A	Edgar Jepson
OL316861A	Florence Morse Kingsley
OL316873A	Alice Brown
OL316972A	Horatio Alger, Jr.
OL316976A	Winston Churchill
OL317224A	John Fox Jr.
OL317227A	George Bird Grinnell
OL3172562A	Eiichiro Otsu
OL317267A	Arthur Morrison
OL31727A	Bram Stoker
OL317331A	Joel Chandler Harris
OL317339A	Harold MacGrath
OL317344A	Robertson, Morgan
OL317409A	Frank Thomas Bullen
OL317415A	Mary Devereux
OL317466A	Myrtle Reed
OL317518A	Lew Wallace
OL317526A	Margaret Wade Campbell Deland
OL31827A	James Joyce
OL31862A	Ferenc Molnár
OL31872A	William Styron
OL31901A	Antoine de Saint-Exupéry
OL3195049A	Peter Christen Asbjørnsen
OL3204254A	Esmeralda Varon
OL320813A	Steele Rudd
OL32115A	Ellen Anderson Gholson Glasgow
OL3212844A	Martin Guzman
OL3214523A	Martin Luis Guzman
OL3214756A	Francisco Gil Craviotto
OL3214922A	Asturias
OL32153A	Gillian Beer
OL321738A	Alan Rodgers
OL32217A	Ridley Pearson
OL32222A	Mary McCarthy
OL32271A	Theodore Dreiser
OL32283A	Kathleen Winsor
OL32292A	Luigi Pirandello
OL3231662A	Anthony Rizcallah Ferris
OL3231692A	Hammond Innes
OL3236330A	Jens Jacobsen
OL32541A	Beatrix Potter
OL325487A	Alan Paton
OL32551A	J. Walker McSpadden
OL325801A	James A. Michener
OL32584A	Eudora Welty
OL3258606A	Julian Hawthorne
OL3261338A	Pseudo-Callisthène
OL3261339A	Aline Tallet-Bonvalot
OL32650A	Peter Straub
OL3267286A	Percival Christopher Wren
OL3269230A	J. M. Shirazi
OL32772A	Émile Zola
OL32773A	Eleanor Farjeon
OL328254A	Stella Gibbons
OL3288261A	Several Authors
OL3297607A	Percy, Lubbock
OL3298601A	Dennis Washburn
OL3303816A	Jeremy Mark Robinson
OL33088A	Dean Koontz
OL3309163A	Ellen Marriage
OL33113A	Evan S. Connell
OL331289A	Jean Stafford
OL33146A	Franz Kafka
OL332091A	Jones, David
OL33217A	Oliver Wendell Holmes, Jr.
OL33261A	Elizabeth Enright
OL33283A	Leopold Ritter von Sacher-Masoch
OL3339704A	Vance Bourjaily
OL33432A	Lewis, Janet
OL33439A	Henryk Sienkiewicz
OL33442A	Miguel de Unamuno
OL33452A	Petronius
OL33575A	Malcolm Lowry
OL33580A	Djuna Barnes
OL33585A	William Somerset Maugham
OL33600A	Saul Bellow
OL33621A	Richard Wright
OL336312A	Roger Peyrefitte
OL336474A	Michael Gold
OL33682A	Mary Eleanor Wilkins Freeman
OL3369325A	Reading
OL3371615A	Michael Nation
OL337772A	Octave Mirbeau
OL337852A	Aleksis Kivi
OL33842A	Ford Madox Ford
OL3384478A	HOUGHTON MIFFLIN
OL33909A	P. D. James
OL3394361A	W.H. White
OL34047A	Daphne du Maurier
OL340679A	Juan Valera y Alcalá-Galiano
OL340903A	James Hilton
OL340972A	M. Art͡sybashev
OL341129A	Flora Thompson
OL34125A	James Weldon Johnson
OL3417251A	Malcolm Muggeridge
OL3417821A	Alyson Waters
OL34184A	Roald Dahl
OL342112A	Holly Johnson
OL342146A	Kenneth Millar
OL342146A	Ross Macdonald
OL34221A	Isaac Asimov
OL342487A	Anne Brontë
OL343157A	Charles Stross
OL3434303A	Jennifer McMahon
OL343493A	Parker Tyler
OL34360A	Gwen Bristow
OL34485A	Colin Dexter
OL345029A	Steinberg, Milton
OL3451319A	Christopher Marlowe
OL34517A	Helen Keller
OL345358A	Arthur Hailey
OL3458871A	Colin Twinn
OL3460462A	Neale. J.M.
OL3464451A	Henry Jackson
OL3466046A	Hubert Crackenthorpe
OL3477047A	Michael Morpurgo
OL348819A	Henri Tracol
OL348830A	Eric King
OL3513928A	Reverend W. Awdry
OL35175A	Marshall Saunders
OL3517920A	Sam Thiewes
OL35183A	Kate Chopin
OL3524622A	Barrett Harper Clark
OL352591A	Edward Everett
OL3530908A	Chris Kipiniak
OL3538090A	Susan Lowndes
OL35440A	Stella Duffy
OL355069A	Jilly Cooper
OL355899A	Ignatius Donnelly
OL3572588A	Paul Champanier
OL358183A	Chōmei Kamo
OL35839A	Charles Darwin
OL3588885A	C. D. Williams
OL361442A	Ernest J. Gaines
OL36233A	Jane Dyer
OL3635733A	Rob Spence
OL3641956A	Pablo Ruiz
OL3647288A	Mulk-Raj Anand
OL365212A	Murasaki Shikibu
OL3657219A	W. H Hudson
OL36575A	Kevin J. Anderson
OL366346A	Maurice Sendak
OL3666160A	H. C. Schweikert
OL368154A	Charles Boardman Hawes
OL3698264A	Adele Garrison
OL3698354A	Steele Mackaye
OL3699732A	Alexei Tolstoy
OL370241A	Sandra M. Grayson
OL3705044A	Alison Larkin
OL371194A	Marjorie Flack
OL3732953A	Thomas Dixon Jr.
OL37503A	A. E. W. Mason
OL376677A	Ali, Ahmed
OL3769097A	John Jr.
OL3774866A	Henry William Hudson
OL37752A	Elizabeth Goudge
OL3776988A	Jason Lee
OL37887A	Margret Rey
OL3802409A	Twelve Authors
OL3810131A	Gabriel Bradford Millar
OL381867A	Carol Ryrie Brink
OL3823412A	Jim Stelljes
OL38266A	Linda Stewart
OL383980A	Padraic Colum
OL3841674A	Satomi Sugita
OL384206A	Gordon MacDonald
OL385592A	Nella Larsen
OL385813A	Edna Ferber
OL385905A	Richard Llewellyn
OL386202A	Leonard Wibberley
OL3869A	Mikhail Aleksandrovich Sholokhov
OL3871147A	W. Jacobs
OL3879483A	Kendall Warren
OL388652A	Robert Ludlum
OL389881A	Ursula Nordstrom
OL390842A	Elizabeth Jane Coatsworth
OL39125A	Sue Townsend
OL391385A	Edward Phillips Oppenheim
OL39160A	Ernest Thompson Seton
OL391958A	Julia Mood Peterkin
OL39228A	Jamichael Henterly
OL392757A	Ruth Stiles Gannett
OL39314A	Lionel Trilling
OL393889A	Nataniel Aguirre
OL3941062A	José Ortega y Gasset
OL39411A	John Fante
OL394640A	John Hersey
OL394726A	Algernon Blackwood
OL39485A	Lucy Maud Montgomery
OL395146A	Andy Adams
OL39524A	James Fenimore Cooper
OL3957115A	Sophie Bastide-Foltz
OL39597A	Betty Smith
OL396281A	Rose Wilder Lane
OL39639A	Eleanor Estes
OL39640A	Mary Norton
OL396615A	James T. Farrell
OL39750A	Mercer Mayer
OL397914A	John Creasey
OL39808A	Elizabeth Madox Roberts
OL39937A	Lord Dunsany
OL399682A	Edgar Lee Masters
OL399724A	John D. Seelye
OL40043A	Daniel Manus Pinkwater
OL4014617A	Nicola Liscutin
OL4014743A	Mathilde Mann
OL40179A	Ben Hecht
OL402238A	Anaïs Nin
OL402869A	Jean M. Auel
OL403766A	Clifford B. Hicks
OL4038782A	Irmgard Keun
OL405101A	Olive Higgins Prouty
OL408063A	Charlotte Perkins Gilman
OL408500A	Louis De Wohl
OL409642A	Ward Moore
OL410117A	Nevil Shute
OL41426A	W. H. D. Rouse
OL415781A	Catherine Parr Traill
OL417732A	Janette Sebring Lowrey
OL41785A	Knut Hamsun
OL418406A	James Daugherty
OL41961A	William Blake
OL42037A	Gabriele D'Annunzio
OL4222300A	W. Burgess
OL422396A	Herbert Aptheker
OL425291A	James Hadley Chase
OL426090A	Chris Ware
OL426869A	Nellie L. McClung
OL4278548A	Elizabeth Barrett Browning
OL4279975A	André Breton
OL4280300A	Михаил Юрьевич Лермонтов
OL4280469A	Ludovic Halévy
OL4280600A	François Rabelais
OL4280625A	François Mauriac
OL4280768A	Pedro Antonio de Alarcón
OL4280815A	Eugène Brieux
OL428165A	Charles G. Finney
OL428166A	Harold Lamb
OL4286945A	Hermann Löns
OL428743A	Ernest Borneman
OL4288429A	Bolesław Prus
OL4293168A	Gisèle Séginger
OL430694A	Georges Eekhoud
OL430813A	Jeff Smith
OL430972A	Elizabeth Jenkins
OL431822A	María Luisa Bombal
OL4320415A	John McDonough
OL4322399A	Reginald Jackson
OL4324168A	Arthur Gaskin
OL4324199A	Marie Luise Gothein
OL4324443A	Susan Ferrier
OL4326372A	Italo Calvino
OL4326986A	E. OE. Somerville
OL4327652A	Sylvia Plath
OL4328696A	Pearl S. Buck
OL4328A	Vatsyāyana
OL4334838A	Maurice Maeterlinck
OL4335284A	Amy Le Feuvre
OL4336199A	Raymond Postgate
OL434151A	Fox, John
OL4342369A	Arthur Michell Ransome
OL434658A	Anna Banti
OL43527A	Pavese, Cesare.
OL4352886A	Herman Wouk
OL4353595A	Richmal Crompton
OL4354738A	Ethel Turner
OL4358493A	Louis Slobodkin
OL436375A	Giuseppe Berto
OL4363797A	Rebecca West
OL436779A	Elsa Morante
OL4372383A	Richard Llewellyn
OL4374003A	Budd Schulberg
OL4389142A	Kurd Laßwitz
OL4392694A	Henry Roth
OL4397788A	Jean Rhys
OL440124A	Sheridan Le Fanu
OL440676A	Patrick Reumaux
OL44231A	Aleister Crowley
OL442467A	Wilbur F. Hinman
OL442995A	Eleanor Burford
OL442999A	Lorimer, George Horace
OL4432436A	John Telfer
OL4435794A	J. Jefferson Farjeon
OL44383A	Alfred Kubin
OL44391A	Pierre Loti
OL444026A	George Grossmith
OL444620A	James Clavell
OL444895A	John Steptoe
OL445009A	Francis La Flesche
OL4452514A	Douglas Reeman
OL4452557A	Anthony Price
OL4453593A	Mary Elizabeth Coleridge
OL4461249A	Ernst Simon
OL44633A	Jack London
OL448253A	Tracy Hickman
OL448478A	Lillian Eugenia Smith
OL448596A	Budd Schulberg
OL448782A	E. A. Wyke-Smith
OL448937A	Walter D. Edmonds
OL449104A	A. B. Guthrie
OL449660A	Harriet Doerr
OL450307A	Eloise Jarvis McGraw
OL450538A	Mark Helprin
OL45098A	Elsa Triolet
OL451814A	Charles Jackson
OL4519252A	Ruth Fuller Sergel
OL4522096A	Marti n Luis Guzma n
OL452335A	Winston Graham
OL4527630A	Cesare Pavese
OL453859A	Wallace Thurman
OL45468A	Marguerite Duras
OL455803A	Josephine Winslow Johnson
OL4558397A	Raymond Macdonald Alden
OL456362A	Edward Bellamy
OL456666A	Ethel Mannin
OL457425A	Ralph Connor
OL457723A	Patrick White
OL457872A	Frances Louise Davis Lockridge
OL458848A	Horace McCoy
OL4620519A	Bryan Hunt
OL4621647A	David Caute
OL46216A	Иван Алексеевич Бунин
OL462466A	Michael Foreman
OL4625011A	J. O'Hara
OL464132A	Ernest H. Shepard
OL465130A	John Dickson Carr
OL4683A	Munshi Premchand
OL468539A	Arthur Stanley Maxwell
OL469495A	Andreas Latzko
OL4700336A	Cloudesley Brereton
OL470666A	David Garnett
OL471601A	Dorothy Richardson
OL471665A	George A. Birmingham
OL4724488A	Willard Price
OL472845A	Raymond Radiguet
OL4728946A	Barbara Pym
OL472979A	Manuel Chaves Nogales
OL4736262A	Valentine Davies
OL47492A	Christopher Morley
OL47639A	Isaak Babel
OL4767104A	Thomas Gifford
OL4771703A	Simon Callow
OL4777673A	Steve Berry
OL4778096A	Henry Williamson
OL4783257A	Graham Brown
OL4786420A	Percy Lubbock
OL47908A	Александр Сергеевич Пушкин
OL4795384A	Anna Green
OL4799333A	Susan Stewart
OL4802065A	Mulk Raj Anand
OL4802070A	Mulk Raj Anand
OL48119A	Stephen Leacock
OL48139A	Vladimir Nabokov
OL482364A	Pierre Carlet de Chamblain de Marivaux
OL4829695A	Christiane Duchesne
OL48458A	André Gide
OL486298A	Ring Lardner
OL4876635A	William Morris
OL4902154A	H. Q. Mitchell
OL49026A	Emilia Pardo Bazán
OL492102A	Agnes C. Laut
OL4944913A	Robert Luis Stevenson
OL49700A	Selma Lagerlöf
OL497213A	Keith Hale
OL498776A	Louis Hémon
OL49934A	Grant Morrison
OL49991A	Barbara Cohen
OL500364A	James Barr
OL50109A	E. F. Benson
OL5013618A	Agnes Smedley
OL50251A	James Leslie Mitchell
OL5025643A	George Kerr
OL503853A	Martín Luis Guzmán
OL5057233A	Alfred Perceval Graves
OL507165A	Shirley Jackson
OL50741A	André Malraux
OL509133A	Leonard Lewisohn
OL511114A	Mario Giacomelli
OL5116752A	Audrey Wood
OL511710A	W. Jenkyn Thomas
OL513270A	Andrew Barton 'Banjo' Paterson
OL513785A	Clarence Edward Mulford
OL5148378A	Jesmyn Ward
OL51716A	Vincent O'Sullivan
OL51998A	谷崎潤一郎
OL52008A	Hugh MacLennan
OL521381A	Vicki Baum
OL521473A	Ernest Howard Crosby
OL52180A	Margaret Mazzantini
OL5244249A	Chʻeng-en Wu
OL52486A	Peadar Ó Laoghaire
OL526989A	Glenway Wescott
OL527120A	Eric Knight
OL527374A	Eden Robinson
OL5279276A	Tamar Mishmar
OL529915A	Virginia Lee Burton
OL530290A	Monica Dickens
OL532139A	N. C. Wyeth
OL53305A	Neil Gaiman
OL533155A	Ève Tharlet
OL534194A	Gold, Michael
OL535666A	Chris Riddell
OL53680A	Naomi Mitchison
OL53779A	Friedrich Hölderlin
OL538087A	Olaf Stapledon
OL539397A	Eric Ambler
OL539458A	Radclyffe Hall
OL540486A	J. D. Salinger
OL540493A	Norman Douglas
OL5410980A	Miguel Angel Astruias
OL5422622A	Agnes Smedley
OL5436174A	Richard Pevear (translator)
OL54405A	Filippo Tommaso Marinetti
OL544344A	Nathanael West
OL545566A	Cary D. Wintz
OL546333A	Phil Stong
OL54758A	Christian Jacq
OL548483A	Edward Eggleston
OL5489432A	William Henry Hudson
OL549458A	Ethel C. Brill
OL549459A	Kathryn Worth
OL551881A	Leopold Kompert
OL552852A	Robert E. Howard
OL553226A	Joseph Furphy
OL554155A	Arthur Machen
OL5580111A	Samuel Rutherford Crockett
OL558099A	B. Traven
