filename	year	n_pages	n_footnotes	dominant_pattern	position_to_overcome_count	position_to_overcome_example	positive_alignment_count	positive_alignment_example	claim_assertion_count	claim_assertion_example	gap_identification_count	gap_identification_example	intervention_marker_count	intervention_marker_example
Gang 2022.pdf	2022	21	40	position_to_overcome	2	Wittgenstein's point,however,isn'tthatphilosophersshouldn'ttalkaboutethicsoraesthet- ics.Instead,it'sthatyoucan'texpresssuchconceptsinalanguagethathasno wordsforthem—thesamewayyoucan'ttakeavisualpictu	0		0		0		0	
Garber 2021.pdf	2019	25	52	positive_alignment	0		3	"ChristopherVondracek,""NoemSlamsGeorgiaDemocratSenateRun-OffWinnersas 'Communists,'2DaysafterWarningOf'HowWeTalktoEachOther,'""TheJamestownSun, 9Jan.2021,www.jamestownsun.com/news/government-and-politic"	1	20212 Inthecourseof hislongcareerPaulRobesonwascelebratedasasinger,a politicalactivist,apublicspeaker,aninternationalastarofstageandscreen,an anticolonialchampionofAfricanstatesandof workers'rightsand	0		0	
Garrett 2022.pdf	2022	23	32	none	0		0		0		0		0	
Geoghegan 2025.pdf	2023	32	45	positive_alignment	2	"100 Bernard Dionysius Geoghegan / The Navigable Image traced ballistic transit in the navigational pull of a central sun.2 Gameplay ap peared on a cathode ray ""vector monitor,"" evoking the computerize"	4	Elementary graphics represented stars as points, ships as triangles, and spiraling vectors I thank organizers and attendees of a number of events where I developed early drafts of this work, including	0		0		0	
Ginzburg 2019.pdf	2019	16	36	positive_alignment	1	But,firstofall,abriefintroductionisneededtoexplainhowmyobsession withmorphologybegan.Theeventthatinitiatedmytrajectoryasahistorian tookplacein1963attheStateArchiveofVenice(Ihavetoldthisstoryseveral ti	3	The benandanti used fennel branches as weapons;the witches,sorghumsticks.	0		0		0	
Gogineni Nichols 2021.pdf	2021	21	51	position_to_overcome	1	While all of this was compelling, it was his closing salvo that was most arresting.	0		0		0		0	
Gooding-Williams 2021.pdf	2020	6	9	positive_alignment	2	Here, however, I take a different tack and suggest that we take FPD employees' taken-for-granted and quotidian email communications ofpejorativestereotypesasevidenceoftheworkingsofapracticeofpolicing 	3	Revisiting the Ferguson Report: Antiblack Concepts and the Practice of Policing Robert Gooding-Williams 19 June 2020 NowisasuitablemomenttorevisittheUSDepartmentofJustice'sFer- guson Report.1 What the	3	Revisiting the Ferguson Report: Antiblack Concepts and the Practice of Policing Robert Gooding-Williams 19 June 2020 NowisasuitablemomenttorevisittheUSDepartmentofJustice'sFer- guson Report.1 What the	0		0	
Goodrich 2021.pdf	2021	31	39	position_to_overcome	1	While it may be hard to thinkthati	1	Posnerchoosestoshowhisownphotographsofadifferentratinadis- tinct location so as to argue, presumably by analogy—the commensal is commensurate—thatthisratisnotathreattovehicularorpedestriansafety becau	1	Posnerchoosestoshowhisownphotographsofadifferentratinadis- tinct location so as to argue, presumably by analogy—the commensal is commensurate—thatthisratisnotathreattovehicularorpedestriansafety becau	0		0	
Graham 2025.pdf	2025	31	76	positive_alignment	1		4	' Rehabilitory Modernism: László Moholy-Nagy s Occupational Therapy at the School of Design in Chicago James Graham Nearly fifty years after László Moholy-Nagy's death in 1946, Hattula Moholy-Nagywrot	0		0		0	
Greeson 2025.pdf	2025	27	58	positive_alignment	2	".is nothing but Reckoning (that is, Adding and Substracting)"" emblematized the deep origin of totalitar ianism.3 But why should such a rupture, baking in the dark side of Enlight enment from its very "	8	—Hobbes, The Elements of Law: Natural and Politic (1640)1 The great mid-twentieth-century critiques of Enlightenment, generated in response to Nazism, identified early English founders of empiricism a	1	Even as they rad ically reinterpreted the logics of Bacon's and Hobbes's philosophies, they left the philosophers themselves safely ensconced in an Enlightenment pose: as great men with great minds si	0		0	
Griffiths 2021.pdf	2021	26	59	positive_alignment	1	"Thisrequiresashift,becauseweusuallythinkofformsasstableproperties ofobjects,ratherthanshiftingsystemsofrelation.SandraMacphersonob- servestheformerinthesharedway""anartist,anengineer,abiologist,alin- g"	4	That is,I recognizeform as process and generateanecopoetictheoryofrelationalform.	0		0		0	
Gunning 2022.pdf	2022	8	12	none	0		0		0		0		0	
Haines 2025.pdf	2025	23	63	position_to_overcome	2	Set against a bleak grey-blue sky, the women dominate the composition.	2	Her armsaresplayed,andhereyesareclosed.Herexpressionlessfaceandtum- bling hair are sketched out in a few sharp lines, contrasting with the hazy whiteness of her body as she exits the realm of the livi	0		0		0	
Halperin 2019.pdf	2019	24	27	positive_alignment	3	"Halperin Queertheoryhashadsomethingtosayaboutsex,butuntilrecentlyit hashadalmostnothingtosayaboutlove.1Lovehasseemedtoointimately boundupwithinstitutionsanddiscoursesofthe""normal,""toodeeplyem- beddedi"	4	"Halperin Queertheoryhashadsomethingtosayaboutsex,butuntilrecentlyit hashadalmostnothingtosayaboutlove.1Lovehasseemedtoointimately boundupwithinstitutionsanddiscoursesofthe""normal,""toodeeplyem- beddedi"	0		0		0	
Halpern 2022.pdf	2022	26	54	positive_alignment	1		3	"The economic problem of society is thus not merely a prob- lemofhowtoallocate""given""resources—if""given""istakentomeangiven toasinglemindwhichdeliberatelysolvestheproblemsetbythese""data.""It isratherapro"	0		0		0	
Halpern et al 2022.pdf	2022	14	27	position_to_overcome	1	But theory has fakeditsowndeathmanytimes.2 Wecallattentiontothismuch-citedendtohighlightthatsuchstatements harbortracesofahistoricalchangeingovernmentality,epistemology,andpo- liticaleconomy.Theygestu	0		0		0		0	
Handelman 2022.pdf	2019	27	61	positive_alignment	1	"Within hours, however, Microsoft pulled the chatbot after users, so-called trolls,fromthemessageboards4chanand8chanpooledtheirstrengthtoat- tackTay,hopingtoteachit,asoneposteron8chan's""/pol/-Political"	3	fi Arti cial Antisemitism: Critical Theory fi in the Age of Data cation Matthew Handelman Introduction Oneofthefirstthingsthatanartificialintelligencechatbotcanlearnon theinternetistodenytheHolocaust.	0		0		0	
Harcourt 2021.pdf	2020	5	12	position_to_overcome	2	First, Donald Trump and the Republican senators have made it crystal clear that they have the backs of the large-cap corporations no matter how badthingsget.6By strengthening the largest corporations 	0		0		0		0	
Hayles 2019.pdf	2019	24	30	positive_alignment	0		1	Ourunderstandingofhowcognitiveassemblagesworkhasbeenimpeded by views of computational media that position them as mere calculators withouttheabilitytocreate,disseminate,orparticipateinmeaning-making a	0		0		0	
Hayles 2021.pdf	2020	5	1	positive_alignment	3	"TheUSCongresshascometogetherwithremarkablespeedtopassstimulus legislation, and even Trump has had to tone down his early claims of the virus as a ""Democratic hoax"" into a more fact-based approach (alt"	6	"TheUSCongresshascometogetherwithremarkablespeedtopassstimulus legislation, and even Trump has had to tone down his early claims of the virus as a ""Democratic hoax"" into a more fact-based approach (alt"	2	"TheUSCongresshascometogetherwithremarkablespeedtopassstimulus legislation, and even Trump has had to tone down his early claims of the virus as a ""Democratic hoax"" into a more fact-based approach (alt"	0		0	
Hayles 2021b.pdf		11	18	positive_alignment	0		2		0		0		0	
Henderson 2024.pdf	2024	25	56	position_to_overcome	2	Over time, Recorde's long lines would be shortened,andtheirmimeticcharacterwouldbeforgotten.Thehistoryof this simple symbol embodies, in fact, an essential feature of the equation: it is linked to an 	1	Over time, Recorde's long lines would be shortened,andtheirmimeticcharacterwouldbeforgotten.Thehistoryof this simple symbol embodies, in fact, an essential feature of the equation: it is linked to an 	0		0		0	
Heyes 2023.pdf	2023	20	32	positive_alignment	1	This was years ago, and even in 2009 I was astonished by how manytherewereandhowmuchinformationandadvicetheyoffered,while at the same time the differences between them in terms of concrete advice were	5	Heyes Thegenreofparentingadvicebooksthatfocusonchildren'ssleepmight seem like a strange archive for a feminist philosopher.	0		0		0	
Higgins 2021.pdf	2020	4	0	positive_alignment	1	I understood their rage but not their actions.	5	Even as these sonic images of silence bore an alarming resemblance to postapocalypticscenesofmassextinction,thesehushedpublicspaceswere almostalwayspairedwithimagesordescriptionsofnoisyplaceswherees- 	0		0		0	
Hillenbrand 2025.pdf	2025	28	51	positive_alignment	2	Portals to the Soul: Facial Recognition Technologies and Chinese Portraiture Margaret Hillenbrand In2016,twoChineseresearchers,WuXiaolinandZhangXi,publishedan article on arXiv, an open-access reposito	3	"SeeXiaolinWuandXiZhang,""AutomatedInferenceonCriminalityUsingFaceImages,"" arXiv,13Nov.2016,pp.1–11;hereafterabbreviated""AI.""Thepaperhassincebeentakendown fromarXivbutcanbefoundhere,confilegal.com/wp-co"	0		0		0	
Holzer 2021.pdf	2020	2	0	positive_alignment	0		2	Starting in the 1970s with the New York City posters, and continuing through her recent light projections on landscape and architecture, her practice has rivaled ignorance and violence with hu- mor,ki	0		0		0	
Houghton 2025.pdf	2025	21	21	positive_alignment	1	248 Eve Houghton / He Said/She Said indirect style—not as a deliberate formal innovation but as the byproduct of experimentation with emerging conventions for marking speech and thoughtasbelongingtopa	7	The question is closely tied to the question of the novel's own beginnings because free indirect style is often seen as one of the novel's signature and constitutive attributes, reflecting itsdistinct	0		0		0	
Houser 2025.pdf	2022	22	40	position_to_overcome	2		2	"The 1970s brought organizations such as Zero PopulationGrowth(nowPopulationConnection),withitsfocusontheef- fects of ""overpopulation"" on the environment and food security, and the National Organizatio"	0		0		0	
Howles 2022.pdf	2019	9	15	position_to_overcome	1	The idea of a resilient planet, or even a self-healing one, was intriguingtothoseseekingtocounteractthescientificdataaboutemissions thatwasbeginningtoenterthepublicdomain.ArmedwithLovelock'sideas, the	1	118 Timothy Howles / Critical Response Aronowsky begins with the observation that Lovelock's Gaian story, properlyunderstood,commencesnotinthe1970sbutinthelate1960s,dur- ingaperiodwhenhewasprofessiona	0		0		0	
Hui 2022.pdf	2022	27	72	position_to_overcome	2	"Thegrandphilosopherdecidestotellafable.Theodorus,ahighpriest,per- plexedbyhowhumanfreedomanddivineforeknowledgecancoexist,issum- moned to agreat ""palace of the fates""by Pallas Athena.1 ""Here,"" the god"	1	"What Theodorus reads, the goddess tells him, is ""the history of this world,""""thebookofitsfates""(T,p.371).Hallafterhall,worldafterworld, there are an infinitude of Sextuses, an endless number of possib"	0		0		0	
Hullot-Kentor 2021.pdf	2021	23	31	positive_alignment	2		3	berecognizedasinherentlymotivatedbytheimpulsetoabolishanydistinc- tionbetweentheasseverationmadeanditsbreach.Itisanexaggeration,butto thepoint,toassertthatinGustavMahlerinstrumentsonlyperformnormally 	1		0		0	
Jackson 2022.pdf	2022	24	52	position_to_overcome	5	O infinitely too swift and dizzy yet!	4	Apostrophe, Animation, and Racism Virginia Jackson Dopoemsspeaktoyou?Considerpoemsinwhichyouencounterthesig- nature version of excited Romantic poetic address that begins with a single letteradornedwi	0		0		0	
Jameson 2023.pdf	2019	23	16	positive_alignment	1	I will not presume to forecast the outcome; but I will observe that the stakesinvolvethestatusofconceptualoppositionsanddualisms,theirpro- liferation and efforts to evade them, and that our evidence w	3	Schematizations, or How to Draw a Thought Fredric Jameson A schematism is the X-ray of a concept; its premise being that, like an atom,aconcept(whetherscientific,ideological,philosophical,orevennar- r	1		0		0	
Jeon 2023.pdf	2023	24	28	positive_alignment	0		1	Parasite can thus be aligned with Bong Joon-ho's Snowpiercer (2013) in crucialrespects.Bothfilms'distinctivesettingsconsistofasingle	1	This article argues that Parasite negotiates the dual nature of the house, a site of both appropria- tion and confinement, to inscribe within a domestic drama a paradoxical inclinationtowardtheexterna	0		1	This article argues that Parasite negotiates the dual nature of the house, a site of both appropria- tion and confinement, to inscribe within a domestic drama a paradoxical inclinationtowardtheexterna
Jones 2021.pdf	2020	5	6	positive_alignment	0		3	I've been using the hyphenated thoughts and trailing ellipses of Comment vivre ensemble as essential tools to help me make sense of and stay sane through the current times in which we live.	0		0		0	
Kasper Levine 2020.pdf	2020	20	14	positive_alignment	1	I knew that I was the custodian of something unique but backed away from the difficulties of constructing such a film.	3	"Levine The Last of the Unjust (Le Dernier des injustes) is a film structured by temporal delays, distensions, and reversals—a film that, in dealing with Theresienstadt and its""monde àla renverse,""obli"	0		0		0	
Kelbert 2025.pdf	2022	23	50	position_to_overcome	3	"differentlanguages hasanythingto dowith translation inthe first place.Yet almostacenturylater,RebeccaWalkowitzandEmilyApterechothissecond assumptionwhentheyspeakoftranslingualismas""preemptivetranslati"	1	Translation as Different: A View from Linguistic Relativity Eugenia Kelbert Introduction Rainer Maria Rilke wrote over four hundred poems in French, most of themduringthelasttwoyearsofhislife.1Hisswit	0		0		0	
Keller 2024.pdf	2024	22	31	positive_alignment	1	tothetemporalcomponentofbuildings(thoughwithinthisframingendur- ancemaybeanimportantstrategy).Understoodinthisway,durationdoes notentailthe embodimentofpower,as Friedrich Nietzsche hadit,but can beafo	2	tothetemporalcomponentofbuildings(thoughwithinthisframingendur- ancemaybeanimportantstrategy).Understoodinthisway,durationdoes notentailthe embodimentofpower,as Friedrich Nietzsche hadit,but can beafo	0		0		0	
Kindley 2021.pdf	2021	19	22	positive_alignment	1	"""You certainly haven'tgraspedtheideaofNetwork.[But]itsmailinglistisan[important] Matter.Objectistomailonlytotoppeople""(LK,p.1).InMcLuhan'sanalysis, therehadbeenabreakdowninthecirculationofideasbetween"	6	Kenner and McLuhan had met in 1946at the Universityof Toronto,whereMcLuhanwasaprofessorofEnglishandKennerhadrecently finishedhis MA.The twosharedaninterest inliterary modernism;indeed, Kenner would cr	0		0		0	
Kirkwood 2022.pdf	2022	21	51	positive_alignment	2	Thespeculativebettingdrivingthisrecentpriceaction,however,beliesa more rudimentaryandoverlookedshiftinthedigitaleconomysignaledby cryptocurrenciesandBitcoininparticular.Techevangelistsandtechskeptics 	3	From Work to Proof of Work: Meaning and Value after Blockchain Jeffrey West Kirkwood Cryptocurrenciesareonceagainascendant.Forthosehopingneveragain tohearmentionofcryptocurrency,Bitcoin,oraltcoinsfoll	0		0		0	
Kirschenbaum 2023.pdf	2023	27	60	position_to_overcome	2	"But sand, the curators noted, may be ""the most universal toy in the world.""3 When it is not a prominent part of the natural environment (or associ- atedwiththe pleasures ofthe beach),adults typically "	2	–Theodor Mommsen2 In2021,sandwasinductedintotheToyHallofFameatTheStrongNa- tionalMuseumofPlayinRochester,NewYork.Usually,theannualinduct- ees are commercial products of one sort or another, like Crayo	0		0		0	
Kiséry 2024.pdf	2024	26	60	positive_alignment	0		1		0		0		0	
Kotin 2021.pdf	2021	21	44	position_to_overcome	1	But why must poems kill?	1	Poems that wrestle cops into alleys and take their weapons leaving them dead with tongues pulled out and sent to Ireland.	0		0		0	
Kottman 2019.pdf	2019	13	9	positive_alignment	2	"Thesearetwosidesofthesamedifficulty:livingwiththedead.Although thischallengepresenteditselfatGettysburgindistinctways,itisnotunique toGettysburg—""thesensethatweneed aritualinorder tolive well with the"	3	I Playing with the Dead: A Response to Jonathan Lear Paul A.	0		0		0	
Kramnick 2021.pdf	2021	5	4	positive_alignment	2	Sometimes big questions are served by smallanswers.AndIwentverysmallindeed,allthewaytothatbedrockof close reading, the seemingly intuitive but highly skilled practice of quoting thelanguageyou'reinter	6	Sometimes big questions are served by smallanswers.AndIwentverysmallindeed,allthewaytothatbedrockof close reading, the seemingly intuitive but highly skilled practice of quoting thelanguageyou'reinter	2	The essay attempted to show that singularity inaction.Itattemptedtodescribeabaselinecompetencesharedbythepro- fession at large, not to change anyone's critical activity so much as provide an account a	0		0	
Kramnick 2021b.pdf		23	28	position_to_overcome	2	"Methodhasbeenahottopicinliterarystudiesasoflate.Somuchsothat RitaFelski's2014term""methodwars""fordebatesbetweenvarioustypesof readingandquarrelsoverthestatusofcritiqueseemstohavestuck.1Asur- vey of the"	2	Methods are distinct from the topics and feelings that accompany them, as fascinating as these topics and feelings might be.	0		0		0	
Kurtz 2021.pdf	2021	30	58	positive_alignment	0		1	"Inthiscontext,philologyisbestdefined,withLorraineDastonandGlennMost,as""the rational,disciplined,andinstitutionalizedformofinterpersonalresearch,testing,andcommu- nication,directedto(aboveall,written)t"	0		0		0	
Laikwan 2023.pdf	2023	23	35	position_to_overcome	1	The relationship between art and politics—particularly in thedifficultsituationofHongKong,whereartcanstillfaceuptothesov- ereignwithfearsandcourage—callsforexamination.Artmightbeameans toescape,but,as	1	Facing the Despair PakisoneinaleadinggroupofHongKongartists,includingChingChin Wai, Lam Tung Pang, Amy Cheung, Kacey Wong, Wong Wai Yin, and Chow Chun Fai, among others, who show a strong cultural and	1	Facing the Despair PakisoneinaleadinggroupofHongKongartists,includingChingChin Wai, Lam Tung Pang, Amy Cheung, Kacey Wong, Wong Wai Yin, and Chow Chun Fai, among others, who show a strong cultural and	0		0	
Latour 2021.pdf	2020	3	2	position_to_overcome	1	But this state is not the state of the twenty-first century and ecological change;itisthestateofthenineteenthcenturyandso-calledbiopower.In thewordsofthelateAlainDesrosières,itisthestateofwhatisrightl	0		0		0		0	
Latour 2021b.pdf		20	32	position_to_overcome	1	It might be worthwhiletoretrievefromSchmittthetinybitofwisdomaboutspacethat he turned into such a powerful poison while he was alive.	1	A Comment on a Dialogue by Carl Schmitt Bruno Latour ForAdamTooze InAffluenceandFreedom,PierreCharbonniertakesupKarlPolanyi'sar- gumentthatthoseontherightofthepoliticalspectrumhave,forcontingent histo	1	A Comment on a Dialogue by Carl Schmitt Bruno Latour ForAdamTooze InAffluenceandFreedom,PierreCharbonniertakesupKarlPolanyi'sar- gumentthatthoseontherightofthepoliticalspectrumhave,forcontingent histo	0		0	
Latour Lenton 2019.pdf	2019	22	45	positive_alignment	0		5	Extending the Domain of Freedom, or Why Gaia Is So Hard to Understand Bruno Latour and Timothy M.	1	—JamesLovelock1 EversinceDipeshChakrabartyopenedaPandora'sboxonthedefini- tionofhumanityduringtheAnthropocene,thequestionofestablishinga newcontinuitybetweenthedomainofnecessity(nature)andthedomain of	0		0	
Laugier 2019.pdf	2019	14	27	positive_alignment	0		3	Disobedience as Resistance to Intellectual Conformity Sandra Laugier and Translated by Daniela Ginsburg ArnoldDavidsonhasmanyuniquequalities,oneofwhichishisability to teach you about yourself.	0		0		0	
Lear 2019.pdf	2019	11	11	positive_alignment	2	By contrast, withthe difficultyofrealityinDiamond'ssense,worldliness itself becomes problematic.Letmesayafewwordsaboutthis.Diamondexaminesanex- perience(capturedinapoembyTedHughes)inwhichthenarratoris	4	"II fi fi Dif culties with the Dif culty Jonathan Lear Inhiscommentonmyessay,PaulKottmansaysthatnotonlyaretheis- sues""unquestionablyimportant""butthatmywayofraisingthem""isitself significant"" (Paul Kottm"	0		0		0	
Lee 2025.pdf	2022	20	33	position_to_overcome	4	I can only imagine how the students felt, but I doubt I was alone when, during our midpoint coffee break, I fought the urge every Monday to run away.	4	The absence of authentic and specific inquiry, coupled with my pedagogical helplessness to fill or transform it, wracked me with dread.	0		0		0	
Lefebvre 2022.pdf	2022	32	30	positive_alignment	1	Peirce himself sometimes used photographs toexemplifywhat hemeantbyan index.But healsousedphotographstoexemplifywhathecalledadicentsign.Further- more,photographscanequallybeusedtorepresenticonicallyor	3	Introduction It hasbecomecommonplaceinstudiesofphotographytocallonCharles Peirce'sconceptofindexicalitytoaccountforwhatappearstobeauniquere- lation that photography entertains with the physical world.	0		1	A key, though often neglected, aspectofPeirce'ssemioticsisthatanythingthatactsasasigndoessorelative toapurposeandrelativetothesortofpurposeitisapttosustaininagiven situation.	0	
Levine 2025.pdf	2025	18	36	none	0		0		0		0		0	
Levy 2021.pdf	2021	24	49	positive_alignment	3	"""Andso,""Hlehelruminates, time loses its meaning, but the greater tragedy ."	6	The occupation does not kill you with bullets, most of the time, but with the pistol of time.	0		0		0	
Lewis 2019.pdf	2019	14	31	positive_alignment	0		1	Listening for Freedom with Arnold Davidson George E.	0		0		0	
Lindquist 2024.pdf	2024	27	58	position_to_overcome	1	But the Playback's graphic instructions could preprogram synthesized sounds.	1	Earlier artificial voices—like the electronic speech of AT&T's Voder (1939)—requiredahumanoperatorwhowouldplaythedevicelikeamusi- cal instrument.	0		0		0	
Liu 2021.pdf	2020	5	9	positive_alignment	2	This is a terrible thought, and it haunts me as my city, New York, suc- cumbstotheCOVID-19outbreak.Sirenswaildayandnightonthestreets as doctors and nurses struggle to keep critically ill patients aliv	3	For thefirst time, Ifeel asvulnerable as myeighty-eight-year-old motherwho islockeddowninanotherpartoftheworld.NeithershenoranyoneIknow hasever,inlivingmemory,beenthroughamomentlikethis.Hastheworld wo	1	Mitchell's call to reflect on the moment itself.3 When I say that the incal- culable escapes the political calculus, I do not mean to suggest that it falls outsideofthecalculatingmachine,but,rather,it	0		0	
Liu 2021b.pdf		31	50	positive_alignment	0		6	"The question bears the hallmarks of philosophical surrealism that identify the author as Ludwig Wittgenstein.1 It is as if the philosopher had anticipated Alan Turing's classic provocation ""Can machin"	1	Is it to convey his misgivings about the claims of machine cognition?	0		0	
Liu 2023.pdf	2023	29	57	position_to_overcome	1	The professional philosopher might dismiss Pound's demand of empiricismasabsurd.Personally,Idonotsharethepoet'sfrustrationwith the alleged moral failings of modern philosophers, but the serendipities 	1	After Turing: How Philosophy Migrated to the AI Lab Lydia H.	1	"Liu Ezra Pound was not afraid of making extravagant claims about philos- ophy.AfterGottfriedWilhelmLeibniz'stime,heclaimed,theprofessional philosopherwassomeonewhowas""toodamnedlazytoworkinalabora- tor"	0		0	
Liu 2025.pdf	2020	22	39	position_to_overcome	1		1		0		0		0	
Long et al 2023.pdf	2020	27	43	positive_alignment	1	"But I said, 'There's no reason for that.'""3 His refusal to (re)writeforthemomentfeedsintorecentcritiquesofthecontemporarynovel asoutoftouchwiththepresent,critiquesthatrangefromthepolemical,as inDavidS"	2	"But I said, 'There's no reason for that.'""3 His refusal to (re)writeforthemomentfeedsintorecentcritiquesofthecontemporarynovel asoutoftouchwiththepresent,critiquesthatrangefromthepolemical,as inDavidS"	0		0		0	
Lorenzini 2019.pdf	2019	23	44	position_to_overcome	2	markable, however, that the problem of the historical, social, and polit- ical constitution of a specific form of subjectivity as the correlate—both thenecessarysupportandtheinevitableconsequence—ofth	2	The Emergence of Desire: Notes Toward a Political History of the Will Daniele Lorenzini Desire as a Historical Transcendental In the foreword to the French edition of The Emergence of Sexuality, Arnol	1		0		0	
Lorenzini 2021.pdf	2020	6	16	positive_alignment	4	"A permanent concern that defines what Foucault also calls the ""étatisation du biologique"" (the ""nationalization of thebiological"")(""S,""p.240;trans.mod.).ToremainfaithfultoFoucault's idea that power is"	9	"Biopolitics in the Time of Coronavirus Daniele Lorenzini 2 April 2020 Inarecentblogpost,JoshuaCloverrightlynoticestheswiftemergence of a new panoply of ""genres of the quarantine.""1 It should not come "	1	"In what fol- lows,Idiscusstwooftheseinsights,andIconcludewithsomemethodo- logicalremarksontheissueofwhatitmaymeanto""respond""tothecur- rent""crisis."" The ""Blackmail"" of Biopolitics The first point that "	0		0	
Lorenzini Neer 2019.pdf	2019	5	3	positive_alignment	1	These connections had far-reaching implications for epistemology, ethics, evenontology.Topursuethem,however,wouldnecessarilybeahistorio- graphicenterpriseinits own right and would require a rigorous c	5	After an early career as a prestidigitator, Davidson's formal training wasinmoralphilosophyandreligion.HewrotehisdissertationwithStan- leyCavellandJohnRawlsin1982onKant,Heidegger,andRawlshimself— byno	0		0		0	
Ma 2022.pdf	2020	25	54	position_to_overcome	1		1	"78 Shaoling Ma / Big Earths of China thesymposiumheldinsouthernXinjiangin2013,promotestheintegrationof ""geographic information systems, global positioning systems, communica- tionnetworks,sensorwebs,e"	0		0		0	
MacLeod 2021.pdf	2020	3	1	positive_alignment	0		3	"COVID- Metaphors Norman MacLeod 6 April 2020 Inher1978essay""DiseaseasPoliticalMetaphor,""SusanSontagdemon- strated that the trope of the infectious malady has been used through hu- man history as a met"	0		1	More interesting is the, somewhat neglected, aspect of the viral-disease metaphor's cultural extrapolation.	0	
Makhoul 2022.pdf	2022	21	68	positive_alignment	0		2	"Makhoul Introduction In the introduction to The Politics of Dispossession (1994), Edward Said writesthathiscareer-longobjectivesince1967was""tomakethecaseforPal- estinian presence, to say that there wa"	0		1	More- over, previousworksfocusonthewaythewarinfluencedArabintellectuals, Palestinians included, giving little attention to the particular tensions and innerrelationsofthePalestiniannationaldiscourse.3	0	
Malabou 2021.pdf	2020	4	1	positive_alignment	2	The passengers had the choice of performing it on board or in the Lazaretto, which we were told was not yet furnished.	19	RousseauwastravelingfromParistoVeniceandwasforcedtohaltinGenoa becauseoftheepidemic.HenarrateshisquarantineintheConfessions(1782): It was at the time of the plague at Messina, and the English fleet ha	0		0		0	
Malabou 2023.pdf	2023	13	15	positive_alignment	0		2	Laclau and Mouffe's main question asks what remains of Marxism at a time when the notion of social class has proven unable to constitute the determining factor of political resistance, when the econom	0		0		0	
Malabou 2024.pdf	2024	12	15	position_to_overcome	3	Catherine Malabou Inthe1980stherewasatransitioninpoststructuralistandpost-Marxist discoursefromeconomicunitytosymbolicunity.Suchatransitioncaused aparadigmshiftincriticaltheoryandcoincidedwithastrateg	2	Lévi-Strauss often uses symbolic and structure as synonyms.	0		0		0	
Malewitz 2019.pdf	2019	20	35	positive_alignment	2	: The Language and Literature of Animal Disease Raymond Malewitz In Contagious: Cultures, Carriers, and the Outbreak Narrative, Priscilla Wald writes that epidemics: compe[l] attention—for scientists 	4	The in- teractions that make us sick also constitute us as a community.1 AlongsimilarlinesinAThousandPlateaus,GillesDeleuzeandFélixGuat- taridescribeviraloutbreaksasrhizomaticmodelsforvariouskindsofno	1	The fossil record, however, seems to show remarkably abrupt leaps from one species to the next, with no record of gradual transition.3 Inotherwords,ageneorgeneticsequencefromavirusinonehostisde- terri	0		0	
Marcus 2022.pdf	2020	22	25	position_to_overcome	5	Reading as if for Death Sharon Marcus Howdowegoonlivingknowingthatwearegoingtodie?—notatsome distant date, but most likely very soon?	4	Reading as if for Death Sharon Marcus Howdowegoonlivingknowingthatwearegoingtodie?—notatsome distant date, but most likely very soon?	0		0		0	
Martin 2023.pdf	2023	25	50	positive_alignment	1		7	Proprietorship is as material as it is symbolic, and speechactsliketheonedescribedbyRousseaurequireaninfrastructure.Or, toputitdifferently,thelawsandritualsofproprietorshipmustbeaccompa- niedbyatechni	0		0		0	
Massumi 2025.pdf	2025	9	2	positive_alignment	0		3	Some Points about Contemporary Fascism Brian Massumi Preamble Thematurationofthemodernnation-statecoincidedwithaprogressive becoming-immanentofpowertothesocialfield.Conceptssuchasdisciplin- arypower,g	0		0		0	
Mathes 2025.pdf	2025	23	45	positive_alignment	0		1		0		0		0	
Mbembe 2021.pdf	2020	5	3	positive_alignment	0		6	It is one thing to worry about the death of others in a distant land and quite another to suddenly become aware of one's own putrescence, to be forced to live intimately with one's own death, contempl	0		0		0	
McGann 2019.pdf	2019	19	32	positive_alignment	0		4	"—Francis Jennings, ""OntheUndoing ofHistory""1 Everyoneknowsthat""practicalletters""asopposedto""finearts""orlit- eratureshaped""theearliestphaseof[American]nationallife.""2Thatutile focusprevailedfromthefirs"	0		0		0	
McLane 2024.pdf	2024	28	47	positive_alignment	1	Wah's economical poem presents poeisis not so much as the work of homo faber but as the work of an alert scavenger, a finder, a gleaner with a prepared mind, prepared not least by complex traditions o	6	"McLane / Notational/Poetics Wahoffers here aministatement on poetics, aprovocationunder thesign of ikebana, the Japanese art of flower arrangement, also known as Kadō (華道, ""way of flowers"")."	0		0		0	
McManus 2021.pdf	2021	23	63	positive_alignment	0		3	' On the Ruins of What s to Come, I Stand: Time and Devastation in Syrian Cultural Production since Anne-Marie McManus Syria today is synonymous with devastation.	0		0		0	
Mendes-Flohr 2020.pdf	2020	12	29	positive_alignment	4	But we Did not leave, of our own free will Choosing another land.	8	About the Term Exile Paul Mendes-Flohr Writingin1937fromtheDanishtownofSvenborg,wherehehadlived shortly after having fled Nazi Germany some four years earlier, Bertolt Brechtwroteapoemthatopenedwithan	1	FromtheperspectiveofBegriffsgeschichte(thehistoryofconcepts),the notion of exile when applied to Jews evokes semantic associations that suggest that they do indeed experience political banishment as a	0		0	
