selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags
Dracula	Bram Stoker	1897	Dracula	Bram Stoker	1922	/works/OL85892W	774	561	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	736	1		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		119	110	6	3	/works/OL85892W	40.0	22.0	2.0	13.0	3.0	0.0	0.6	464.4	464.4	/works/OL85892W	711064	18011	MANUAL_FIX	711064	short_or_general_title
The Crock of Gold	Stephens James	1913	The Crock of Gold	Stephens, James	1912	/works/OL1154817W	3	0	use_title_author	ta_without_lit_terms|canonical_preserved	155	1	Q7728134	year_discrepancy	Author-name order is normalized; the source-list year and Open Library record year differ.	1	1	0	0	/works/OL1154817W	3.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	/works/OL1154817W	490	69	YEAR_AUTH	490	
The Pit	Frank Norris	1903	The Pit	Frank Norris	1903	/works/OL1794919W	21	17	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|canonical_preserved	291	1	Q7757284	openalex:use_with_warning_short_title		49	4	20	25	/works/OL1794919W	21.0	12.0	2.0	3.0	3.0	1.0	0.7	14.7	14.7	/works/OL1794919W	286	42	YEAR_AUTH	286	short_or_general_title|known_jstor_ambiguous_title
Megda	Emma Kelley	1891	Megda	Emma Dunham Kelley	1891	/works/OL4971729W	3	3	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	6	1		author_variant_or_source_error; openalex:use_with_warning_short_title; wikidata_unresolved		0	0	0	0	/works/OL4971729W	3.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	/works/OL4971729W	0	0	NO_MATCH	0	short_or_general_title
Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	1886	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	1886	/works/OL44014215W	196	153	use_title_author	canonical_preserved	1	2	Q217352			10	10	0	0	/works/OL44014215W	40.0	28.0	2.0	5.0	3.0	2.0	0.7894736842105263	154.73684210526315	154.73684210526315	/works/OL44014215W	268131	8340	RATINGS_MAX	268131	
The Jungle Book	Rudyard Kipling	1894	The Jungle Book	Kipling, Rudyard	1893	/works/OL19870W	83	61	use_title_author	canonical_preserved	538	21	Q189509	author_variant_or_source_error; year_discrepancy		1	0	0	1	/works/OL19870W	40.0	18.0	4.0	16.0	1.0	1.0	0.5641025641025641	46.82051282051282	46.82051282051282	/works/OL19870W	83283	2443	RATINGS_MAX	83283	
The Yearling	Marjorie Kinman Rawlings	1938	The Yearling	Marjorie Kinnan Rawlings	1938	/works/OL111382W	14	12	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	65	1	Q429806	author_variant_or_source_error; openalex:use_with_warning_short_title	The source list appears to spell Kinnan as Kinman.	2	2	0	0	/works/OL111382W	14.0	3.0	4.0	4.0	2.0	1.0	0.5384615384615384	7.538461538461538	7.538461538461538	/works/OL111382W	23079	883	UNIQUE	23079	short_or_general_title
A Room with a View	E. M. Forster	1908	A Room with a View	E. M. Forster	1905	/works/OL88813W	85	60	use_title_author	canonical_preserved	692	1	Q120288	year_discrepancy		10	8	2	0	/works/OL88813W	40.0	31.0	0.0	5.0	3.0	1.0	0.7948717948717948	67.56410256410255	67.56410256410255	/works/OL88813W	123549	4091	YEAR_AUTH	123549	
For Whom the Bell Tolls	Ernest Hemingway	1949	For Whom the Bell Tolls	Ernest Hemingway	1940	/works/OL63009W	249	157	use_title_author	canonical_preserved	182	1	Q200920	year_discrepancy		17	17	0	0	/works/OL63009W	40.0	29.0	3.0	6.0	1.0	1.0	0.8205128205128205	204.3076923076923	204.3076923076923	/works/OL63009W	209824	4798	UNIQUE	209824	
The Frontiersman	Mary Noailles Murfree	1904	The Frontiersmen	Charles Egbert Craddock	1904	/works/OL2337481W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	9	5		title_variant; author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved	Mary Noailles Murfree published as Charles Egbert Craddock; the title also varies between singular and plural.	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2337481W	0	0	NO_MATCH_AUTH	0	short_or_general_title
Mrs. Dalloway	Virginia Woolf	1925	Mrs. Dalloway	Virginia Woolf	1925	/works/OL39349W	740	576	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	476	4	Q752584	openalex:use_with_warning_short_title		84	83	0	1	/works/OL39349W	40.0	32.0	2.0	2.0	4.0	0.0	0.85	629.0	629.0	/works/OL39349W	163735	6587	UNIQUE	163735	short_or_general_title
Tender Is The Night	F Scott Fitzgerald	1934	Tender is the Night	F. Scott Fitzgerald	1933	/works/OL468485W	185	138	use_title_author	canonical_preserved	312	1	Q247372	year_discrepancy		31	31	0	0	/works/OL468485W	40.0	29.0	2.0	7.0	1.0	1.0	0.7948717948717948	147.05128205128204	147.05128205128204	/works/OL468485W	89091	3732	UNIQUE	89091	
To the Lighthouse	Virginia Woolf	1927	To the Lighthouse	Virginia Woolf	1927	/works/OL39396W	634	507	use_title_author	canonical_preserved	521	2	Q478016			64	62	2	0	/works/OL39396W	40.0	27.0	1.0	4.0	4.0	4.0	0.7777777777777778	493.1111111111112	493.1111111111112	/works/OL39396W	97741	4946	UNIQUE	97741	
The Awakening	Kate Chopin	1899	The Awakening	Kate Chopin	1899	/works/OL65430W	411	295	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	346	2	Q1567505	openalex:use_with_warning_short_title		76	56	9	11	/works/OL65430W	40.0	33.0	1.0	3.0	2.0	1.0	0.8717948717948718	358.3076923076923	358.3076923076923	/works/OL65430W	140316	5812	YEAR_AUTH	140316	short_or_general_title|known_jstor_ambiguous_title
The Jungle	Upton Sinclair	1906	The jungle	Upton Sinclair	1906	/works/OL44622934W	104	72	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	11		openalex:use_with_warning_short_title; wikidata_unresolved		53	8	12	33	/works/OL44622934W	40.0	21.0	9.0	8.0	0.0	2.0	0.7894736842105263	82.10526315789474	82.10526315789474	/works/OL44622934W	111017	4820	YEAR_AUTH	111017	short_or_general_title|known_jstor_ambiguous_title
Peter Pan	J. M. Barrie	1911	Peter Pan	J. M. Barrie	1911	/works/OL462007W	241	139	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	441	1	Q3435337	openalex:use_with_warning_short_title		12	4	4	4	/works/OL462007W	40.0	24.0	0.0	13.0	1.0	2.0	0.631578947368421	152.21052631578945	152.21052631578945	/works/OL462007W	201220	7710	RATINGS_MAX	201220	short_or_general_title
Pembroke	Mary Wilkins Freeman	1894	Pembroke	Mary Eleanor Wilkins Freeman	1894	/works/OL507321W	9	4	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	31	4	Q7161943	author_variant_or_source_error; openalex:use_with_warning_short_title		29	1	2	26	/works/OL507321W	9.0	3.0	0.0	3.0	3.0	0.0	0.3333333333333333	3.0	3.0	/works/OL507321W	37	5	UNIQUE	37	short_or_general_title
Orlando	Virginia Woolf	1928	Orlando	Virginia Woolf	1928	/works/OL39360W	431	306	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	452	3	Q1629456	openalex:use_with_warning_short_title		224	59	10	155	/works/OL39360W	40.0	25.0	2.0	5.0	3.0	5.0	0.7714285714285715	332.4857142857143	332.4857142857143	/works/OL39360W	40451	2300	UNIQUE	40451	short_or_general_title|known_jstor_ambiguous_title
The Genius	Theodore Dreiser	1915	"The ""genius"""	Theodore Dreiser	1915	/works/OL100196W	21	19	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	164	2		openalex:use_with_warning_short_title; wikidata_unresolved		59	4	6	49	/works/OL100196W	21.0	11.0	1.0	2.0	5.0	2.0	0.631578947368421	13.26315789473684	13.26315789473684	/works/OL100196W	0	0	NO_MATCH_AUTH	0	short_or_general_title|known_jstor_ambiguous_title
Sister Carrie	Theodore Dreiser	1900	Sister Carrie	Theodore Dreiser	1900	/works/OL100203W	254	200	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	463	13	Q1286961	openalex:use_with_warning_short_title		43	43	0	0	/works/OL100203W	40.0	26.0	1.0	10.0	1.0	2.0	0.7105263157894737	180.4736842105263	180.4736842105263	/works/OL100203W	31105	1195	YEAR_AUTH	31105	short_or_general_title
The Border Legion	Zane Grey	1916	The border legion	Zane Grey	1916	/works/OL485410W	2	1	use_title_author	canonical_preserved	302	2		wikidata_unresolved		0	0	0	0	/works/OL485410W	2.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	/works/OL485410W	497	31	UNIQUE	497	
The North Star	Margaret Ellen Henry-Ruffin	1904	The North Star	M. E. Henry-Ruffin	1904	/works/OL18397742W	0	0	zero_title_author	canonical_preserved	1	0		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved	The full author name and initials refer to the same author.	7	0	7	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL18397742W	125	12	RATINGS_MAX	125	
