selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	log_jstor	log_reader	expected_log_jstor	jstor_reader_residual	jstor_residual_z
Kim	Rudyard Kipling	1900	Kim	Kipling, Rudyard	1901	/works/OL20172W	218	171	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	65	1	Q19086249	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		93	21	5	67	/works/OL20172W	40.0	27.0	2.0	6.0	2.0	3.0	0.7837837837837838	170.86486486486487	170.86486486486487	/works/OL20172W	27404	1393	YEAR_AUTH	27404	short_or_general_title|known_jstor_ambiguous_title	3.091042453358316	10.218480757480217	2.7942298858192807	0.2968125675390354	0.24446200710812346
The Custom of the Country	Edith Wharton	1913	The Custom of the Country	Edith Wharton	1900	/works/OL98585W	65	51	use_title_author	canonical_preserved	61	1	Q7728505	year_discrepancy		22	21	1	0	/works/OL98585W	40.0	30.0	2.0	2.0	1.0	5.0	0.9142857142857144	59.42857142857142	59.42857142857142	/works/OL98585W	7821	730	UNIQUE	7821		3.091042453358316	8.96469555531546	2.34917002261462	0.7418724307436961	0.6110240713238484
The Beautiful and the Damned	F Scott Fitzgerald	1922	The Beautiful and Damned	F. Scott Fitzgerald	1920	/works/OL468362W	52	46	use_title_author	canonical_preserved	495	1	Q2531205	title_variant; year_discrepancy		4	4	0	0	/works/OL468362W	40.0	25.0	2.0	7.0	3.0	3.0	0.7297297297297297	37.94594594594594	37.94594594594594	/works/OL468362W	34554	2119	YEAR_AUTH	34554		1.6094379124341003	10.450307536525495	2.8765221272581853	-1.267084214824085	-1.0436011955261248
The Financier	Theodore Dreiser	1912	The Financier	Theodore Dreiser	1912	/works/OL100237W	35	29	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	352	1	Q577607	openalex:use_with_warning_short_title		6	6	0	0	/works/OL100237W	35.0	25.0	1.0	5.0	3.0	1.0	0.7647058823529411	26.76470588235294	26.76470588235294	/works/OL100237W	3486	134	UNIQUE	3486	short_or_general_title	1.9459101490553132	8.156797046675651	2.062387885516759	-0.11647773646144555	-0.09593388000671868
Parades End	Ford Maddox Ford	1924	Parade's End	Ford Madox Ford	1950	/works/OL509919W	102	84	use_with_warning_risky_author	observed_risky_author_last:ford|canonical_preserved	24	2		title_variant; author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_risky_author; wikidata_unresolved	Title punctuation and author spelling vary; the two year fields are retained separately.	30	30	0	0	/works/OL509919W	40.0	18.0	5.0	15.0	1.0	1.0	0.5897435897435898	60.15384615384615	60.15384615384615	/works/OL509919W	4661	413	UNIQUE	4661	short_or_general_title	3.4339872044851463	8.447199819595703	2.1654730217640985	1.2685141827210478	1.0447789516605444
King Coal	Upton Sinclair	1917	King Coal	Upton Sinclair	1905	/works/OL115067W	6	5	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	86	2	Q16386559	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL115067W	6.0	2.0	1.0	3.0	0.0	0.0	0.5	3.0	3.0	/works/OL115067W	407	32	UNIQUE	407	short_or_general_title	0.0	6.0112671744041615	1.3007827638372462	-1.3007827638372462	-1.0713561352737668
Dracula	Bram Stoker	1897	Dracula	Bram Stoker	1922	/works/OL85892W	774	561	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	736	1		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		119	110	6	3	/works/OL85892W	40.0	22.0	2.0	13.0	3.0	0.0	0.6	464.4	464.4	/works/OL85892W	711064	18011	MANUAL_FIX	711064	short_or_general_title	4.709530201312334	13.474519125141233	3.950035511853389	0.7594946894589447	0.6255381896815279
The Crock of Gold	Stephens James	1913	The Crock of Gold	Stephens, James	1912	/works/OL1154817W	3	0	use_title_author	ta_without_lit_terms|canonical_preserved	155	1	Q7728134	year_discrepancy	Author-name order is normalized; the source-list year and Open Library record year differ.	1	1	0	0	/works/OL1154817W	3.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	/works/OL1154817W	490	69	YEAR_AUTH	490		0.6931471805599453	6.19644412779452	1.3665155778808908	-0.6733683973209456	-0.5546024930720269
The Pit	Frank Norris	1903	The Pit	Frank Norris	1903	/works/OL1794919W	21	17	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|canonical_preserved	291	1	Q7757284	openalex:use_with_warning_short_title		49	4	20	25	/works/OL1794919W	21.0	12.0	2.0	3.0	3.0	1.0	0.7	14.7	14.7	/works/OL1794919W	286	42	YEAR_AUTH	286	short_or_general_title|known_jstor_ambiguous_title	1.6094379124341003	5.659482215759621	1.1759086105122	0.4335293019219002	0.3570652151515557
Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	1886	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	1886	/works/OL44014215W	196	153	use_title_author	canonical_preserved	1	2	Q217352			10	10	0	0	/works/OL44014215W	40.0	28.0	2.0	5.0	3.0	2.0	0.7894736842105263	154.73684210526315	154.73684210526315	/works/OL44014215W	268131	8340	RATINGS_MAX	268131		2.3978952727983707	12.499234675549738	3.6038358893252354	-1.2059406165268647	-0.993241849607979
The Jungle Book	Rudyard Kipling	1894	The Jungle Book	Kipling, Rudyard	1893	/works/OL19870W	83	61	use_title_author	canonical_preserved	538	21	Q189509	author_variant_or_source_error; year_discrepancy		1	0	0	1	/works/OL19870W	40.0	18.0	4.0	16.0	1.0	1.0	0.5641025641025641	46.82051282051282	46.82051282051282	/works/OL19870W	83283	2443	RATINGS_MAX	83283		0.0	11.330011732875084	3.1887933429432347	-3.1887933429432347	-2.6263672974912136
The Yearling	Marjorie Kinman Rawlings	1938	The Yearling	Marjorie Kinnan Rawlings	1938	/works/OL111382W	14	12	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	65	1	Q429806	author_variant_or_source_error; openalex:use_with_warning_short_title	The source list appears to spell Kinnan as Kinman.	2	2	0	0	/works/OL111382W	14.0	3.0	4.0	4.0	2.0	1.0	0.5384615384615384	7.538461538461538	7.538461538461538	/works/OL111382W	23079	883	UNIQUE	23079	short_or_general_title	1.0986122886681096	10.046721720622037	2.7332600695251648	-1.6346477808570552	-1.3463354356469435
A Room with a View	E. M. Forster	1908	A Room with a View	E. M. Forster	1905	/works/OL88813W	85	60	use_title_author	canonical_preserved	692	1	Q120288	year_discrepancy		10	8	2	0	/works/OL88813W	40.0	31.0	0.0	5.0	3.0	1.0	0.7948717948717948	67.56410256410255	67.56410256410255	/works/OL88813W	123549	4091	YEAR_AUTH	123549		2.1972245773362196	11.724401211416756	3.328790949443976	-1.1315663721077565	-0.9319854236466553
For Whom the Bell Tolls	Ernest Hemingway	1949	For Whom the Bell Tolls	Ernest Hemingway	1940	/works/OL63009W	249	157	use_title_author	canonical_preserved	182	1	Q200920	year_discrepancy		17	17	0	0	/works/OL63009W	40.0	29.0	3.0	6.0	1.0	1.0	0.8205128205128205	204.3076923076923	204.3076923076923	/works/OL63009W	209824	4798	UNIQUE	209824		2.8903717578961645	12.254029128951029	3.516794546966256	-0.6264227890700913	-0.5159369550421853
Mrs. Dalloway	Virginia Woolf	1925	Mrs. Dalloway	Virginia Woolf	1925	/works/OL39349W	740	576	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	476	4	Q752584	openalex:use_with_warning_short_title		84	83	0	1	/works/OL39349W	40.0	32.0	2.0	2.0	4.0	0.0	0.85	629.0	629.0	/works/OL39349W	163735	6587	UNIQUE	163735	short_or_general_title	4.430816798843313	12.006010653659285	3.428754690940688	1.0020621079026255	0.8253225804283231
Tender Is The Night	F Scott Fitzgerald	1934	Tender is the Night	F. Scott Fitzgerald	1933	/works/OL468485W	185	138	use_title_author	canonical_preserved	312	1	Q247372	year_discrepancy		31	31	0	0	/works/OL468485W	40.0	29.0	2.0	7.0	1.0	1.0	0.7948717948717948	147.05128205128204	147.05128205128204	/works/OL468485W	89091	3732	UNIQUE	89091		3.4657359027997265	11.397424822671375	3.2127231679811588	0.2530127348185678	0.20838740586524526
To the Lighthouse	Virginia Woolf	1927	To the Lighthouse	Virginia Woolf	1927	/works/OL39396W	634	507	use_title_author	canonical_preserved	521	2	Q478016			64	62	2	0	/works/OL39396W	40.0	27.0	1.0	4.0	4.0	4.0	0.7777777777777778	493.1111111111112	493.1111111111112	/works/OL39396W	97741	4946	UNIQUE	97741		4.143134726391533	11.490086633066195	3.245615606484509	0.8975191199070234	0.7392184478224009
The Awakening	Kate Chopin	1899	The Awakening	Kate Chopin	1899	/works/OL65430W	411	295	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	346	2	Q1567505	openalex:use_with_warning_short_title		76	56	9	11	/works/OL65430W	40.0	33.0	1.0	3.0	2.0	1.0	0.8717948717948718	358.3076923076923	358.3076923076923	/works/OL65430W	140316	5812	YEAR_AUTH	140316	short_or_general_title|known_jstor_ambiguous_title	4.04305126783455	11.851659427673926	3.3739641770600755	0.6690870907744748	0.5510763054847794
The Jungle	Upton Sinclair	1906	The jungle	Upton Sinclair	1906	/works/OL44622934W	104	72	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	11		openalex:use_with_warning_short_title; wikidata_unresolved		53	8	12	33	/works/OL44622934W	40.0	21.0	9.0	8.0	0.0	2.0	0.7894736842105263	82.10526315789474	82.10526315789474	/works/OL44622934W	111017	4820	YEAR_AUTH	111017	short_or_general_title|known_jstor_ambiguous_title	2.1972245773362196	11.61744762930977	3.2908253182181517	-1.0936007408819322	-0.9007160118170122
Peter Pan	J. M. Barrie	1911	Peter Pan	J. M. Barrie	1911	/works/OL462007W	241	139	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	441	1	Q3435337	openalex:use_with_warning_short_title		12	4	4	4	/works/OL462007W	40.0	24.0	0.0	13.0	1.0	2.0	0.631578947368421	152.21052631578945	152.21052631578945	/works/OL462007W	201220	7710	RATINGS_MAX	201220	short_or_general_title	1.6094379124341003	12.212159085518614	3.501931813086298	-1.892493900652198	-1.558703734242899
Pembroke	Mary Wilkins Freeman	1894	Pembroke	Mary Eleanor Wilkins Freeman	1894	/works/OL507321W	9	4	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	31	4	Q7161943	author_variant_or_source_error; openalex:use_with_warning_short_title		29	1	2	26	/works/OL507321W	9.0	3.0	0.0	3.0	3.0	0.0	0.3333333333333333	3.0	3.0	/works/OL507321W	37	5	UNIQUE	37	short_or_general_title	0.6931471805599453	3.6375861597263857	0.4581901523915357	0.23495702816840958	0.1935162893082529
Orlando	Virginia Woolf	1928	Orlando	Virginia Woolf	1928	/works/OL39360W	431	306	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	452	3	Q1629456	openalex:use_with_warning_short_title		224	59	10	155	/works/OL39360W	40.0	25.0	2.0	5.0	3.0	5.0	0.7714285714285715	332.4857142857143	332.4857142857143	/works/OL39360W	40451	2300	UNIQUE	40451	short_or_general_title|known_jstor_ambiguous_title	4.0943445622221	10.607871365022062	2.9324530282096464	1.161891534012454	0.9569619602083236
Sister Carrie	Theodore Dreiser	1900	Sister Carrie	Theodore Dreiser	1900	/works/OL100203W	254	200	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	463	13	Q1286961	openalex:use_with_warning_short_title		43	43	0	0	/works/OL100203W	40.0	26.0	1.0	10.0	1.0	2.0	0.7105263157894737	180.4736842105263	180.4736842105263	/works/OL100203W	31105	1195	YEAR_AUTH	31105	short_or_general_title	3.784189633918261	10.345156005604505	2.839196175502929	0.9449934584153321	0.778319460876187
The Border Legion	Zane Grey	1916	The border legion	Zane Grey	1916	/works/OL485410W	2	1	use_title_author	canonical_preserved	302	2		wikidata_unresolved		0	0	0	0	/works/OL485410W	2.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	/works/OL485410W	497	31	UNIQUE	497		0.0	6.210600077024653	1.3715405572928483	-1.3715405572928483	-1.1296339647811835
The North Star	Margaret Ellen Henry-Ruffin	1904	The North Star	M. E. Henry-Ruffin	1904	/works/OL18397742W	0	0	zero_title_author	canonical_preserved	1	0		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved	The full author name and initials refer to the same author.	7	0	7	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL18397742W	125	12	RATINGS_MAX	125		0.0	4.836281906951478	0.8836947478859585	-0.8836947478859585	-0.727832360773258
